region;sppName;latinName;RFMO;RFMO_Stock_ID;X3A_CODE;FIDES_AREA;area;areaBis;TAC area description;Comments;;
North Sea and Eastern Arctic;Flounder;Platichthys flesus;ICES;;FLE;2AC4-C;4;27_4;EC waters of IIa) and IV;;;
North Sea and Eastern Arctic;Plaice;Pleuronectes platessa;ICES;;PLE;03AN.;3aN;27_3_A_20;Skagerrak (Division IIIa), Kattegat (Division IIIa);;;
North Sea and Eastern Arctic;Plaice;Pleuronectes platessa;ICES;;PLE;03AS.;3aS;27_3_A_21;;;;
North Sea and Eastern Arctic;Plaice;Pleuronectes platessa;ICES;;PLE;2A3AX4,7DE.;4, 7d;27_4,27_7_D;IV,  EC waters of Iia,   that part of IIIa not covered by the Skagerrak and the Kattegat;;; 
North Sea and Eastern Arctic;Saithe;Pollachius virens;ICES;;POK;2C3A4;3a, 4;27_3_A,27_4;EU waters of IV and in IIIa;;;
North Sea and Eastern Arctic;Turbot;Scophthalmus maximus;ICES;;TUR;No TAC;3a, 4, 7d;27_3_A,27_4,27_7_D;EC waters of IIa) and IV;;;
North Sea and Eastern Arctic;Blonde ray;Raja brachyura;ICES;;RJH;04-C.,07D.;4a, 4c, 7d;27_4_A,27_4_C,27_7_D;;;;
North Sea and Eastern Arctic;Thornback ray;Raja clavata;ICES;;RJC;07D.,2AC4-C;3a, 4, 7d;27_3_A,27_4,27_7_D;;;;
North Sea and Eastern Arctic;Small-eyed ray;Raja microocellata;ICES;;RJE;07D.;7d;27_7_D;;;;
North Sea and Eastern Arctic;Spotted ray;Raja montagui;ICES;;RJM;07D.,03A-C.,2AC4-C;3a, 4, 7d;27_3_A,27_4,27_7_D;;;;
North Sea and Eastern Arctic;Undulate ray;Raja undulata;ICES;;RJU;07DE.;7d;27_7_D;;;;
North Sea and Eastern Arctic;All skates and rays;Rajidae;ICES;;SKA;No TAC;3a;27_3_A;to be coded as all other rays in the script;;;
North Sea and Eastern Arctic;Greenland halibut;Reinhardtius hippoglossoides;ICES;;GHL;2A-C46;4;27_4;EU waters of IIa and IV,   EU and international waters of Vb and VI;;;
North Sea and Eastern Arctic;Salmon;Salmo salar;ICES;;SAL;No TAC;3a, 4, 7d;27_3_A,27_4,27_7_D;;;;
North Sea and Eastern Arctic;Sea trout;Salmo trutta;ICES;;TRS;;3a, 4, 7d;27_3_A,27_4,27_7_D;;;;
North Sea and Eastern Arctic;Mackerel;Scomber scombrus;ICES;;MAC;2A34.;3a, 4, 7d;27_3_A,27_4,27_7_D;IVa) (1), IVb) (1),IVc) (1);;;
North Sea and Eastern Arctic;Brill;Scophthalmus rhombus;ICES;;BLL;2AC4-C;3a, 4, 7d;27_3_A,27_4,27_7_D;EC waters of IIa) and IV;;;
North Sea and Eastern Arctic;Lesser-spotted dogfish;Scyliorhinus canicula;ICES;;SYC;;3a, 4, 7d;27_3_A,27_4,27_7_D;;;;
North Sea and Eastern Arctic;Sole;Solea solea;ICES;;SOL;3ABC24;Union waters of 2a, 3a and 4;27_2_A,27_3_A,27_4;;;;
North Sea and Eastern Arctic;Sole;Solea solea;ICES;;SOL;07D.;7d;27_7_D;;;;
North Sea and Eastern Arctic;Sprat;Sprattus sprattus;ICES;;SPR;03A.,2AC4-C;Union waters of 2a, 3a and 4;27_2_A,27_3_A,27_4;IIIa);;;
North Sea and Eastern Arctic;Sprat;Sprattus sprattus;ICES;;SPR;7DE.;7d;27_7_D;VIId)e);;;
North Sea and Eastern Arctic;Picked dogfish;Squalus acanthias;ICES;;DGS;15X14;All areas;27_3_A,27_4,27_7_D;;;;
North Sea and Eastern Arctic;Horse mackerel;Trachurus trachurus;ICES;;JAX;4BC7D;Union waters of 4b, 4c and 7d;27_4_B,27_4_C,27_7_D;NEAFC Stock - catches not from the stock that is subject to NEAFC management mesures;;;
North Sea and Eastern Arctic;Tub gurnard;Trigla lucerna;ICES;;GUU;No TAC;4;27_4;;;;
North Sea and Eastern Arctic;Norway pout;Trisopterus esmarki;ICES;;NOP;2A3A4.;3a, 4;27_3_A,27_4;IIIa,   EU waters of IIa and IV, IIIa,  EC waters of IIa and IV;;;
North Sea and Eastern Arctic;John Dory;Zeus faber;ICES;;JOD;No TAC;4, 7d;27_4,27_7_D;;;;
North-East Atlantic;Queen scallop;Aequipecten opercularis;ICES;;QSC;No TAC;7;27_7;;;;
North-East Atlantic;Smoothhead;Alepocephalus bairdii;ICES;;ALC;No TAC;6, 12;27_6,27_12;;;;
North-East Atlantic;Sand eel;Ammodytidae;ICES;;SAN;No TAC;6a;27_6_A;??;;;
North-East Atlantic;European Eel;Anguilla anguilla;ICES;;ELE;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;
North-East Atlantic;Black scabbardfish;Aphanopus carbo;ICES;;BSF;56712-;5, 6, 7, 12;27_5,27_6,27_7,27_12;;;;
North-East Atlantic;Black scabbardfish;Aphanopus carbo;ICES;;BSF;8910-;9, 10, 13;27_9,27_10,27_13;;;;
North-East Atlantic;Deep water catsharks;Apristurus spp.;ICES;;API;;5, 6, 7, 8, 9, 10;27_5,27_6,27_8,27_9,27_10;;;;
North-East Atlantic;Greater silver smelt;Argentina silus;ICES;;ARU;567.;5, 6, 7;27_5,27_6,27_7;;;;
North-East Atlantic;Meagre;Argyrosomus regius;ICES;;MGR;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;
North-East Atlantic;Red gurnard;Aspitrigla cuculus;ICES;;GUR;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;
North-East Atlantic;Alfonsinos;Beryx spp;ICES;;ALF;3X14-;mars-14;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_11,27_12,27_14;;;;
North-East Atlantic;Tusk;Brosme brosme;ICES;;USK;567EI.;5, 6, 7;27_5,27_6,27_7;;;;
North-East Atlantic;Edible crab;Cancer pagurus;ICES;;CRE;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;
North-East Atlantic;Boarfish;Capros aper;ICES;;BOR;678-;6, 7, 8;27_6,27_7,27_8;EU and international waters of VI, VII and VIII;;;
North-East Atlantic;Gulper shark;Centrophorus spp.;ICES;;CWO;;5, 6, 7, 8, 9, 10;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10;;;;
North-East Atlantic;Portuguese dogfish;Centroscymnus coelolepis;ICES;;CYO;No TAC;5, 6, 7, 8, 9, 10;27_5,27_6,27_7,27_8,27_9,27_10;;;;
North-East Atlantic;Longnose velvet dogfish;Centroscymnus crepidater;ICES;;CYP;;5, 6, 7, 8, 9, 10;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10;;;;
North-East Atlantic;Black dogfish;Centroscyllium fabricii;ICES;;CFB;;5, 6, 7, 8, 9, 10;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10;;;;
North-East Atlantic;Frilled shark;Chlamydoselachus anguineus;ICES;;HXC;;5, 6, 7, 8, 9, 10;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10;;;;
North-East Atlantic;Herring;Clupea harengus;ICES;;HER;06ACL.;5a;27_5_A;;;;
North-East Atlantic;Herring;Clupea harengus;ICES;;HER;5B6ANB;5b, 6b;27_5_B,27_6_B;;;;
North-East Atlantic;Herring;Clupea harengus;ICES;;HER;07A/MM;7aN;27_7_A;;;;
North-East Atlantic;Herring;Clupea harengus;ICES;;HER;6AS7BC;6a, 7bc;27_6_A,27_7_B,27_7_C;;;;
North-East Atlantic;Herring;Clupea harengus;ICES;;HER;7G-K;7aS, 7gh, 7jk;27_7_A,27_7_G,27_7_H,27_7_J,27_7_K;;;;
North-East Atlantic;Conger;Conger conger;ICES;;COE;XDS;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;NEAFC Stock - Deep Sea Fisheries;;;
North-East Atlantic;Roundnose grenadier;Coryphaenoides rupestris;ICES;;RNG;5B67-;5b, 6, 7;27_5_B,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K;to be confirmed;;;
North-East Atlantic;Roundnose grenadier;Coryphaenoides rupestris;ICES;;RNG;8X14-,514GRN;8, 9, 10, 12, 14;27_8,27_9,27_10,27_12,27_14;to be confirmed;;;
North-East Atlantic;Kitefin shark;Dalatias licha;ICES;;SCK;XDS;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;NEAFC Stock - Deep Sea Fisheries;;;
North-East Atlantic;Common stingray;Dasyatis pastinaca;ICES;;SRX;67AKXD,07D.,89-C.;7, 8;27_7,27_8;SRX = all rays;;;
North-East Atlantic;Birdbeak dogfish;Deania calcea;ICES;;DCA;XDS;5, 6, 7, 9, 10, 12;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12;;;;
North-East Atlantic;Sea bass;Dicentrarchus labrax;ICES;;BSS;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;
North-East Atlantic;Wedge sole;Dicologlossa cuneata;ICES;;CET;No TAC;8c, 9;27_8_C,27_9;;;;
North-East Atlantic;Blue skate;Dipturus batis, Dipturis intermedius;ICES;;DRJ,RJB;;6, 7a, 7e-k;27_6,27_7_A,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K;;;;
North-East Atlantic;Blue skate;Dipturus batis, Dipturis intermedius;ICES;;DRJ,RJB;;8, 9a;27_8_C,27_9_A;;;;
North-East Atlantic;Anchovy;Engraulis encrasicolus;ICES;;ANE;08.;8;27_8;;;;
North-East Atlantic;Anchovy;Engraulis encrasicolus;ICES;;ANE;9/3411;9, 10;27_9,27_10;;;;
North-East Atlantic;Great lanternshark;Etmopterus princeps;ICES;;ETR;;5, 6, 7, 8, 9, 10;27_5,27_6,27_7,27_8,27_9,27_10;;;;
North-East Atlantic;Velvet belly;Etmopterus spinax;ICES;;ETX;No TAC;6, 7, 8, 10;27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_10;;;;
North-East Atlantic;Grey gurnard;Eutrigla gurnardus;ICES;;GUG;No TAC;7e;27_7_E;;;;
North-East Atlantic;Cod;Gadus morhua;ICES;;COD;05B-F.;5b;27_5_B;Faroe zone: Vb);;;
North-East Atlantic;Cod;Gadus morhua;ICES;;COD;5BE6A;6a;27_6_A;Via,   EU and international waters of Vb east of 12W;;;
North-East Atlantic;Cod;Gadus morhua;ICES;;COD;5W6-14;6b;27_6_B;Vib,   EU and international waters of Vb west of 12 W and of XII and XIV;;;
North-East Atlantic;Cod;Gadus morhua;ICES;;COD;07A.;7a;27_7_A;ICES division VIIa - Irish Sea;;;
North-East Atlantic;Cod;Gadus morhua;ICES;;COD;7XAD34;7b, 7c, 7e-k, 8, 9, 10;27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10;VII b-c, e-k, VIII, IX and X, EC waters of CECAF 34.1.1;;;
North-East Atlantic;Cod;Gadus morhua;ICES;;COD;5W6-14;5, 14;27_5,27_14;;;;
North-East Atlantic;Tope shark;Galeorhinus galeus;ICES;;GAG;No TAC;5-10, 12;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12;;;;
North-East Atlantic;Black-mouthed dogfish;Galeus melastomus;ICES;;SHO;;6, 7;27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K;;;;
North-East Atlantic;Black-mouthed dogfish;Galeus melastomus;ICES;;SHO;;8, 9a;27_8,27_9_A;;;;
North-East Atlantic;Mouse catshark;Galeus murinus;ICES;;GAM;;5, 6, 7, 8, 9, 10;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10;;;;
North-East Atlantic;Witch ;Glyptocephalus cynoglossus;ICES;;WIT;No TAC;6, 7;27_6,27_7_A,27_7_B,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K;;;;
North-East Atlantic;Bluntnose sixgill shark;Hexanchus griseus;ICES;;SBL;No TAC;5, 6, 7, 8, 9, 10;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10;;;;
North-East Atlantic;Bluemouth rockfish;Helicolenus dactylopterus;ICES;;BRF;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;
North-East Atlantic;Atlantic halibut;Hippoglossus hippoglossus;ICES;;HAL;514GRN;5, 14;27_5,27_14;;;;
