"region";"sppName";"latinName";"RFMO";"RFMO_Stock_ID";"X3A_CODE";"FIDES_AREA";"area";"areaBis";"TAC.area.description";"Comments";"areaRDB";"latinNameASFIS";"TAXOCODE";"latinNameJoin"
"Baltic Sea";"Perch";"Perca fluviatilis";"ICES";NA;"FPE";"No TAC";"3d";"27_3_D";"";"";"27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32";"Perca fluviatilis";"1701400201";"Perca fluviatilis"
"Baltic Sea";"Flounder";"Platichthys flesus";"ICES";NA;"FLE";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32";"Platichthys flesus";"1830204802";"Platichthys flesus"
"Baltic Sea";"Plaice";"Pleuronectes platessa";"ICES";NA;"PLE";"3BCD-C";"22-23";"27_3_B_23,27_3_C_22";"";"";"27.3.b.23,27.3.c.22";"Pleuronectes platessa";"1830200405";"Pleuronectes platessa"
"Baltic Sea";"Plaice";"Pleuronectes platessa";"ICES";NA;"PLE";"3BCD-C";"24-32";"27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32";"Pleuronectes platessa";"1830200405";"Pleuronectes platessa"
"Baltic Sea";"Salmon";"Salmo salar";"ICES";NA;"SAL";"3BCD-F";"22-31";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31";"";"";"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31";"Salmo salar";"1230100401";"Salmo salar"
"Baltic Sea";"Salmon";"Salmo salar";"ICES";NA;"SAL";"3D32.";"32";"27_3_D_32";"";"";"27.3.d.32";"Salmo salar";"1230100401";"Salmo salar"
"Baltic Sea";"Sea trout";"Salmo trutta";"ICES";NA;"TRS";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32";"Salmo trutta";"1230100402";"Salmo trutta"
"Baltic Sea";"Pike-perch";"Sander lucioperca";"ICES";NA;"FPP";"No TAC";"3d";"27_3_D";"";"";"27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32";"Sander lucioperca";"1701436103";"Sander lucioperca"
"Baltic Sea";"Turbot";"Scophtalmus maximus";"ICES";NA;"TUR";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32";"Scophtalmus maximus";NA;"Scophtalmus maximus,Scophthalmus maximus,Psetta maxima"
"Baltic Sea";"Brill";"Scophthalmus rhombus";"ICES";NA;"BLL";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32";"Scophthalmus rhombus";"1830506401";"Scophthalmus rhombus"
"Baltic Sea";"Sole";"Solea solea";"ICES";NA;"SOL";"3ABC24";"20-24";"27_3_A,27_3_C_22,27_3_B_23,27_3_D_24";"";"";"27.3.a,27.3.a.20,27.3.a.21,27.3.c.22,27.3.b.23,27.3.d.24";"Solea solea";"1830300701";"Solea solea"
"Baltic Sea";"Sprat";"Sprattus sprattus";"ICES";NA;"SPR";"3BCD-C";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"To be checked";"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32";"Sprattus sprattus";"1210506601";"Sprattus sprattus"
"North Sea and Eastern Arctic";"European Eel";"Anguilla anguilla";"ICES";NA;"ELE";"No TAC";"1, 2";"27_1,27_2";"";"";"27.1,27.2,27.2.a,27.2.a.1,27.2.a.2,27.2.b,27.2.b.2";"Anguilla anguilla";"1430200201";"Anguilla anguilla"
"North Sea and Eastern Arctic";"Greater silver smelt";"Argentina silus";"ICES";NA;"ARU";"1/2.";"1, 2";"27_1,27_2";"";"";"27.1,27.2,27.2.a,27.2.a.1,27.2.a.2,27.2.b,27.2.b.2";"Argentina silus";"1230501503";"Argentina silus"
"North Sea and Eastern Arctic";"Tusk";"Brosme brosme";"ICES";NA;"USK";"1214EI";"1, 2";"27_1,27_2";"EC and International Waters of I-II and XIV";"";"27.1,27.2,27.2.a,27.2.a.1,27.2.a.2,27.2.b,27.2.b.2";"Brosme brosme";"1480400101";"Brosme brosme"
"North Sea and Eastern Arctic";"Herring";"Clupea harengus";"ICES";NA;"HER";"1/2-";"1, 2";"27_1,27_2";"";"";"27.1,27.2,27.2.a,27.2.a.1,27.2.a.2,27.2.b,27.2.b.2";"Clupea harengus";"1210500105";"Clupea harengus"
"North Sea and Eastern Arctic";"Cod";"Gadus morhua";"ICES";NA;"COD";"1/2B.";"1, 2";"27_1,27_2";"I-IIb)";"";"27.1,27.2,27.2.a,27.2.a.1,27.2.a.2,27.2.b,27.2.b.2";"Gadus morhua";"1480400202";"Gadus morhua"
"North Sea and Eastern Arctic";"Tope";"Galeorhinus galeus";"ICES";NA;"GAG";"No TAC";"1, 2";"27_1,27_2";"";"";"27.1,27.2,27.2.a,27.2.a.1,27.2.a.2,27.2.b,27.2.b.2";"Galeorhinus galeus";"1080401103";"Galeorhinus galeus"
"North Sea and Eastern Arctic";"American plaice";"Hippoglossoides platessoides";"ICES";NA;"PLA";"No TAC";"1, 2";"27_1,27_2";"";"";"27.1,27.2,27.2.a,27.2.a.1,27.2.a.2,27.2.b,27.2.b.2";"Hippoglossoides platessoides";"1830201401";"Hippoglossoides platessoides"
"North Sea and Eastern Arctic";"Capelin";"Mallotus villosus";"ICES";NA;"CAP";"02B.";"1, 2";"27_1,27_2";"ICES division IIb - Spitzbergen and Bear Island";"";"27.1,27.2,27.2.a,27.2.a.1,27.2.a.2,27.2.b,27.2.b.2";"Mallotus villosus";"1230400201";"Mallotus villosus"
"North Sea and Eastern Arctic";"Haddock";"Melanogrammus aeglefinus";"ICES";NA;"HAD";"1N2AB.";"1, 2";"27_1,27_2";"I-II (Norwegian waters)";"";"27.1,27.2,27.2.a,27.2.a.1,27.2.a.2,27.2.b,27.2.b.2";"Melanogrammus aeglefinus";"1480401001";"Melanogrammus aeglefinus"
"North Sea and Eastern Arctic";"Blue whiting";"Micromesistius poutassou";"ICES";NA;"WHB";"1X14";"1, 2";"27_1,27_2";"";"";"27.1,27.2,27.2.a,27.2.a.1,27.2.a.2,27.2.b,27.2.b.2";"Micromesistius poutassou";"1480403301";"Micromesistius poutassou"
"North Sea and Eastern Arctic";"Blue ling";"Molva dypterygia";"ICES";NA;"BLI";"24-";"2";"27_2";"";"";"27.2,27.2.a,27.2.a.1,27.2.a.2,27.2.b,27.2.b.2";"Molva dypterygia";"1480400502";"Molva dypterygia"
"North Sea and Eastern Arctic";"Ling";"Molva molva";"ICES";NA;"LIN";"1/2.";"1, 2";"27_1,27_2";"";"";"27.1,27.2,27.2.a,27.2.a.1,27.2.a.2,27.2.b,27.2.b.2";"Molva molva";"1480400501";"Molva molva"
"North Sea and Eastern Arctic";"Smooth-hound";"Mustelus spp.";"ICES";NA;"SKH";"";"1, 2";"27_1,27_2";"";"";"27.1,27.2,27.2.a,27.2.a.1,27.2.a.2,27.2.b,27.2.b.2";"Mustelus spp.";"10804007XX";"Mustelus spp.,Mustelus antarcticus,Mustelus californicus,Mustelus canis,Mustelus dorsalis,Mustelus fasciatus,Mustelus griseus,Mustelus henlei,Mustelus higmani,Mustelus lenticulatus,Mustelus lunulatus,Mustelus manazo,Mustelus schmitti,Mustelus mustelus,Mustelus norrisi,Mustelus asterias,Mustelus mento,Mustelus mosis,Mustelus palumbes,Mustelus punctulatus,Mustelus whitneyi,Mustelus spp.,Mustelus"
"North Sea and Eastern Arctic";"Northern shrimp";"Pandalus borealis";"ICES";NA;"PRA";"2AC4-C";"1, 2";"27_1,27_2";"EC waters of IIa) and IV";"";"27.1,27.2,27.2.a,27.2.a.1,27.2.a.2,27.2.b,27.2.b.2";"Pandalus borealis";"2280400203";"Pandalus borealis"
"North Sea and Eastern Arctic";"Saithe";"Pollachius virens";"ICES";NA;"POK";"1/2INT,1N2AB.";"1, 2";"27_1,27_2";"I-II (International waters)";"";"27.1,27.2,27.2.a,27.2.a.1,27.2.a.2,27.2.b,27.2.b.2";"Pollachius virens";"1480401501";"Pollachius virens"
"North Sea and Eastern Arctic";"Greenland halibut";"Reinhardtius hippoglossoides";"ICES";NA;"GHL";"1/2INT";"1, 2";"27_1,27_2";"I-II (International waters)";"";"27.1,27.2,27.2.a,27.2.a.1,27.2.a.2,27.2.b,27.2.b.2";"Reinhardtius hippoglossoides";"1830200501";"Reinhardtius hippoglossoides"
"North Sea and Eastern Arctic";"Salmon";"Salmo salar";"ICES";NA;"SAL";"No TAC";"1, 2";"27_1,27_2";"";"";"27.1,27.2,27.2.a,27.2.a.1,27.2.a.2,27.2.b,27.2.b.2";"Salmo salar";"1230100401";"Salmo salar"
"North Sea and Eastern Arctic";"Sea trout";"Salmo trutta";"ICES";NA;"TRS";"";"1, 2";"27_1,27_2";"";"";"27.1,27.2,27.2.a,27.2.a.1,27.2.a.2,27.2.b,27.2.b.2";"Salmo trutta";"1230100402";"Salmo trutta"
"North Sea and Eastern Arctic";"Mackerel";"Scomber scombrus";"ICES";NA;"MAC";"2A34.";"2";"27_2";"IIa";"";"27.2,27.2.a,27.2.a.1,27.2.a.2,27.2.b,27.2.b.2";"Scomber scombrus";"1750100205";"Scomber scombrus"
"North Sea and Eastern Arctic";"Beaked redfish";"Sebastes mentella";"ICES";NA;"REB";"1N2AB.";"1, 2";"27_1,27_2";"";"";"27.1,27.2,27.2.a,27.2.a.1,27.2.a.2,27.2.b,27.2.b.2";"Sebastes mentella";"1780100112";"Sebastes mentella"
"North Sea and Eastern Arctic";"Golden Redfish";"Sebastes norvegicus";"ICES";NA;"REG";"XXX";"1, 2";"27_1,27_2";"NEAFC Stock - catches not from the stock that is subject to NEAFC management mesures";"";"27.1,27.2,27.2.a,27.2.a.1,27.2.a.2,27.2.b,27.2.b.2";"Sebastes norvegicus";NA;"Sebastes norvegicus"
"North Sea and Eastern Arctic";"Picked dogfish";"Squalus acanthias";"ICES";NA;"DGS";"15X14";"1, 2";"27_1,27_2";"";"";"27.1,27.2,27.2.a,27.2.a.1,27.2.a.2,27.2.b,27.2.b.2";"Squalus acanthias";"1090100704";"Squalus acanthias"
"North Sea and Eastern Arctic";"Horse mackerel";"Trachurus trachurus";"ICES";NA;"JAX";"2A-14";"2a";"27_2_A";"NEAFC Stock - catches not from the stock that is subject to NEAFC management mesures";"";"27.2.a,27.2.a.1,27.2.a.2";"Trachurus trachurus";"1702300401";"Trachurus trachurus"
"North Sea and Eastern Arctic";"Sand eel";"Ammodytidae";"ICES";NA;"SAN";"2A3A4.";"3a, 4";"27_3_A,27_4";"IIIa,   EC waters of IIa and IV";"";"27.3.a,27.3.a.20,27.3.a.21,27.4,27.4.a,27.4.b,27.4.c";"Ammodytidae";"17204XXXXX";"Ammodytidae,Ammodytes personatus,Ammodytes tobianus,Ammodytes americanus,Ammodytes gilli,Ammodytes marinus,Ammodytes spp.,Ammodytoides renniei,Gymnammodytes capensis,Gymnammodytes cicerelus,Gymnammodytes semisquamatus,Gymnammodytes spp.,Hyperoplus immaculatus,Hyperoplus lanceolatus,Ammodytidae,Ammodytes"
"North Sea and Eastern Arctic";"Catfish";"Anarhichas spp.";"ICES";NA;"CAT";"No TAC";"4";"27_4";"";"";"27.4,27.4.a,27.4.b,27.4.c";"Anarhichas spp.";"17102001XX";"Anarhichas spp.,Anarhichas lupus,Anarhichas denticulatus,Anarhichas minor,Anarhichas spp.,Anarhichas"
"North Sea and Eastern Arctic";"European Eel";"Anguilla anguilla";"ICES";NA;"ELE";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27.3.a,27.3.a.20,27.3.a.21,27.4,27.4.a,27.4.b,27.4.c,27.7.d";"Anguilla anguilla";"1430200201";"Anguilla anguilla"
"North Sea and Eastern Arctic";"Greater silver smelt";"Argentina silus";"ICES";NA;"ARU";"3A4-C";"3a, 4";"27_3_A,27_4";"";"";"27.3.a,27.3.a.20,27.3.a.21,27.4,27.4.a,27.4.b,27.4.c";"Argentina silus";"1230501503";"Argentina silus"
"North Sea and Eastern Arctic";"Argentine";"Argentina spp.";"ICES";NA;"ARU";"3A4-C";"4";"27_4";"";"";"27.4,27.4.a,27.4.b,27.4.c";"Argentina spp.";"12305015XX";"Argentina spp.,Argentina elongata,Argentina kagoshimae,Argentina sphyraena,Argentina spp.,Argentina"
"North Sea and Eastern Arctic";"Red gurnard";"Aspitrigla cuculus";"ICES";NA;"GUR";"No TAC";"3a";"27_3_A";"";"";"27.3.a,27.3.a.20,27.3.a.21";"Aspitrigla cuculus";"1780200403";"Aspitrigla cuculus,Chelidonichthys cuculus"
"North Sea and Eastern Arctic";"Tusk";"Brosme brosme";"ICES";NA;"USK";"03A.,04-C.,04-N.";"3a, 4";"27_3_A,27_4";"EU waters of IV";"";"27.3.a,27.3.a.20,27.3.a.21,27.4,27.4.a,27.4.b,27.4.c";"Brosme brosme";"1480400101";"Brosme brosme"
"North Sea and Eastern Arctic";"Herring";"Clupea harengus";"ICES";NA;"HER";"03A.,03A-BC,2A47DX,4AB.";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27.3.a,27.3.a.20,27.3.a.21,27.4,27.4.a,27.4.b,27.4.c,27.7.d";"Clupea harengus";"1210500105";"Clupea harengus"
"North Sea and Eastern Arctic";"Roundnose grenadier";"Coryphaenoides rupestris";"ICES";NA;"RNG";"03-";"3a";"27_3_A";"EU and international waters of III";"";"27.3.a,27.3.a.20,27.3.a.21";"Coryphaenoides rupestris";"1480600401";"Coryphaenoides rupestris"
"North Sea and Eastern Arctic";"Common Shrimp";"Crangon crangon";"ICES";NA;"CSH";"No TAC";"4, 7d";"27_4,27_7_D";"";"";"27.4,27.4.a,27.4.b,27.4.c,27.7.d";"Crangon crangon";"2282300303";"Crangon crangon"
"North Sea and Eastern Arctic";"Sea bass";"Dicentrarchus labrax";"ICES";NA;"BSS";"No TAC";"4, 7d";"27_4,27_7_D";"";"";"27.4,27.4.a,27.4.b,27.4.c,27.7.d";"Dicentrarchus labrax";"1700634503";"Dicentrarchus labrax"
"North Sea and Eastern Arctic";"Grey gurnard";"Eutrigla gurnardus";"ICES";NA;"GUG";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27.3.a,27.3.a.20,27.3.a.21,27.4,27.4.a,27.4.b,27.4.c,27.7.d";"Eutrigla gurnardus";"1780207001";"Eutrigla gurnardus"
"North Sea and Eastern Arctic";"Cod";"Gadus morhua";"ICES";NA;"COD";"03AN.";"3aN";"27_3_A-4_AB_NK";"Skagerrak (Division IIIa)";"";"27.3.a.20";"Gadus morhua";"1480400202";"Gadus morhua"
"North Sea and Eastern Arctic";"Cod";"Gadus morhua";"ICES";NA;"COD";"03AS.";"3aS";"27_3_A";"Kattegat (Division IIIa)";"";"27.3.a.21";"Gadus morhua";"1480400202";"Gadus morhua"
"North Sea and Eastern Arctic";"Cod";"Gadus morhua";"ICES";NA;"COD";"2A3AX4,07D.";"4, 7d";"27_4,27_7_D";"IV,   EC waters of Iia,   that part of IIIa not covered by the Skagerrak and the Kattegat, ICES division VIId - Eastern Channel";"";"27.4,27.4.a,27.4.b,27.4.c,27.7.d";"Gadus morhua";"1480400202";"Gadus morhua"
"North Sea and Eastern Arctic";"Tope";"Galeorhinus galeus";"ICES";NA;"GAG";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27.3.a,27.3.a.20,27.3.a.21,27.4,27.4.a,27.4.b,27.4.c,27.7.d";"Galeorhinus galeus";"1080401103";"Galeorhinus galeus"
"North Sea and Eastern Arctic";"Witch flounder";"Glyptocephalus cynoglossus";"ICES";NA;"WIT";"No TAC";"3a, 4";"27_3_A,27_4";"";"";"27.3.a,27.3.a.20,27.3.a.21,27.4,27.4.a,27.4.b,27.4.c";"Glyptocephalus cynoglossus";"1830201102";"Glyptocephalus cynoglossus"
"North Sea and Eastern Arctic";"Blue-mouth rockfish";"Helicolenus dactylopterus";"ICES";NA;"BRF";"No TAC";"4";"27_4";"";"";"27.4,27.4.a,27.4.b,27.4.c";"Helicolenus dactylopterus";"1780101703";"Helicolenus dactylopterus"
"North Sea and Eastern Arctic";"Four-spot megrim";"Lepidorhombus boscii";"ICES";NA;"LEZ,LDB";"2AC4-C";"4, 7d";"27_4,27_7_D";"EC waters of IIa) and IV";"";"27.4,27.4.a,27.4.b,27.4.c,27.7.d";"Lepidorhombus boscii";"1830500302";"Lepidorhombus boscii"
"North Sea and Eastern Arctic";"Megrim";"Lepidorhombus whiffiagonis";"ICES";NA;"LEZ,MEG";"2AC4-C";"4, 7d";"27_4,27_7_D";"EC waters of IIa) and IV";"";"27.4,27.4.a,27.4.b,27.4.c,27.7.d";"Lepidorhombus whiffiagonis";"1830500301";"Lepidorhombus whiffiagonis"
"North Sea and Eastern Arctic";"Cuckoo ray";"Leucoraja naevus";"ICES";NA;"RJN";"03A-C.,2AC4-C";"3a, 4";"27_3_A,27_4";"";"";"27.3.a,27.3.a.20,27.3.a.21,27.4,27.4.a,27.4.b,27.4.c";"Leucoraja naevus";NA;"Leucoraja naevus"
"North Sea and Eastern Arctic";"Dab";"Limanda limanda";"ICES";NA;"DAB";"2AC4-C";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27.3.a,27.3.a.20,27.3.a.21,27.4,27.4.a,27.4.b,27.4.c,27.7.d";"Limanda limanda";"1830202405";"Limanda limanda"
"North Sea and Eastern Arctic";"Black-bellied angler";"Lophius budegassa";"ICES";NA;"ANF,MNZ";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27.3.a,27.3.a.20,27.3.a.21,27.4,27.4.a,27.4.b,27.4.c,27.7.d";"Lophius budegassa";"1950100102";"Lophius budegassa"
"North Sea and Eastern Arctic";"Anglerfish";"Lophius piscatorius";"ICES";NA;"MON,MNZ";"2AC4-C,*2AC4-C,04-N.";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27.3.a,27.3.a.20,27.3.a.21,27.4,27.4.a,27.4.b,27.4.c,27.7.d";"Lophius piscatorius";"1950100101";"Lophius piscatorius"
"North Sea and Eastern Arctic";"Roughhead grenadier";"Macrourus berglax";"ICES";NA;"RHG";"";"4";"27_4";"EU and international waters of I-II and IV";"";"27.4,27.4.a,27.4.b,27.4.c";"Macrourus berglax";"1480600103";"Macrourus berglax"
"North Sea and Eastern Arctic";"Haddock";"Melanogrammus aeglefinus";"ICES";NA;"HAD";"03A.,04-N.,*04N-";"3a, 4";"27_3_A,27_4";"IIIa) and EU waters of IIIbcd";"";"27.3.a,27.3.a.20,27.3.a.21,27.4,27.4.a,27.4.b,27.4.c";"Melanogrammus aeglefinus";"1480401001";"Melanogrammus aeglefinus"
"North Sea and Eastern Arctic";"Whiting";"Merlangius merlangus";"ICES";NA;"WHG";"03A.,2AC4.";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27.3.a,27.3.a.20,27.3.a.21,27.4,27.4.a,27.4.b,27.4.c,27.7.d";"Merlangius merlangus";"1480403401";"Merlangius merlangus"
"North Sea and Eastern Arctic";"Hake";"Merluccius merluccius";"ICES";NA;"HKE";"2AC4-C,3A.";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"EC waters of IIa) and IV";"";"27.3.a,27.3.a.20,27.3.a.21,27.4,27.4.a,27.4.b,27.4.c,27.7.d";"Merluccius merluccius";"1480500401";"Merluccius merluccius"
"North Sea and Eastern Arctic";"Blue whiting";"Micromesistius poutassou";"ICES";NA;"WHB";"1X14";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27.3.a,27.3.a.20,27.3.a.21,27.4,27.4.a,27.4.b,27.4.c,27.7.d";"Micromesistius poutassou";"1480403301";"Micromesistius poutassou"
"North Sea and Eastern Arctic";"Lemon sole";"Microstomus kitt";"ICES";NA;"LEM";"2AC4-C";"4, 7d";"27_4,27_7_D";"EC waters of IIa) and IV";"";"27.4,27.4.a,27.4.b,27.4.c,27.7.d";"Microstomus kitt";"1830204504";"Microstomus kitt"
"North Sea and Eastern Arctic";"Blue ling";"Molva dypterygia";"ICES";NA;"BLI";"03A-,*24X7C";"3a, 4";"27_3_A,27_4";"EU and international waters of II and IV";"";"27.3.a,27.3.a.20,27.3.a.21,27.4,27.4.a,27.4.b,27.4.c";"Molva dypterygia";"1480400502";"Molva dypterygia"
"North Sea and Eastern Arctic";"Ling";"Molva molva";"ICES";NA;"LIN";"03A-C.,04-C.,04-N.";"3a, 4";"27_3_A,27_4";"EU waters of IV";"";"27.3.a,27.3.a.20,27.3.a.21,27.4,27.4.a,27.4.b,27.4.c";"Molva molva";"1480400501";"Molva molva"
"North Sea and Eastern Arctic";"Red mullet";"Mullus barbatus";"ICES";NA;"MUT";"No TAC";"4, 7d";"27_4,27_7_D";"";"";"27.4,27.4.a,27.4.b,27.4.c,27.7.d";"Mullus barbatus";"1704100702";"Mullus barbatus"
"North Sea and Eastern Arctic";"Striped red mullet";"Mullus surmuletus";"ICES";NA;"MUR";"No TAC";"4, 7d";"27_4,27_7_D";"";"";"27.4,27.4.a,27.4.b,27.4.c,27.7.d";"Mullus surmuletus";"1704100701";"Mullus surmuletus"
