species,fishreg,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
AHH,37_1,TLW,EU28	: 	: 	: 	: 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AHH,37_1_1,TLW,ES	: 	: 	: 	: 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AHH,37_1_1,TLW,EU28	: 	: 	: 	: 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AHH,37_2,TLW,EU28	: 	5.946 	8.1714 	5.2008 	6.3454 	9.35 	7.36 	14.25 	0.82 	1.08 	0.82 	0.67 	0 	: 	: 	: 	: 	: 	: 
AHH,37_2,TLW,HR	: 	5.95 	8.1714 	5.2008 	6.3454 	9.35 	6.23 	12.74 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AHH,37_2,TLW,SI	0 n	: 	0 	0 	0 	0 	1.13 	1.51 	0.82 	1.08 	0.82 	0.67 	0 	: 	: 	: 	: 	: 	: 
AHH,37_2_1,TLW,EU28	: 	5.946 	8.1714 	5.2008 	6.3454 	9.35 	7.36 	14.25 	0.82 	1.08 	0.82 	0.67 	0 	: 	: 	: 	: 	: 	: 
AHH,37_2_1,TLW,HR	: 	5.95 	8.1714 	5.2008 	6.3454 	9.35 	6.23 	12.74 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AHH,37_2_1,TLW,SI	0 n	: 	0 	0 	0 	0 	1.13 	1.51 	0.82 	1.08 	0.82 	0.67 	0 	: 	: 	: 	: 	: 	: 
AJH,37,TLW,EU28	: 	0.73 	0.7433 	0.9392 	0.9955 	1.1 	1.33 	1.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AJH,37,TLW,HR	: 	0.73 	0.7433 	0.9392 	0.9955 	1.1 	1.33 	1.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AJH,37_2,TLW,EU28	: 	0.73 	0.7433 	0.9392 	0.9955 	1.1 	1.33 	1.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AJH,37_2,TLW,HR	: 	0.73 	0.7433 	0.9392 	0.9955 	1.1 	1.33 	1.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AJH,37_2_1,TLW,EU28	: 	0.73 	0.7433 	0.9392 	0.9955 	1.1 	1.33 	1.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AJH,37_2_1,TLW,HR	: 	0.73 	0.7433 	0.9392 	0.9955 	1.1 	1.33 	1.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALA,37,TLW,ES	: 	4.5 	6.37 	3.02 	8.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALA,37,TLW,EU28	: 	4.5 	6.37 	3.02 	8.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALA,37_1,TLW,ES	: 	4.5 	6.37 	3.02 	8.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALA,37_1,TLW,EU28	: 	4.5 	6.37 	3.02 	8.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALA,37_1_1,TLW,ES	: 	4.24 	6.37 	3.02 	8.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALA,37_1_1,TLW,EU28	: 	4.24 	6.37 	3.02 	8.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALA,37_1_2,TLW,ES	: 	0.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALA,37_1_2,TLW,EU28	: 	0.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,37,TLW,CY	: 	570.891 	573.1 	511.385 	397.817 	359.1 	317.5316 	243.2 	231.2 	240.2 	240 	620.1 	506.8 	394.9 	250 	30 	12 	0 	6 
ALB,37,TLW,EL	545.4 p	638.89 	1229.71 	520.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1840 	1786 
ALB,37,TLW,ES	: 	217.37 	67.18 	58.88 	297.55 	256.14 	422.01 	356.48 	356.9 	220.51 	191 	211 	204.7 	68.4 	32.9 	1 	209 	200 	152 
ALB,37,TLW,EU28	: 	2781.6 	3425.4028 	2742.5912 	2157.435 	1280.328 	1924.8958 	3117.99 	2469.4 	3261.53 	2533.2 	4921.3 	5310.02 	2894.7 	283.91 	6943 	4256 	4866 	5578 
ALB,37,TLW,FR	: 	0.895 	1.298 	1.2 	0.64 	0.41 	1.35 	2.5 	: 	0.02 	: 	: 	0.01 	0.4 	1 	0 	1 	0 	0 
ALB,37,TLW,HR	: 	1.93 	6.6608 	11.5752 	29.584 	20.28 	11.83 	6.97 	1.9 	0.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,37,TLW,IT	: 	1348.4 	1491.1 	1602.3 	1353.1 	615.3 	1153.6 	2503.9 	1876.9 	2799.1 	2097.5 	4088.7 	4584 	2431 	0 	6912 	4032 	2826 	3630 
ALB,37,TLW,MT	: 	3.22 	56.354 	37.181 	62.024 	29.098 	18.5742 	4.94 	2.5 	1.4 	4.7 	1.5 	14.5 	0 	0 	0 	2 	0 	4 
ALB,37,TLW,PT	: 	: 	: 	: 	16.72 	: 	: 	: 	: 	: 	: 	: 	0.01 	: 	0.01 	: 	: 	: 	: 
ALB,37,TLW,TR	37.8 	44 e	25.2 	53.4 	0.3 	70.6 	61.7 	1395.7 	804 	1262 	416 	1704 	73 	30 	27 	0 	0 	0 	0 
ALB,37_1,TLW,ES	: 	214.51 	67.18 	58.88 	142.21 	208.94 	422.01 	356.48 	356.9 	220.51 	191 	211 	204.7 	68.4 	32.9 	: 	: 	: 	: 
ALB,37_1,TLW,EU28	: 	439.705 	483.178 	503.38 	410.47 	462.25 	980.16 	1126.38 	844.7 	959.93 	590 	1402.3 	2117.72 	1336.8 	33.91 	: 	: 	: 	: 
ALB,37_1,TLW,FR	: 	0.895 	1.298 	1.2 	0.64 	0.41 	1.35 	2.5 	: 	0.02 	: 	: 	0.01 	0.4 	1 	: 	: 	: 	: 
ALB,37_1,TLW,IT	: 	224.3 	414.7 	443.3 	250.9 	252.9 	556.8 	767.4 	487.8 	739.4 	399 	1191.3 	1913 	1268 	: 	: 	: 	: 	: 
ALB,37_1,TLW,PT	: 	: 	: 	: 	16.72 	: 	: 	: 	: 	: 	: 	: 	0.01 	: 	0.01 	: 	: 	: 	: 
ALB,37_1_1,TLW,ES	: 	213.8 	67.03 	57.59 	132.31 	207.88 	422 	356.3 	356.8 	218.7 	190 	207.3 	200.3 	67.6 	32.9 	: 	: 	: 	: 
ALB,37_1_1,TLW,EU28	: 	213.8 	67.03 	57.59 	149.03 	207.88 	422 	356.3 	356.8 	218.7 	190 	207.3 	200.31 	67.6 	32.91 	: 	: 	: 	: 
ALB,37_1_1,TLW,PT	: 	: 	: 	: 	16.72 	: 	: 	: 	: 	: 	: 	: 	0.01 	: 	0.01 	: 	: 	: 	: 
ALB,37_1_2,TLW,ES	: 	0.71 	0.15 	1.29 	1.91 	0.49 	0.01 	0.18 	0.1 	1.8 	1 	: 	4.4 	0.8 	: 	: 	: 	: 	: 
ALB,37_1_2,TLW,EU28	: 	1.37 	0.299 	2.15 	2.03 	0.58 	0.64 	0.42 	0.1 	1.81 	1 	: 	4.41 	1.2 	1 	: 	: 	: 	: 
ALB,37_1_2,TLW,FR	: 	0.66 	0.149 	0.86 	0.12 	0.09 	0.63 	0.24 	: 	0.01 	: 	: 	0.01 	0.4 	1 	: 	: 	: 	: 
ALB,37_1_3,TLW,ES	: 	: 	: 	: 	7.99 	0.57 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,37_1_3,TLW,EU28	: 	224.535 	415.849 	443.64 	259.41 	253.79 	557.52 	769.66 	487.8 	739.41 	399 	1191.3 	1913 	1268 	: 	: 	: 	: 	: 
ALB,37_1_3,TLW,FR	: 	0.235 	1.149 	0.34 	0.52 	0.32 	0.72 	2.26 	: 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,37_1_3,TLW,IT	: 	224.3 	414.7 	443.3 	250.9 	252.9 	556.8 	767.4 	487.8 	739.4 	399 	1191.3 	1913 	1268 	: 	: 	: 	: 	: 
ALB,37_1_NK,TLW,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.01 	: 	3.7 	: 	: 	: 	: 	: 	: 	: 
ALB,37_1_NK,TLW,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.01 	: 	3.7 	: 	: 	: 	: 	: 	: 	: 
ALB,37_2,TLW,CY	: 	: 	: 	6.385 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,37_2,TLW,EL	51.12 p	46.71 	98.74 	65.22 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,37_2,TLW,ES	: 	1.76 	: 	: 	129.23 	47.12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,37_2,TLW,EU28	: 	1177.724 	1238.1548 	1279.3612 	1323.038 	458.898 	627.2042 	1748.41 	1393.5 	2061.4 	1703.2 	2898.9 	2671 	1163 	: 	: 	: 	: 	: 
ALB,37_2,TLW,HR	: 	1.93 	6.6608 	11.5752 	29.584 	20.28 	11.83 	6.97 	1.9 	0.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,37_2,TLW,IT	: 	1124.1 	1076.4 	1159 	1102.2 	362.4 	596.8 	1736.5 	1389.1 	2059.7 	1698.5 	2897.4 	2671 	1163 	: 	: 	: 	: 	: 
ALB,37_2,TLW,MT	: 	3.22 	56.354 	37.181 	62.024 	29.098 	18.5742 	4.94 	2.5 	1.4 	4.7 	1.5 	: 	: 	: 	: 	: 	: 	: 
ALB,37_2_1,TLW,EU28	: 	1.93 	6.6608 	11.5752 	29.584 	20.28 	11.83 	6.97 	1.9 	0.5 	1698.5 	0.8 	34 	305 	: 	: 	: 	: 	: 
ALB,37_2_1,TLW,HR	: 	1.93 	6.6608 	11.5752 	29.584 	20.28 	11.83 	6.97 	1.9 	0.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,37_2_1,TLW,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.2 	1698.5 	0.8 	34 	305 	: 	: 	: 	: 	: 
ALB,37_2_2,TLW,CY	: 	: 	: 	6.385 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,37_2_2,TLW,EL	51.12 p	46.71 	98.74 	65.22 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,37_2_2,TLW,ES	: 	1.76 	: 	: 	129.23 	47.12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,37_2_2,TLW,EU28	: 	1175.794 	1231.494 	1267.786 	1293.454 	438.618 	615.3742 	1741.44 	1391.6 	2060.9 	4.7 	2898.1 	2637 	858 	: 	: 	: 	: 	: 
ALB,37_2_2,TLW,IT	: 	1124.1 	1076.4 	1159 	1102.2 	362.4 	596.8 	1736.5 	1389.1 	2059.5 	: 	2896.6 	2637 	858 	: 	: 	: 	: 	: 
ALB,37_2_2,TLW,MT	: 	3.22 	56.354 	37.181 	62.024 	29.098 	18.5742 	4.94 	2.5 	1.4 	4.7 	1.5 	: 	: 	: 	: 	: 	: 	: 
ALB,37_3,TLW,CY	: 	570.891 	573.1 	505 	397.817 	359.1 	317.5316 	243.2 	231.2 	240.2 	240 	620.1 	506.8 	: 	: 	: 	: 	: 	: 
ALB,37_3,TLW,EL	494.28 p	592.18 	1130.97 	454.85 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,37_3,TLW,ES	: 	1.1 	: 	: 	26.11 	0.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,37_3,TLW,EU28	: 	1164.171 	1704.07 	959.85 	423.927 	359.18 	317.5316 	243.2 	231.2 	240.2 	240 	620.1 	506.8 	: 	: 	: 	: 	: 	: 
ALB,37_3,TLW,TR	37.8 	44 e	25.2 	53.3 	0.3 	70.6 	61.7 	1395.7 	402 	598 	198 	726 	: 	: 	: 	: 	: 	: 	: 
ALB,37_3_1,TLW,CY	: 	0.207 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,37_3_1,TLW,EL	494.28 p	592.18 	1130.97 	454.85 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,37_3_1,TLW,ES	: 	0.89 	: 	: 	25.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,37_3_1,TLW,EU28	: 	593.277 	1131.07 	454.85 	25.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,37_3_1,TLW,TR	: 	: 	0.2 	: 	0.2 	57.8 	2.4 	87.7 	179 	280 	104 	54 	: 	: 	: 	: 	: 	: 	: 
ALB,37_3_2,TLW,CY	: 	570.684 	573 	505 	397.817 	359.1 	317.5316 	243.2 	231.2 	240.2 	240 	620.1 	506.8 	: 	: 	: 	: 	: 	: 
ALB,37_3_2,TLW,ES	: 	0.21 	: 	: 	0.7 	0.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,37_3_2,TLW,EU28	: 	570.894 	573 	505 	398.517 	359.18 	317.5316 	243.2 	231.2 	240.2 	240 	620.1 	506.8 	: 	: 	: 	: 	: 	: 
ALB,37_3_2,TLW,TR	37.8 	44 e	25 	53.3 	0.1 	12.8 	59.3 	1308 	223 	318 	94 	672 	: 	: 	: 	: 	: 	: 	: 
ALB,37_4,TLW,TR	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	33 	10 	126 	: 	: 	: 	: 	: 	: 	: 
ALB,37_4_1,TLW,TR	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	25 	10 	126 	: 	: 	: 	: 	: 	: 	: 
ALB,37_4_2,TLW,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	8 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,37_NK,TLW,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	394.9 	250 	30 	12 	0 	6 
ALB,37_NK,TLW,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1840 	1786 
ALB,37_NK,TLW,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	209 	200 	152 
ALB,37_NK,TLW,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.5 	394.9 	250 	6943 	4256 	4866 	5578 
ALB,37_NK,TLW,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	1 	0 	0 
ALB,37_NK,TLW,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	6912 	4032 	2826 	3630 
ALB,37_NK,TLW,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.5 	0 	0 	0 	2 	0 	4 
ALB,37_NK,TLW,TR	: 	: 	: 	: 	: 	: 	: 	: 	402 	631 	208 	852 	73 	30 	27 	0 	0 	0 	0 
ALF,37,TLW,ES	: 	: 	: 	0 	0.33 	0.21 	0.76 	0.06 	0.01 	1.2 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 
ALF,37,TLW,EU28	: 	: 	: 	0 	0.33 	0.21 	0.76 	0.06 	0.01 	1.2 	0.01 	: 	: 	: 	: 	0 	0 	0 	8 
ALF,37,TLW,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	8 
ALF,37_1,TLW,ES	: 	: 	: 	0 	0.33 	0.21 	0.76 	0.06 	0.01 	1.2 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 
ALF,37_1,TLW,EU28	: 	: 	: 	0 	0.33 	0.21 	0.76 	0.06 	0.01 	1.2 	0.01 	: 	: 	: 	: 	0 	0 	0 	8 
ALF,37_1,TLW,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	8 
ALF,37_1_1,TLW,ES	: 	: 	: 	0 	0.02 	: 	0.64 	0.06 	0.01 	1.2 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 
ALF,37_1_1,TLW,EU28	: 	: 	: 	0 	0.02 	: 	0.64 	0.06 	0.01 	1.2 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 
ALF,37_1_2,TLW,ES	: 	: 	: 	0 	0.31 	0.21 	0.12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALF,37_1_2,TLW,EU28	: 	: 	: 	0 	0.31 	0.21 	0.12 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	8 
ALF,37_1_2,TLW,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	8 
ALV,37,TLW,ES	: 	: 	: 	0.11 	: 	: 	: 	0.02 	0.01 	1.8 	2 	0.6 	1.8 	0.8 	0.4 	: 	: 	: 	: 
ALV,37,TLW,EU28	: 	4.203 	2.286 	3.62 	2.09 	1.43 	0.78 	1.98 	1.71 	9.2 	12.1 	6.8 	11.9 	12.5 	11.4 	17 	14 	21 	12 
ALV,37,TLW,FR	: 	1.403 	1.771 	2.51 	2.09 	1.43 	0.78 	1.83 	1.6 	7.1 	10 	6 	10 	11.7 	10 	17 	13 	19 	12 
ALV,37,TLW,IT	: 	2.6 	0.5 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALV,37,TLW,MT	: 	0.2 	0.015 	: 	: 	: 	: 	0.13 	0.1 	0.3 	0.1 	0.2 	: 	: 	: 	: 	: 	: 	: 
ALV,37,TLW,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1 	: 	1 	0 	1 	2 	0 
ALV,37,TLW,SI	0 n	0 n	: 	0 	: 	: 	: 	0 	0 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 
ALV,37_1,TLW,ES	: 	: 	: 	0.11 	: 	: 	: 	0.02 	0.01 	1.8 	2 	0.6 	1.8 	0.8 	0.4 	: 	: 	: 	: 
