region;sppName;latinName;RFMO;RFMO_Stock_ID;FIDES_stockID;area;areaBis;TAC area description;Comments;;;;;
Baltic Sea;Sprat;Sprattus sprattus;ICES;;SPR3B23.,SPR3BCD-C,SPR3C22.,SPR3D24.,SPR3D25.,SPR3D26.,SPR3D27.,SPR3D28.,SPR3D29.,SPR3D30.,SPR3D31.,SPR3D32.;22-32;27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32;;To be checked;;;;;
North Sea and Eastern Arctic;Thresher;Alopias vulpinus;ICES;;No TAC;all areas;27_4,27_7_D;;;;;;;
North Sea and Eastern Arctic;Starry ray;Amblyraja radiata;ICES;;No TAC;IV;27_4;;;;;;;
North Sea and Eastern Arctic;Sand eel;Ammodytidae;ICES;;SAN2A3A4.;IIIa;27_3_A;IIIa,   EC waters of IIa and IV;;;;;;
North Sea and Eastern Arctic;Sand eel;Ammodytidae;ICES;;SAN2A3A4.;IV;27_4;IIIa,   EC waters of IIa and IV;;;;;;
North Sea and Eastern Arctic;Catfish;Anarhichas spp;ICES;;No TAC;IV;27_4;;;;;;;
North Sea and Eastern Arctic;European Eel;Anguilla anguilla;ICES;;No TAC;I-II;27_1,27_2;;;;;;;
North Sea and Eastern Arctic;European Eel;Anguilla anguilla;ICES;;No TAC;IIIa;27_3_A;;;;;;;
North Sea and Eastern Arctic;European Eel;Anguilla anguilla;ICES;;No TAC;IV, VIId;27_4,27_7_D;;;;;;;
North Sea and Eastern Arctic;Argentine;Argentina spp;ICES;;ARU34-C;IV;27_4;;;;;;;
North Sea and Eastern Arctic;Red gurnard;Aspitrigla cuculus;ICES;;No TAC;IIIa;27_3_A;;;;;;;
North Sea and Eastern Arctic;Tusk;Brosme brosme;ICES;;USK1214EI;I-II;27_1,27_2;EC and International Waters of I-II and XIV;;;;;;
North Sea and Eastern Arctic;Tusk;Brosme brosme;ICES;;USK04-C.;IV;27_4;EU waters of IV;;;;;;
North Sea and Eastern Arctic;Atlanto-Scandian herring;Clupea harengus;ICES;;HER1/2-;I-II;27_1,27_2;;;;;;;
North Sea and Eastern Arctic;Herring;Clupea harengus;ICES;;HER03A.,HER03A-BC;22-24,IIIa;27_3_A,27_3_C_22,27_3_D_24;;;;;;;
North Sea and Eastern Arctic;Herring;Clupea harengus;ICES;;HER2A47DX;IV, VIId;27_4,27_7_D;;;;;;;
North Sea and Eastern Arctic;Roundnose grenadier;Coryphaenoides rupestris;ICES;;RNG03-;IIIa;27_3_A;EU and international waters of III;;;;;;
North Sea and Eastern Arctic;Common Shrimp;Crangon crangon;ICES;;No TAC;IV, VIId;27_4,27_7_D;;;;;;;
North Sea and Eastern Arctic;Tortonese's stingray;Dasyatis tortonesei;ICES;;No TAC;all areas;27_4,27_7_D;;;;;;;
North Sea and Eastern Arctic;Sea bass;Dicentrarchus labrax;ICES;;No TAC;IV, VIId;27_4,27_7_D;;;;;;;
North Sea and Eastern Arctic;Grey gurnard;Eutrigla gurnardus;ICES;;No TAC;IIIa;27_3_A;;;;;;;
North Sea and Eastern Arctic;Grey gurnard;Eutrigla gurnardus;ICES;;No TAC;IV;27_4;;;;;;;
North Sea and Eastern Arctic;Grey gurnard;Eutrigla gurnardus;ICES;;No TAC;IV;27_4;;;;;;;
North Sea and Eastern Arctic;Cod;Gadus morhua;ICES;;COD1/2B.;I-II;27_1,27_2;I-IIb);;;;;;
North Sea and Eastern Arctic;Cod;Gadus morhua;ICES;;COD03AN.;IIIaN;27_3_A-4_AB_NK;Skagerrak (Division IIIa);;;;;;
North Sea and Eastern Arctic;Cod;Gadus morhua;ICES;;COD03AS.;IIIaS;27_3_A;Kattegat (Division IIIa);;;;;;
North Sea and Eastern Arctic;Cod;Gadus morhua;ICES;;COD2A3AX4,COD07D.;IV, VIId;27_4,27_7_D;IV,   EC waters of Iia,   that part of IIIa not covered by the Skagerrak and the Kattegat, ICES division VIId - Eastern Channel;;;;;;
North Sea and Eastern Arctic;Tope shark;Galeorhinus galeus;ICES;;No TAC;all areas;27_4,27_7_D;;;;;;;
North Sea and Eastern Arctic;Witch flounder;Glyptocephalus cynoglossus;ICES;;No TAC;IIIa;27_3_A;;;;;;;
North Sea and Eastern Arctic;Witch flounder;Glyptocephalus cynoglossus;ICES;;WIT2AC4-C;IV;27_4;EC waters of IIa) and IV;;;;;;
North Sea and Eastern Arctic;Blue-mouth rockfish;Helicolenus dactylopterus;ICES;;No TAC;IV;27_4;;;;;;;
North Sea and Eastern Arctic;Smalleyed rabbitfish;Hydrolagus affinis;ICES;;No TAC;IV, VIId;27_4,27_7_D;;;;;;;
North Sea and Eastern Arctic;Four-spot megrim;Lepidorhombus boscii;ICES;;LEZ2AC4-C;IV, VIId;27_4,27_7_D;EC waters of IIa) and IV;;;;;;
North Sea and Eastern Arctic;Megrim;Lepidorhombus whiffiagonis;ICES;;LEZ2AC4-C;IV, VIId;27_4,27_7_D;EC waters of IIa) and IV;;;;;;
North Sea and Eastern Arctic;Dab;Limanda limanda;ICES;;No TAC;IIIa;27_3_A;;;;;;;
North Sea and Eastern Arctic;Dab;Limanda limanda;ICES;;DAB2AC4-C;IV, VIId;27_4,27_7_D;EC waters of IIa) and IV;;;;;;
North Sea and Eastern Arctic;Black-bellied angler;Lophius budegassa;ICES;;ANF2AC4-C;IV, VIId;27_4,27_7_D;;;;;;;
North Sea and Eastern Arctic;Anglerfish;Lophius piscatorius;ICES;;ANF2AC4-C;IV;27_4;;;;;;;
North Sea and Eastern Arctic;Roughhead grenadier;Macrourus berglax;ICES;;RHG124-;IV;27_4;EU and international waters of I-II and IV;;;;;;
North Sea and Eastern Arctic;Capelin;Mallotus villosus;ICES;;CAP02B.;I-II;27_1,27_2;ICES division IIb - Spitzbergen and Bear Island;;;;;;
North Sea and Eastern Arctic;Haddock;Melanogrammus aeglefinus;ICES;;HAD1N2AB.;I-II;27_1,27_2;I-II (Norwegian waters);;;;;;
North Sea and Eastern Arctic;Haddock;Melanogrammus aeglefinus;ICES;;HAD3A/BCD;IIIa;27_3_A;IIIa) and EU waters of IIIbcd;;;;;;
North Sea and Eastern Arctic;Haddock;Melanogrammus aeglefinus;ICES;;HAD2AC4.;IV;27_4;IV,   EC waters of Iia,   that part of IIIa not covered by the Skagerrak and the Kattegat, ICES division VIId - Eastern Channel, ICES division VIId - Eastern Channel   that part of IIIa not covered by the Skagerrak and the Kattegat;;;;;;
North Sea and Eastern Arctic;Whiting;Merlangius merlangus;ICES;;WHG03A.;IIIa;27_3_A;;;;;;;
North Sea and Eastern Arctic;Whiting;Merlangius merlangus;ICES;;WHG2AC4.;IV, VIId;27_4,27_7_D;;;;;;;
North Sea and Eastern Arctic;Hake;Merluccius merluccius;ICES;;HKE3A/BCD;IIIa;27_3_A;IIIa) and EU waters of IIIbcd;;;;;;
North Sea and Eastern Arctic;Hake;Merluccius merluccius;ICES;;HKE2AC4-C;IV VII;27_4,27_7_D;EC waters of IIa) and IV;;;;;;
North Sea and Eastern Arctic;Blue whiting;Micromesistius poutassou;ICES;;WHB1X14;I-II;27_1,27_2;;;;;;;
North Sea and Eastern Arctic;Blue whiting;Micromesistius poutassou;ICES;;WHB1X14;IIIa;27_3_A;;;;;;;
North Sea and Eastern Arctic;Blue whiting;Micromesistius poutassou;ICES;;WHB1X14;IV, VIId;27_4,27_7_D;;;;;;;
North Sea and Eastern Arctic;Lemon sole;Microstomus kitt;ICES;;LEM2AC4-C;IV, VIId;27_4,27_7_D;EC waters of IIa) and IV;;;;;;
North Sea and Eastern Arctic;Blue ling;Molva dypterygia;ICES;;BLI24-;IV;27_4;EU and international waters of II and IV;;;;;;
North Sea and Eastern Arctic;Ling;Molva molva;ICES;;LIN04-C.;IV;27_4;EU waters of IV;;;;;;
North Sea and Eastern Arctic;Red mullet;Mullus barbatus;ICES;;No TAC;IV, VIId;27_4,27_7_D;;;;;;;
North Sea and Eastern Arctic;Striped red mullet;Mullus surmuletus;ICES;;No TAC;IV, VIId;27_4,27_7_D;;;;;;;
North Sea and Eastern Arctic;Starry smooth-hound;Mustelus asterias;ICES;;No TAC;all areas;27_4,27_7_D;;;;;;;
North Sea and Eastern Arctic;Norway lobster;Nephrops norvegicus;ICES;;NEP3A/BCD;Functional unit 3-4;27_3_A;IIIa) and EU waters of IIIbcd;;;;;;
North Sea and Eastern Arctic;Norway lobster;Nephrops norvegicus;ICES;;NEP2AC4-C;functional units 7;nep-7;EC waters of IIa) and IV;;;;;;
North Sea and Eastern Arctic;Norway lobster;Nephrops norvegicus;ICES;;NEP2AC4-C;functional units 10;nep-10;EC waters of IIa) and IV;;;;;;
North Sea and Eastern Arctic;Norway lobster;Nephrops norvegicus;ICES;;NEP2AC4-C;functional units 32 (TAC IIa, IV);27_4_A;EC waters of IIa) and IV;;;;;;
North Sea and Eastern Arctic;Norway lobster;Nephrops norvegicus;ICES;;NEP2AC4-C;functional units 6;nep-6;EC waters of IIa) and IV;;;;;;
North Sea and Eastern Arctic;Norway lobster;Nephrops norvegicus;ICES;;NEP2AC4-C;functional units 8;nep-8;EC waters of IIa) and IV;;;;;;
North Sea and Eastern Arctic;Norway lobster;Nephrops norvegicus;ICES;;NEP2AC4-C;functional units 9;nep-9;EC waters of IIa) and IV;;;;;;
North Sea and Eastern Arctic;Norway lobster;Nephrops norvegicus;ICES;;NEP2AC4-C;functional units 33 (TAC IIa, VI);27_4_B;EC waters of IIa) and IV;;;;;;
North Sea and Eastern Arctic;Norway lobster;Nephrops norvegicus;ICES;;NEP2AC4-C;functional units 34;nep-34;EC waters of IIa) and IV;;;;;;
North Sea and Eastern Arctic;Northern shrimp;Pandalus borealis;ICES;;PRA2AC4-C;I-II;27_1,27_2;EC waters of IIa) and IV;;;;;;
North Sea and Eastern Arctic;Northern shrimp;Pandalus borealis;ICES;;PRA03A.;IIIa;27_3_A;IIIa);;;;;;
North Sea and Eastern Arctic;Northern shrimp;Pandalus borealis;ICES;;PRA2AC4-C;IVa;27_4_A;EC waters of IIa) and IV;;;;;;
North Sea and Eastern Arctic;Northern shrimp;Pandalus borealis;ICES;;PRA2AC4-C;IV;27_4;EC waters of IIa) and IV;;;;;;
North Sea and Eastern Arctic;Common scallop;Pecten maximus;ICES;;No TAC;VIId;27_7_D;;;;;;;
North Sea and Eastern Arctic;Greater Forkbeard;Phycis blennoides;ICES;;GFB1234-;IV;27_4;EU and international waters of I-II,  III and IV;;;;;;
North Sea and Eastern Arctic;Forkbeard;Phycis phycis;ICES;;No TAC;IV;27_4;;;;;;;
North Sea and Eastern Arctic;Flounder;Platichthys flesus;ICES;;FLE2AC4-C;IV;27_4;EC waters of IIa) and IV;;;;;;
North Sea and Eastern Arctic;Plaice;Pleuronectes platessa;ICES;;PLE03AN.,PLE03AS.;IIIa;27_3_A;Skagerrak (Division IIIa), Kattegat (Division IIIa);;;;;;
North Sea and Eastern Arctic;Plaice;Pleuronectes platessa;ICES;;PLE2A3AX4;IV;27_4;IV,  EC waters of Iia,   that part of IIIa not covered by the Skagerrak and the Kattegat;;; ;;;
North Sea and Eastern Arctic;Plaice;Pleuronectes platessa;ICES;;PLE7DE.;VIId;27_7_D;VIIde;;;;;;
North Sea and Eastern Arctic;Saithe;Pollachius virens;ICES;;POK1/2INT;I-II;27_1,27_2;I-II (International waters);;;;;;
North Sea and Eastern Arctic;Saithe;Pollachius virens;ICES;;2A34.;IIIa;27_3_A;EU waters of IV and in IIIa;;;;;;
North Sea and Eastern Arctic;Saithe;Pollachius virens;ICES;;2A34.;IV;27_4;EU waters of IV and in IIIa;;;;;;
North Sea and Eastern Arctic;Turbot;Psetta maxima;ICES;;No TAC;IIIa;27_3_A;;;;;;;
North Sea and Eastern Arctic;Turbot;Psetta maxima;ICES;;TUR2AC4-C;IV, VIId;27_4,27_7_D;EC waters of IIa) and IV;;;;;;
North Sea and Eastern Arctic;White skate;Raja alba;ICES;;No TAC;IV, VIId;27_4,27_7_D;;Rostroraja alba;;;;;
North Sea and Eastern Arctic;Mediterranean starry ray;Raja asterias;ICES;;No TAC;IV, VIId;27_4,27_7_D;;;;;;;
North Sea and Eastern Arctic;Blonde ray;Raja brachyura;ICES;;No TAC;IV, VIId;27_4,27_7_D;;;;;;;
North Sea and Eastern Arctic;Sandy ray;Raja circularis;ICES;;No TAC;all areas;27_4,27_7_D;;Leucoraja circularis;;;;;
North Sea and Eastern Arctic;Thornback ray;Raja clavata;ICES;;No TAC;IV, VIId;27_4,27_7_D;;;;;;;
North Sea and Eastern Arctic;Shagreen ray;Raja fullonica;ICES;;No TAC;all areas;27_4,27_7_D;;Leucoraja fullonica;;;;;
North Sea and Eastern Arctic;Arctic skate;Raja hyperborea;ICES;;No TAC;IV, VIId;27_4,27_7_D;;Amblyraja hyperborea;;;;;
North Sea and Eastern Arctic;Small-eyed ray;Raja microocellata;ICES;;RJE*07D.,RJE07D.;all areas;27_4,27_7_D;;;;;;;
North Sea and Eastern Arctic;Spotted ray;Raja montagui;ICES;;No TAC;IV, VIId;27_4,27_7_D;;;;;;;
North Sea and Eastern Arctic;Cuckoo ray;Raja naevus;ICES;;No TAC;IV, VIId;27_4,27_7_D;;Leucoraja naevus;;;;;
North Sea and Eastern Arctic;Undulate ray;Raja undulata;ICES;;RJU*07D.,RJU07D.;VIId;27_7_D;;;;;;;
North Sea and Eastern Arctic;Greenland halibut;Reinhardtius hippoglossoides;ICES;;GHL1/2INT;I-II;27_1,27_2;I-II (International waters);;;;;;
North Sea and Eastern Arctic;Greenland halibut;Reinhardtius hippoglossoides;ICES;;GHL2A-C46;IV;27_4;EU waters of IIa and IV,   EU and international waters of Vb and VI;;;;;;
North Sea and Eastern Arctic;Salmon;Salmo salar;ICES;;No TAC;I-II;27_1,27_2;;;;;;;
North Sea and Eastern Arctic;Salmon;Salmo salar;ICES;;No TAC;IIIa;27_3_A;;;;;;;
North Sea and Eastern Arctic;Salmon;Salmo salar;ICES;;No TAC;IV, VIId;27_4,27_7_D;;;;;;;
North Sea and Eastern Arctic;Mackerel;Scomber scombrus;ICES;;MAC2A34.;II;27_2;IIa;;;;;;
North Sea and Eastern Arctic;Mackerel;Scomber scombrus;ICES;;MAC2A34.;IIIa;27_3_A;IIIa;;;;;;
North Sea and Eastern Arctic;Mackerel;Scomber scombrus;ICES;;MAC2A34.;IV, VIId;27_4,27_7_D;IVa) (1), IVb) (1),IVc) (1);;;;;;
North Sea and Eastern Arctic;Brill;Scophthalmus rhombus;ICES;;No TAC;IIIa;27_3_A;;;;;;;
North Sea and Eastern Arctic;Brill;Scophthalmus rhombus;ICES;;BLL2AC4-C;IV, VIId;27_4,27_7_D;EC waters of IIa) and IV;;;;;;
North Sea and Eastern Arctic;Small-spotted catshark;Scyliorhinus canicula;ICES;;No TAC;IV, VIId;27_4,27_7_D;;;;;;;
North Sea and Eastern Arctic;Nursehound;Scyliorhinus stellaris;ICES;;No TAC;IV, VIId;27_4,27_7_D;;;;;;;
North Sea and Eastern Arctic;Golden Redfish;Sebastes marinus;ICES;;REGXXX;I-II;27_1,27_2;NEAFC Stock - catches not from the stock that is subject to NEAFC management mesures;;;;;;
North Sea and Eastern Arctic;Deep sea Redfish;Sebastes mentella;ICES;;REBXNS;I-II;27_1,27_2;NEAFC Stock - Pelagic redfish Sub Areas I-II;;;;;;
North Sea and Eastern Arctic;Redfish;Sebastes mentella;ICES;;No TAC;IV;27_4;;;;;;;
North Sea and Eastern Arctic;Sole;Solea solea;ICES;;SOL3A/BCD;IIIa;27_3_A;;;;;;;
North Sea and Eastern Arctic;Sole;Solea solea;ICES;;SOL24-C.;IV;27_4;;;;;;;
North Sea and Eastern Arctic;Sole;Solea solea;ICES;;SOL07D.;VIId;27_7_D;;;;;;;
North Sea and Eastern Arctic;Sprat;Sprattus sprattus;ICES;;SPR03A.;IIIa;27_3_A;IIIa);;;;;;
North Sea and Eastern Arctic;Sprat;Sprattus sprattus;ICES;;SPR2AC4-C;IV;27_4;EC waters of IIa) and IV;;;;;;
North Sea and Eastern Arctic;Sprat;Sprattus sprattus;ICES;;SPR7DE.;VIId;27_7_D;VIId)e);;;;;;
North Sea and Eastern Arctic;Picked dogfish;Squalus acanthias;ICES;;DGS15X14;all areas;27_4,27_7_D;;;;;;;
North Sea and Eastern Arctic;Electric ray;Torpedo nobiliana;ICES;;No TAC;IV, VIId;27_4,27_7_D;;;;;;;
North Sea and Eastern Arctic;Horse mackerel;Trachurus trachurus;ICES;;JAX2A-14;IIa;27_2_A;NEAFC Stock - catches not from the stock that is subject to NEAFC management mesures;;;;;;
North Sea and Eastern Arctic;Horse mackerel;Trachurus trachurus;ICES;;JAX4BC7D;IV, VIId;27_4,27_7_D;NEAFC Stock - catches not from the stock that is subject to NEAFC management mesures;;;;;;
North Sea and Eastern Arctic;Tub gurnard;Trigla lucerna;ICES;;No TAC;IV;27_4;;;;;;;
North Sea and Eastern Arctic;Norway pout;Trisopterus esmarki;ICES;;NOP2A3A4.;IIIa;27_3_A;IIIa,   EU waters of IIa and IV, IIIa,  EC waters of IIa and IV;;;;;;
North Sea and Eastern Arctic;Norway pout;Trisopterus esmarki;ICES;;NOP2A3A4.;IV;27_4;IIIa,   EU waters of IIa and IV, IIIa,  EC waters of IIa and IV;;;;;; 
North Sea and Eastern Arctic;John Dory;Zeus faber;ICES;;No TAC;IV, VIId;27_4,27_7_D;;;;;;;
North Atlantic;Queen scallop;Aequipecten opercularis;ICES;;No TAC;VII;27_7;;;;;;;
North Atlantic;Smoothhead;Alepocephalus bairdii;ICES;;No TAC;VI,XII;27_6,27_12;;;;;;;
North Atlantic;Sand eel;Ammodytidae;ICES;;No TAC;VIa;27_6_A;??;;;;;;
North Atlantic;European Eel;Anguilla anguilla;ICES;;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Scabbardfish;Aphanopus spp;ICES;;BSF56712-,BSF8910-;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Not sure of the species code;;;;;;
North Atlantic;Argentine;Argentina spp;ICES;;ARU567.;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F27_7_G;,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;
North Atlantic;Meagre;Argyrosomus regius;ICES;;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Red gurnard;Aspitrigla cuculus;ICES;;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Richardson's ray;Bathyraja richardsoni;ICES;;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Spinetail ray;Bathyraja spinicauda;ICES;;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Alfonsinos;Beryx spp;ICES;;ALF3X14-;all areas excluding X and IXa;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9_B,27_12,27_14;;;;;;;
North Atlantic;Alfonsinos;Beryx spp;ICES;;ALF3X14-;IXa and X;27_9_A,27_10;;;;;;;
North Atlantic;Edible crab;Cancer pagurus;ICES;;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Boarfish;Capros aper;ICES;;BOR678-;V, VI, VII;27_5,27_6,27_7;EU and international waters of VI, VII and VIII;;;;;;
North Atlantic;Leafscale gulper shark;Centrophorus squamosus;ICES;;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Portuguese dogfish;Centroscymnus coelolepis;ICES;;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Rabbit fish;Chimaera monstrosa;ICES;;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Opal chimaera;Chimaera opalescens;ICES;;No TAC;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Herring;Clupea harengus;ICES;;HER06ACL.;VIa;27_6_A;;;;;;;
North Atlantic;Herring;Clupea harengus;ICES;;HER6AS7BC;VIaS,VIIbc;27_6_A,27_7_B,27_7_C;;;;;;;
North Atlantic;Herring;Clupea harengus;ICES;;HER07A/MM;VIIa;27_7_A;;;;;;;
North Atlantic;Herring;Clupea harengus;ICES;;HER7G-K.;VIIj;27_7_J;;;;;;;
North Atlantic;Conger;Conger conger;ICES;;COEXDS;all areas excluding X;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_12,27_14;NEAFC Stock - Deep Sea Fisheries;;;;;;
North Atlantic;Conger;Conger conger;ICES;;COEXDS;X;27_10;NEAFC Stock - Deep Sea Fisheries;;;;;;
North Atlantic;Roundnose grenadier;Coryphaenoides rupestris;ICES;;RNG514GRN,RNG5B67-,RNG8X14-;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;to be confirmed;;;;;;
North Atlantic;Kitefin shark;Dalatias licha;ICES;;SCKXDS;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;NEAFC Stock - Deep Sea Fisheries;;;;;;
North Atlantic;Kitefin shark;Dalatias licha;ICES;;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Roughtail stingray;Dasyatis centroura;ICES;;No TAC;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;;;;;;;
North Atlantic;Common stingray;Dasyatis pastinaca;ICES;;SRX67AKXD,SRX07D.,SRX89-C.;VII, VIII;27_7,27_8;SRX = all rays;;;;;;
North Atlantic;Common stingray;Dasyatis pastinaca;ICES;;No TAC;VII, VIII;27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8;;;;;;;
