Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
LTU;LTU000000192;;MOD;2016-07-05;2100-12-31;LT-P-707;LT-P-707;LT-P-707;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;5.65;0.00;1.37;0.00;0.00;30.00;0.00;3;2000-12-29;MFL;;;;2000-01-01
LTU;LTU000000193;;MOD;2016-07-05;2021-12-30;KL 3565;KL 3565;KL 3565;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;8.00;0.00;3.74;0.00;0.00;37.50;0.00;3;1990-12-31;MFL;;;;1990-01-01
LTU;LTU000000196;;MOD;2013-10-25;2100-12-31;657;LT-P-657;LT-P-657;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;5.00;0.00;1.16;0.00;0.00;14.70;0.00;3;1997-01-25;MFL;;;;1996-01-01
LTU;LTU000000201;;CEN;2004-05-01;2100-12-31;KL 5578;KL 5578;KL 5578;LTKLJ;;N;Y;N;N;N;;FX;GNS;NK;;;;;8.00;0.00;3.77;0.00;0.00;55.00;0.00;3;1975-12-31;MFL;;;;1975-01-01
LTU;LTU000000204;;MOD;2017-08-21;2021-05-16;KL 4436;KL 4436;KL 4436;LTKLJ;;N;Y;N;N;N;;FX;GNS;FPO;;;;;4.65;0.00;0.75;0.00;0.00;11.00;0.00;2;1972-12-29;MFL;;;;1972-01-01
LTU;LTU000000207;;MOD;2012-12-28;2022-02-07;KL 2210;KL 2210;KL 2210;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;4.65;0.00;0.80;0.00;0.00;4.40;0.00;2;1982-12-31;MFL;;;;1982-01-01
LTU;LTU000000216;;MOD;2008-05-27;2100-12-31;KL 2016;KL 2016;KL 2016;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;5.70;0.00;1.01;0.00;0.00;20.00;0.00;3;1996-11-12;MFL;;;;1995-01-01
LTU;LTU000000218;;MOD;2017-05-02;2100-12-31;LT-P-721;LT-P-721;LT-P-721;LTKLJ;;N;Y;N;N;N;;FX;GNS;FPO;;;;;5.65;0.00;1.00;0.00;0.00;6.74;0.00;3;1985-01-29;MFL;;;;1985-01-01
LTU;LTU000000231;;MOD;2015-01-19;2100-12-31;N 777;N 777;N 777;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;10.70;0.00;7.17;0.00;0.00;45.00;0.00;2;1987-12-31;MFL;;;;1986-01-01
LTU;LTU000000234;;MOD;2009-12-23;2022-02-08;285 KL;285 KL;285 KL;LTKLJ;;N;Y;N;N;N;;FX;GNS;LLS;;;;;8.83;0.00;3.81;0.00;0.00;17.00;0.00;1;1977-12-30;MFL;;;;1977-01-01
