Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
NLD;NLD185000249;;CHA;2014-05-27;2100-12-31;NLD185000249;SL-15;PIETA;SL;;N;Y;N;N;N;;GO;FPO;GNS;;;;;6.80;0.00;1.00;0.00;0.00;7.00;0.00;3;1973-11-13;MFL;;;;1973-01-01
NLD;NLD185000456;;MOD;2006-10-18;2100-12-31;NLD185000456;IJM-24;CONDOR;IJM;;N;Y;N;;;;FX;GNS;OTB;;;;;11.74;0.00;5.00;0.00;0.00;26.00;0.00;3;1989-08-10;MFL;;;;1989-01-01
NLD;NLD185001063;;MOD;2018-06-14;2100-12-31;NLD185001063;HD-25;ENNIE EN APPIE;HD;;N;Y;N;N;N;;MO;TBB;OTB;;;;;4.37;0.00;1.00;0.00;0.00;18.00;0.00;3;1990-05-21;MFL;;;;1990-01-01
NLD;NLD185001180;;MOD;2003-01-01;2100-12-31;NLD185001180;WR-83;EEUWIGE DRIFT;WR;;N;Y;N;;;;FX;GNS;OTB;;;;;4.90;0.00;1.00;0.00;0.00;33.00;0.00;3;1991-02-13;MFL;;;;1991-01-01
NLD;NLD185001282;;MOD;2011-01-01;2100-12-31;NLD185001282;IJM-309;WILLY;IJM;;N;Y;N;;;;FX;GTN;OTB;;;;;4.87;0.00;1.00;0.00;0.00;11.00;0.00;3;1991-05-21;MFL;;;;1991-01-01
NLD;NLD185001306;;MOD;2013-10-29;2100-12-31;NLD185001306;UK-105;ANNA;UK;;N;Y;N;;;;FX;TBB;OTB;;;;;5.17;0.00;1.00;0.00;0.00;18.00;0.00;3;1991-05-23;MFL;;;;1991-01-01
NLD;NLD185001629;;MOD;2014-04-14;2100-12-31;NLD185001629;YE-167;ROERDOMP;YE;;N;Y;N;;;;FX;FPO;GNS;;;;;7.55;0.00;2.00;0.00;0.00;18.00;0.00;2;1992-04-08;MFL;;;;1992-01-01
NLD;NLD185001905;;MOD;2005-01-01;2021-04-11;NLD185001905;ARM-6;PIETER;ARM;;N;Y;N;N;N;;LH;TBB;LHP;;;;;3.96;0.00;1.00;0.00;0.00;7.00;0.00;4;1995-02-27;MFL;;;;1995-01-01
NLD;NLD185001907;;MOD;2003-01-01;2100-12-31;NLD185001907;UK-89;JAN JR.;UK;;N;Y;N;N;N;;FX;SDN;NO;;;;;5.00;0.00;1.00;0.00;0.00;7.00;7.00;3;1995-02-27;MFL;;;;1995-01-01
NLD;NLD185001927;;MOD;2018-03-23;2100-12-31;NLD185001927;YE-141;YE-141;YE;;N;Y;N;;;;FX;FPO;NO;;;;;8.72;0.00;2.00;0.00;0.00;37.00;0.00;2;1995-05-18;MFL;;;;1995-01-01
NLD;NLD185001995;;CHA;2007-11-20;2100-12-31;NLD185001995;TX-100;CORNELIE;TX;;N;Y;N;;;;FX;OTB;OTM;;;;;4.65;0.00;1.00;0.00;0.00;3.00;0.00;3;1996-08-09;MFL;;;;1996-01-01
NLD;NLD185002035;;MOD;2011-01-01;2100-12-31;NLD185002035;UK-38;MARIJKE;UK;;N;Y;N;N;N;;LH;LHP;OTB;;;;;3.00;0.00;1.00;0.00;0.00;1.00;0.00;3;1997-01-14;MFL;;;;1997-01-01
NLD;NLD185002036;;MOD;2011-01-01;2100-12-31;NLD185002036;UK-36;INGRID;UK;;N;Y;N;;;;FX;OTB;NO;;;;;2.40;0.00;1.00;0.00;0.00;3.00;0.00;3;1997-01-14;MFL;;;;1997-01-01
NLD;NLD185002050;;MOD;2018-02-28;2100-12-31;NLD185002050;BRU-38;PATRICK;BRU;;N;Y;N;N;N;;GO;FPO;GNS;;;;;6.63;0.00;1.00;0.00;0.00;42.00;0.00;3;1997-05-16;MFL;;;;1997-01-01
NLD;NLD185002058;;MOD;2014-06-10;2100-12-31;NLD185002058;YE-8;STERN;YE;;N;Y;N;N;N;;WOP;FPO;GNS;;;;;8.02;0.00;3.00;0.00;0.00;25.00;0.00;3;1997-06-10;MFL;;;;1997-01-01
NLD;NLD185002079;;MOD;2011-01-01;2100-12-31;NLD185002079;HD-17;MANDY;HD;;N;Y;N;;;;FX;FPO;NO;;;;;6.85;0.00;1.00;0.00;0.00;10.00;0.00;2;1997-10-14;MFL;;;;1997-01-01
NLD;NLD185002119;;MOD;2012-02-22;2100-12-31;NLD185002119;EH-42;JACOB;EH;;N;Y;N;N;N;;LH;LLS;NO;;;;;6.40;0.00;2.00;0.00;0.00;7.00;0.00;2;1998-07-27;MFL;;;;1998-01-01
NLD;NLD185002146;;MOD;2019-01-09;2100-12-31;NLD185002146;ARM-1;ALBATROS;ARM;;N;Y;N;N;N;;LH;TBB;LHP;;;;;2.92;0.00;1.00;0.00;0.00;1.50;0.00;3;1998-11-19;MFL;;;;1998-01-01
NLD;NLD185002177;;MOD;2015-10-01;2100-12-31;NLD185002177;UK-256;HERMINA;UK;;N;Y;N;;;;FX;TBB;OTB;;;;;4.05;0.00;1.00;0.00;0.00;29.00;0.00;3;1999-02-17;MFL;;;;1999-01-01
NLD;NLD185002178;;MOD;2013-10-29;2100-12-31;NLD185002178;UK-355;WYBRIGJE;UK;;N;Y;N;N;N;;MO;TBB;OTB;;;;;4.30;0.00;1.00;0.00;0.00;15.00;0.00;3;1999-02-17;MFL;;;;1999-01-01
NLD;NLD185002201;;MOD;2011-04-05;2100-12-31;NLD185002201;YE-4;YE-4;YE;;N;Y;N;N;N;;WOP;GNS;GTN;;;;;7.34;0.00;2.00;0.00;0.00;48.00;0.00;3;1999-06-18;MFL;;;PA;1924-01-01
