Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction,
PRT;PRT000000168;;MOD;2018-01-01;2021-05-31;PV-327-C;PV-327-C;CANDEIAS;PV;CUHJ3;Y;Y;Y;Y;Y;204274000;MOX;GTR;LLS;;;;;18.80;0.00;35.36;35.15;0.00;220.65;2.61;1;1975-01-01;MFL;;;PA;1975-01-01,
PRT;PRT000000178;;MOD;2013-01-01;2100-12-31;VR-22-C;VR-22-C;PEROLA DE CABANAS;VR;CURN2;Y;Y;N;;;;FX;GTR;FPO;;;;;9.12;0.00;8.16;10.02;0.00;85.76;0.00;1;1967-01-01;MFL;;;PA;1967-01-01,
PRT;PRT000000206;;MOD;2019-07-26;2100-12-31;VC-123-C;VC-123-C;SORRISO DA VIDA;VC;CUCP4;Y;N;N;N;N;;MOX;GNS;FPO;;;;;14.75;0.00;16.84;18.73;0.00;110.00;0.00;1;1979-01-01;MFL;;;PA;1979-01-01,
PRT;PRT000000220;;MOD;2018-11-22;2100-12-31;V-498-L;V-498-L;KALABITA;V;;N;Y;N;N;N;;MOX;GTR;FPO;DRH;LHP;LLS;;9.00;0.00;1.62;2.03;0.00;18.40;18.40;1;1981-01-01;MFL;;;PA;1981-01-01,
PRT;PRT000000224;;MOD;2018-03-02;2100-12-31;V-348-L;V-348-L;O POITA;V;;N;N;N;;;;FX;GTR;GTR;;;;;9.27;0.00;1.26;1.86;0.00;18.39;0.00;1;1983-12-12;MFL;;;PA;1983-01-01,
PRT;PRT000000225;;MOD;2019-01-01;2100-12-31;T-43-C;T-43-C;NUNES;T;CUOI2;Y;N;N;N;Y;263403980;MOX;GNS;GTR;;;;;9.21;0.00;8.94;10.55;0.00;67.11;0.00;1;1967-01-01;MFL;;;PA;1967-01-01,
PRT;PRT000000226;;MOD;2016-01-28;2100-12-31;V-297-L;V-297-L;PORTO;V;;N;Y;N;;;;FX;GTR;GTR;;;;;9.00;0.00;1.62;1.86;0.00;18.64;18.64;1;1977-01-31;MFL;;;PA;1977-01-01,
PRT;PRT000000230;;MOD;2020-01-10;2100-12-31;V-241-L;V-241-L;VIDA;V;;N;Y;N;N;N;;MOX;GTR;NO;;;;;9.30;0.00;1.69;2.00;0.00;18.40;0.00;1;1979-01-01;MFL;;;PA;1979-01-01,
PRT;PRT000000231;;MOD;2020-10-06;2100-12-31;V-235-L;V-235-L;SANDRA CRISTINA;V;;N;Y;N;N;N;;MOX;GTR;NO;;;;;9.00;0.00;1.62;1.93;0.00;18.65;5.90;1;1985-01-01;MFL;;;PA;1985-01-01,
PRT;PRT000000235;;MOD;2012-01-01;2100-12-31;V-126-L;V-126-L;SAO SALVADOR;V;;N;N;N;;;;FX;GTR;GNS;;;;;9.25;0.00;1.56;2.36;0.00;11.03;0.00;1;1978-01-01;MFL;;;PA;1978-01-01,
PRT;PRT000000244;;MOD;2020-01-01;2100-12-31;T-522-C;T-522-C;PRAIA DE CABANAS;T;CUON4;Y;N;N;N;Y;263417890;MOX;GNS;GTR;;;;;9.65;0.00;6.24;6.24;0.00;29.00;0.00;1;1946-12-31;MFL;;;PA;1946-01-01,
PRT;PRT000000252;;MOD;2006-01-01;2100-12-31;T-177-C;T-177-C;TRES DUQUES;T;;N;N;N;;;;FX;GNS;NO;;;;;13.83;0.00;19.60;16.59;0.00;55.00;0.00;1;1975-12-31;MFL;;;PA;1975-01-01,
PRT;PRT000000253;;MOD;2014-08-01;2100-12-31;T-18-C;T-18-C;TRES MARIAS;T;CUOI8;Y;N;N;;;;FX;GTR;FPO;;;;;9.30;0.00;7.74;8.99;0.00;82.03;0.00;1;1975-07-09;MFL;;;PA;1975-01-01,
PRT;PRT000000256;;MOD;2006-01-01;2100-12-31;T-172-C;T-172-C;SULCADOR;T;CQOT6;Y;N;N;;;;FX;FPO;FPO;;;;;13.07;0.00;11.01;11.99;0.00;64.00;0.00;1;1956-01-01;MFL;;;PA;1956-01-01,
PRT;PRT000000259;;MOD;2014-06-19;2100-12-31;F-76-C;F-76-C;ODETE;F;CQOS3;Y;N;N;;;;FX;GNS;GTR;;;;;7.99;0.00;4.15;5.38;0.00;51.45;0.00;1;1986-12-31;MFL;;;PA;1986-01-01,
PRT;PRT000000263;;MOD;2020-06-12;2100-12-31;TR-1755-C;TR-1755-C;MILFONTES;TR;CUMB4;Y;Y;N;N;Y;263427770;MOX;GTR;LLS;;;;;10.57;0.00;8.23;11.63;0.00;72.08;0.00;1;1983-01-01;MFL;;;PA;1983-01-01,
PRT;PRT000000267;;MOD;2020-11-24;2021-05-31;SB-268-C;SB-268-C;MAR FELIZ;SB;CUKQ8;Y;Y;Y;N;Y;263406660;MOX;LLS;GTR;PS;LHP;GNS;;13.40;0.00;13.33;16.14;0.00;97.00;0.00;1;1963-01-01;MFL;;;PA;1963-01-01,
PRT;PRT000000268;;MOD;2019-02-20;2021-05-31;VR-528-C;VR-528-C;PEROLA DO OCEANO;VR;CUOI7;Y;Y;N;N;Y;263404540;SP;LLS;PS;;;;;12.95;11.73;10.50;13.49;0.00;88.26;0.00;1;1966-01-01;MFL;;;PA;1965-01-01,
PRT;PRT000000269;;MOD;2018-07-24;2021-01-31;T-755-C;T-755-C;VOZ DO CAMPO;T;CUGD8;Y;Y;N;N;Y;263500327;MOX;FPO;LHP;LLS;;;;11.90;0.00;10.80;12.36;0.00;92.00;0.00;1;1961-01-01;MFL;;;PA;1961-01-01,
PRT;PRT000000270;;MOD;2006-01-01;2100-12-31;PE-2184-C;PE-2184-C;TITA;PE;;N;N;N;;;;FX;LLS;NO;;;;;11.60;0.00;6.78;8.38;0.00;74.00;0.00;1;1958-01-01;MFL;;;PA;1958-01-01,
PRT;PRT000000278;;MOD;2020-07-29;2021-05-31;LX-387-C;LX-387-C;ESPLENDOR;LX;CUMA7;Y;Y;N;N;Y;263424770;MOX;GNS;LLS;;;;;13.39;0.00;13.52;15.50;0.00;101.40;0.00;1;1977-01-01;MFL;;;PA;1977-01-01,
PRT;PRT000000280;;MOD;2018-01-01;2021-12-14;SB-751-C;SB-751-C;ZIMBRA;SB;CUKR6;Y;Y;N;N;Y;263406670;MOX;FPO;GNS;;;;;11.70;10.15;7.00;9.57;0.00;73.55;0.00;1;1942-01-01;MFL;;;PA;1942-01-01,
PRT;PRT000000285;;MOD;2018-08-16;2100-12-31;SB-646-C;SB-646-C;NOSSA FE;SB;CUKQ6;Y;Y;N;N;Y;263421870;MOX;FPO;LLS;LHP;;;;10.30;10.11;8.85;10.07;0.00;79.00;0.00;1;1961-12-31;MFL;;;PA;1961-01-01,
PRT;PRT000000288;;MOD;2019-03-08;2021-05-31;PE-2954-C;PE-2954-C;DAVIMAR;PE;CUPC3;Y;Y;Y;N;Y;263421350;SP;PS;FPO;LLS;GNS;;;14.05;0.00;17.69;17.19;0.00;125.00;0.00;1;1965-01-01;MFL;;;PA;1965-01-01,
PRT;PRT000000290;;MOD;2018-01-01;2021-05-31;SB-255-C;SB-255-C;ESTRELA DIVINA;SB;CUKC3;Y;Y;Y;Y;Y;263404450;LL;LHP;NO;;;;;14.90;0.00;17.72;0.00;0.00;81.00;0.00;1;1950-01-01;MFL;;;PA;1950-01-01,
PRT;PRT000000295;;MOD;2021-01-01;2021-05-31;SB-1092-C;SB-1092-C;PRINCESA DO TEJO;SB;CUKG5;Y;N;N;N;Y;263421490;MOX;PS;NO;;;;;12.25;0.00;11.46;13.93;0.00;101.00;0.00;1;1984-01-01;MFL;;;PA;1984-01-01,
PRT;PRT000000297;;MOD;2016-08-24;2021-05-31;SA-649-C;SA-649-C;TRIGUEIRINHA;SA;CUKT3;Y;Y;N;;;;MOX;FPO;LLS;;;;;12.50;10.39;11.10;12.73;0.00;80.00;0.00;1;1981-01-01;MFL;;;PA;1981-01-01,
PRT;PRT000000299;;MOD;2013-02-19;2100-12-31;SB-1048-C;SB-1048-C;QUATRO UNIDOS;SB;CUKG2;Y;Y;N;;;;FX;GNS;GTR;;;;;11.50;0.00;10.49;12.41;0.00;95.62;0.00;1;1982-01-01;MFL;;;PA;1982-01-01,
PRT;PRT000000300;;MOD;2012-04-11;2100-12-31;VR-490-C;VR-490-C;SAGUIM;VR;CUME5;Y;N;N;;;;FX;GNS;LLS;;;;;13.45;0.00;15.33;17.62;0.00;111.85;0.00;1;1929-01-01;MFL;;;PA;1929-01-01,
PRT;PRT000000302;;MOD;2006-01-01;2100-12-31;SA-77-C;SA-77-C;MARCO;SA;;N;N;N;;;;FX;GNS;NO;;;;;13.44;0.00;21.84;28.37;0.00;125.00;0.00;1;1958-01-01;MFL;;;PA;1958-01-01,
PRT;PRT000000309;;MOD;2020-12-29;2021-09-09;T-745-C;T-745-C;SAMUEL;T;CUKS8;Y;Y;Y;Y;Y;263402940;SP;PS;LLS;;;;;13.77;12.19;15.65;15.99;0.00;67.80;0.00;1;1932-01-01;MFL;;;PA;1932-01-01,
PRT;PRT000000315;;MOD;2006-01-01;2100-12-31;S-72-C;S-72-C;MARIA MACHADO;S;;N;N;N;;;;FX;GNS;NO;;;;;12.60;0.00;20.30;19.61;0.00;81.00;0.00;1;1930-01-01;MFL;;;PA;1930-01-01,
PRT;PRT000000318;;MOD;2016-05-20;2100-12-31;S-509-C;S-509-C;NABO;S;CQLJ4;Y;Y;N;;;;FX;GNS;DRB;;;;;11.30;9.40;6.90;9.30;0.00;76.49;0.00;1;1952-12-31;MFL;;;PA;1952-01-01,
PRT;PRT000000322;;MOD;2014-01-01;2100-12-31;SB-1236-C;SB-1236-C;PRIMOS UNIDOS;SB;CULB2;Y;N;N;;;;FX;PS;NO;;;;;10.28;0.00;5.75;7.56;0.00;77.23;0.00;1;1946-01-01;MFL;;;PA;1946-01-01,
PRT;PRT000000325;;MOD;2014-06-19;2021-05-31;O-2078-C;O-2078-C;RAINHA DE SESIMBRA;O;CUKV5;Y;Y;N;;;;MOX;FPO;NO;;;;;12.97;0.00;10.58;12.13;0.00;100.03;0.00;1;1967-01-01;MFL;;;PA;1967-01-01,
PRT;PRT000000326;;MOD;2006-01-01;2100-12-31;S-1889-C;S-1889-C;MARAFADO;S;;N;N;N;;;;FX;FPO;NO;;;;;13.84;0.00;22.26;24.94;0.00;121.00;0.00;1;1981-09-29;MFL;;;PA;1981-01-01,
PRT;PRT000000327;;MOD;2013-09-25;2100-12-31;O-2224-C;O-2224-C;ZE TROCAS;O;CUKM7;Y;Y;N;;;;FX;GNS;FPO;;;;;11.60;0.00;8.90;10.50;0.00;51.48;0.00;1;1981-01-01;MFL;;;PA;1981-01-01,
PRT;PRT000000329;;MOD;2020-01-01;2100-12-31;S-1550-C;S-1550-C;RIO VERDE;S;CULD8;Y;N;N;N;N;;MOX;GNS;GTR;;;;;10.22;0.00;7.39;8.56;0.00;34.20;0.00;1;1978-01-01;MFL;;;PA;1978-01-01,
PRT;PRT000000337;;MOD;2006-01-01;2100-12-31;FF-1257-C;FF-1257-C;SENHOR DOS PASSOS;FF;;N;N;N;;;;FX;GNS;FPO;;;;;10.74;0.00;5.67;6.86;0.00;53.69;0.00;1;1958-01-01;MFL;;;PA;1958-01-01,
PRT;PRT000000340;;MOD;2018-01-01;2021-04-06;Q-911-C;Q-911-C;SOL DE QUARTEIRA;Q;CUNZ2;Y;N;N;;;;MOX;GTR;FPO;;;;;10.63;0.00;8.51;9.30;0.00;89.50;0.00;1;1930-12-31;MFL;;;PA;1930-01-01,
PRT;PRT000000360;;MOD;2015-01-01;2021-05-31;PV-174-C;PV-174-C;MARIA MANUEL;PV;CUBR6;Y;Y;Y;;;;MOX;GNS;FPO;;;;;16.60;14.72;20.66;27.29;0.00;140.00;0.00;1;1982-01-01;MFL;;;PA;1982-01-01,
PRT;PRT000000366;;MOD;2018-07-27;2021-05-31;PV-224-C;PV-224-C;SENHORA DOS ANJOS;PV;CUBT9;Y;Y;Y;Y;Y;263405360;SP;PS;LLS;;;;;13.63;0.00;13.74;17.29;0.00;110.00;0.00;1;1980-01-01;MFL;;;PA;1980-01-01,
PRT;PRT000000372;;MOD;2006-01-01;2100-12-31;PM-236-C;PM-236-C;SILVIA MARIA;PM;;N;N;N;;;;FX;GNS;LLS;;;;;14.40;0.00;18.52;21.63;0.00;72.00;0.00;1;1946-01-01;MFL;;;PA;1946-01-01,
PRT;PRT000000373;;MOD;2015-01-01;2021-11-09;PV-117-C;PV-117-C;SENHORA DAS DORES;PV;CUBV4;Y;Y;Y;;;;DB;DRB;GNS;;;;;15.40;13.63;19.00;22.13;0.00;128.00;0.00;1;1978-01-01;MFL;;;PA;1978-01-01,
PRT;PRT000000384;;MOD;2006-01-01;2100-12-31;PM-519-C;PM-519-C;PRAIA DE SINES;PM;;N;N;N;;;;FX;PS;GNS;;;;;12.97;0.00;11.43;14.15;0.00;74.00;0.00;1;1950-01-01;MFL;;;PA;1950-01-01,
PRT;PRT000000387;;MOD;2017-07-24;2021-05-11;PM-501-C;PM-501-C;RIO MIRA;PM;CUQA7;Y;Y;Y;;;;SP;PS;GNS;;;;;16.28;14.62;24.64;25.82;0.00;88.00;0.00;1;1963-01-01;MFL;;;PA;1963-01-01,
PRT;PRT000000389;;MOD;2018-08-01;2021-05-31;PM-469-C;PM-469-C;RIO ALACEM;PM;CUQC7;Y;Y;Y;Y;Y;263404380;SP;PS;FPO;LLS;;;;13.30;11.80;12.18;15.32;0.00;73.08;0.00;1;1951-01-01;MFL;;;PA;1951-01-01,
PRT;PRT000000396;;MOD;2018-01-01;2021-02-07;PM-18-C;PM-18-C;PARGUETE;PM;CUPO9;Y;Y;N;N;Y;263402790;MOX;GNS;FPO;;;;;13.92;0.00;14.19;11.45;0.00;72.00;0.00;1;1952-12-31;MFL;;;PA;1952-01-01,
PRT;PRT000000398;;MOD;2006-01-01;2100-12-31;PM-150-C;PM-150-C;SENHORA DOS REMEDIOS;PM;;N;N;N;;;;FX;GNS;NO;;;;;11.41;0.00;10.85;8.00;0.00;44.00;0.00;1;1975-12-31;MFL;;;PA;1975-01-01,
PRT;PRT000000410;;MOD;2018-01-26;2021-05-31;PV-341-C;PV-341-C;MESTRE CADILHE;PV;CUKO6;Y;Y;N;N;N;;MOX;GTR;FPO;;;;;14.72;12.89;20.00;23.10;0.00;66.00;0.00;1;1965-01-01;MFL;;;PA;1965-01-01,
PRT;PRT000000416;;MOD;2018-08-10;2021-05-31;T-769-C;T-769-C;ROCHAMAR;T;CUGJ2;Y;Y;N;N;Y;263434260;MOX;FPO;LLS;;;;;12.18;0.00;11.71;13.21;0.00;97.09;0.00;1;1985-01-01;MFL;;;PA;1985-01-01,
PRT;PRT000000423;;MOD;2006-01-01;2100-12-31;PE-1694-C;PE-1694-C;MILENA LAU;PE;;N;N;N;;;;FX;GNS;NO;;;;;16.12;0.00;16.71;21.44;0.00;83.85;0.00;1;1944-01-01;MFL;;;PA;1944-01-01,
PRT;PRT000000425;;MOD;2016-01-15;2100-12-31;PE-1641-C;PE-1641-C;PATRICIO JOSE;PE;CUGO9;Y;N;N;;;;FX;FPO;LLS;;;;;9.30;0.00;4.28;5.62;0.00;55.93;0.00;1;1981-01-01;MFL;;;PA;1981-01-01,
PRT;PRT000000427;;MOD;2015-01-01;2021-05-31;T-754-C;T-754-C;MARCORAL;T;CUGL4;Y;Y;Y;;;;MOX;GTR;LLS;;;;;16.51;0.00;26.77;25.31;0.00;115.00;0.00;1;1966-01-01;MFL;;;PA;1966-01-01,
PRT;PRT000000428;;MOD;2006-01-01;2100-12-31;PE-1562-C;PE-1562-C;SO DEUS;PE;;N;N;N;;;;FX;PS;GNS;;;;;12.37;0.00;12.10;14.73;0.00;65.09;0.00;1;1979-01-01;MFL;;;PA;1979-01-01,
PRT;PRT000000438;;MOD;2020-01-20;2021-05-31;VR-562-C;VR-562-C;COSTA DO SUL;VR;CUHA4;Y;Y;Y;Y;Y;263420270;SP;PS;LLS;;;;;16.95;0.00;27.23;32.01;0.00;174.84;0.00;1;1972-10-12;MFL;;;PA;1972-01-01,
PRT;PRT000000439;;MOD;2012-01-01;2100-12-31;FF-1265-C;FF-1265-C;SONHO DE AMOR;FF;CUGM8;Y;Y;N;;;;FX;PS;FPO;;;;;11.19;0.00;8.63;11.00;0.00;73.55;0.00;1;1970-01-01;MFL;;;PA;1970-01-01,
PRT;PRT000000441;;MOD;2020-11-02;2021-01-20;CS-684-C;CS-684-C;PANTA;CS;CUMV;Y;Y;N;N;Y;263500320;MOX;GTR;FPO;;;;;12.40;0.00;15.27;12.68;0.00;112.00;0.00;1;1988-01-01;MFL;;;PA;1987-01-01,
PRT;PRT000000454;;MOD;2019-07-29;2021-05-31;O-75-C;O-75-C;MAR VERDE;O;CUQU5;Y;Y;Y;Y;Y;263423340;MOX;GTR;LLS;;;;;13.46;0.00;13.82;15.06;0.00;62.50;0.00;1;1960-01-01;MFL;;;PA;1960-01-01,
PRT;PRT000000471;;MOD;2018-01-01;2100-12-31;N-2399-C;N-2399-C;RUMO DA FELICIDADE;N;CUGA8;Y;Y;N;;;;FX;PS;GNS;;;;;10.75;9.27;7.04;9.49;0.00;73.00;0.00;1;1982-01-01;MFL;;;PA;1982-01-01,
PRT;PRT000000475;;MOD;2015-01-01;2021-07-18;N-2206-C;N-2206-C;PESCA MILAGROSA;N;CUGC2;Y;N;Y;;;;MOX;GNS;LLS;;;;;17.35;0.00;26.52;31.39;0.00;167.78;0.00;1;1969-01-01;MFL;;;PA;1969-01-01,
PRT;PRT000000478;;MOD;2018-01-01;2021-03-21;N-2183-C;N-2183-C;PRINCIPE DA PAZ;N;CUGB4;Y;Y;Y;Y;Y;263401440;MOX;GNS;GTR;;;;;16.62;0.00;22.68;27.56;0.00;111.85;0.00;1;1967-01-01;MFL;;;PA;1967-01-01,
