"region";"sppName";"latinName";"RFMO";"RFMO_Stock_ID";"FIDES_stockID";"area";"areaBis";"TAC.area.description";"Comments";"reportingName";"latinName_old";"FIDES_stockID_old"
"North Atlantic";"Sand eel";"Ammodytes spp,Ammodytes tobianus";"ICES";NA;"No TAC";"VIa";"27_6_A";"??";"";"Ammodytes spp";"Ammodytidae";"No TAC"
"North Sea and Eastern Arctic";"Catfish";"Anarhichas spp,Anarhichas minor,Anarhichas denticulatus,Anarhichas lupus";"ICES";NA;"No TAC";"IV";"27_4";"";"";"Anarhichas spp";"Anarhichas spp";"No TAC"
"Baltic Sea";"European Eel";"Anguilla anguilla";"ICES";NA;"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"Anguilla anguilla";"Anguilla anguilla";"No TAC"
"North Sea and Eastern Arctic";"European Eel";"Anguilla anguilla";"ICES";NA;"No TAC";"I-II";"27_1,27_2";"";"";"Anguilla anguilla";"Anguilla anguilla";"No TAC"
"Mediterranean and Black Sea";"European Eel";"Anguilla anguilla";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Anguilla anguilla";"Anguilla anguilla";"No TAC"
"North Sea and Eastern Arctic";"European Eel";"Anguilla anguilla";"ICES";NA;"No TAC";"IIIa";"27_3_A";"";"";"Anguilla anguilla";"Anguilla anguilla";"No TAC"
"North Sea and Eastern Arctic";"European Eel";"Anguilla anguilla";"ICES";NA;"No TAC";"IV, VIId";"27_4,27_7_D";"";"";"Anguilla anguilla";"Anguilla anguilla";"No TAC"
"North Atlantic";"European Eel";"Anguilla anguilla";"ICES";NA;"No TAC";"all areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"Anguilla anguilla";"Anguilla anguilla";"No TAC"
"Other regions";"Blue antimora";"Antimora rostrata";"SEAFO";NA;"No TAC";"South-East Atlantic";"47";"";"";"Antimora rostrata";"Antimora rostrata";"No TAC"
"North Atlantic";"Scabbardfish";"Aphanopus spp,Aphanopus intermedius,Aphanopus carbo";"ICES";NA;"BSF56712-,BSF8910-";"all areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"Not sure of the species code";"";"Aphanopus spp";"Aphanopus spp";"BSF56712-,BSF8910-"
"Mediterranean and Black Sea";"Transparent gobid";"Aphia minuta";"GFCM";NA;"No TAC";"GSA 9,10,16 and 19";"GSA 9,10,16 and 19";"";"";"Aphia minuta";"Aphia minuta";"No TAC"
"North Atlantic";"Argentine";"Argentina spp,Argentina sphyraena,Argentina silus,Argentina kagoshimae,Argentina elongata";"ICES";NA;"ARU567.";"all areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F27_7_G";",27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"Argentina spp";"Argentina spp";"ARU567."
"North Sea and Eastern Arctic";"Argentine";"Argentina spp,Argentina sphyraena,Argentina silus,Argentina kagoshimae,Argentina elongata";"ICES";NA;"ARU34-C,ARU3A4-C";"IV";"27_4";"";"";"Argentina spp";"Argentina spp";"ARU34-C"
"North Atlantic";"Meagre";"Argyrosomus regius";"ICES";NA;"No TAC";"all areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"Argyrosomus regius";"Argyrosomus regius";"No TAC"
"Other regions";"Sea catfishes";"Ariidae";"WECAFC";NA;"No TAC";"French Guyana";"31";"";"";"Ariidae";"Ariidae";"No TAC"
"Mediterranean and Black Sea";"Giant red shrimp";"Aristaeomorpha foliacea";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Aristaeomorpha foliacea";"Aristeomorpha foliacea";"No TAC"
"Mediterranean and Black Sea";"Red shrimp";"Aristeus antennatus";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Aristeus antennatus";"Aristeus antennatus";"No TAC"
"North Sea and Eastern Arctic";"Red gurnard";"Aspitrigla cuculus";"ICES";NA;"No TAC";"IIIa";"27_3_A";"";"";"Aspitrigla cuculus";"Aspitrigla cuculus";"No TAC"
"North Atlantic";"Red gurnard";"Aspitrigla cuculus";"ICES";NA;"No TAC";"all areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"Aspitrigla cuculus";"Aspitrigla cuculus";"No TAC"
"Mediterranean and Black Sea";"Sand smelt";"Atherina spp";"GFCM";NA;"No TAC";"GSA 9,10,16 and 19";"GSA 9, 10, 16 and 19";"";"";"Atherina spp";"Atherina spp";"No TAC"
"Other regions";"Bullet tuna";"Auxis rochei";"ICCAT";NA;"No TAC";"Atlantic Ocean and adjacent seas";"21,31,27,34,37";"";"";"Auxis rochei";"Auxis rochei";"No TAC"
"Other regions";"Bullet tuna";"Auxis rochei";"IOTC";NA;"No TAC";"Indian Ocean Western and Eastern";"51,57";"";"";"Auxis rochei";"Auxis rochei";"No TAC"
"Other regions";"Frigate tuna";"Auxis thazard";"IOTC";NA;"No TAC";"Indian Ocean Western and Eastern";"51,57";"";"";"Auxis thazard";"Auxis thazard";"No TAC"
"Other regions";"Frigate tuna";"Auxis thazard";"ICCAT";NA;"No TAC";"Atlantic Ocean and adjacent seas";"21,31,27,34,37";"";"";"Auxis thazard";"Auxis thazard";"No TAC"
"North Atlantic";"Richardson's ray";"Bathyraja richardsoni";"ICES";NA;"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"Bathyraja richardsoni";"Bathyraja richardsoni";"No TAC"
"North Atlantic";"Spinetail ray";"Bathyraja spinicauda";"ICES";NA;"No TAC";"all areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"Bathyraja spinicauda";"Bathyraja spinicauda";"No TAC"
"Other regions";"Alfonsinos";"Beryx sp.";"NAFO 6G";NA;"";"21";"";"";"";"Beryx sp.";"Beryx sp.";""
"North Atlantic";"Alfonsinos";"Beryx spp,Beryx splendens,Beryx decadactylus";"ICES";NA;"ALF3X14-";"IXa and X";"27_9_A,27_10";"";"";"Beryx spp";"Beryx spp";"ALF3X14-"
"Other regions";"Alfonsinos";"Beryx spp,Beryx splendens,Beryx decadactylus";"SEAFO";NA;"No TAC";"South-East Atlantic";"47";"";"";"Beryx spp";"Beryx spp";"No TAC"
"North Atlantic";"Alfonsinos";"Beryx spp,Beryx splendens,Beryx decadactylus";"ICES";NA;"ALF3X14-";"all areas excluding X and IXa";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9_B,27_12,27_14";"";"";"Beryx spp";"Beryx spp";"ALF3X14-"
"Mediterranean and Black Sea";"Bogue";"Boops boops";"GFCM";NA;"No TAC";"1.3, 2.1, 2.2, 3.1, 3.2";"1.3, 2.1, 2.2, 3.1, 3.2";"";"";"Boops boops";"Boops boops";"No TAC"
"Other regions";"Grunt";"Brachydeuterus spp";"CECAF";NA;"No TAC";"34.1.3,34.3.1,34.3.3-6";"34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6";"";"";"Brachydeuterus spp";"Brachydeuterus spp";"No TAC"
"North Sea and Eastern Arctic";"Tusk";"Brosme brosme";"ICES";NA;"USK1214EI";"I-II";"27_1,27_2";"EC and International Waters of I-II and XIV";"";"Brosme brosme";"Brosme brosme";"USK1214EI"
"North Sea and Eastern Arctic";"Tusk";"Brosme brosme";"ICES";NA;"USK04-C.,USK04-N.";"IV";"27_4";"EU waters of IV";"";"Brosme brosme";"Brosme brosme";"USK04-C."
"North Atlantic";"Edible crab";"Cancer pagurus";"ICES";NA;"No TAC";"all areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"Cancer pagurus";"Cancer pagurus";"No TAC"
"North Atlantic";"Boarfish";"Capros aper,Caproidae";"ICES";NA;"BOR678-";"V, VI, VII";"27_5,27_6,27_7";"EU and international waters of VI, VII and VIII";"";"Capros aper";"Capros aper";"BOR678-"
"Other regions";"Jack";"Caranx spp";"CECAF";NA;"No TAC";"34.3.1,34.3.3-6";"34_3_1,34_3_3,34_3_4,34_3_5,34_3_6";"";"";"Caranx spp";"Caranx spp";"No TAC"
"Mediterranean and Black Sea";"Requiem sharks nei";"Carcharhinidae";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Carcharhinidae";"Carcharhinidae";"No TAC"
"Other regions";"Silky shark";"Carcharhinus falciformes";"IOTC";NA;"No TAC";"Indian Ocean Western and Eastern";"51,57";"";"";"Carcharhinus falciformes";"Carcharhinus falciformes";"No TAC"
"Other regions";"Silky shark";"Carcharhinus falciformis";"WCPFC";NA;"No TAC";"West Central Pacific Ocean";"71";"";"";"Carcharhinus falciformis";"Carcharhinus falciformis";"No TAC"
"Other regions";"Oceanic whitetip shark";"Carcharhinus longimanus";"IOTC";NA;"No TAC";"Indian Ocean Western and Eastern";"51,57";"";"";"Carcharhinus longimanus";"Carcharhinus longimanus";"No TAC"
"Other regions";"Oceanic whitetip shark";"Carcharhinus longimanus";"WCPFC";NA;"No TAC";"West Central Pacific Ocean";"71";"";"";"Carcharhinus longimanus";"Carcharhinus longimanus";"No TAC"
"Mediterranean and Black Sea";"Gulper shark";"Centrophorus granulosus";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Centrophorus granulosus";"Centrophorus granulosus";"No TAC"
"North Atlantic";"Leafscale gulper shark";"Centrophorus squamosus";"ICES";NA;"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"Centrophorus squamosus";"Centrophorus squamosus";"No TAC"
"Mediterranean and Black Sea";"Leafscale gulper shark";"Centrophorus squamosus";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Centrophorus squamosus";"Centrophorus squamosus";"No TAC"
"Mediterranean and Black Sea";"Little gulper shark";"Centrophorus uyato";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Centrophorus uyato";"Centrophorus uyato";"No TAC"
"Other regions";"Snooks";"Centropomus spp";"WECAFC";NA;"No TAC";"French Guyana";"31";"";"";"Centropomus spp";"Centropomus spp";"No TAC"
"North Atlantic";"Portuguese dogfish";"Centroscymnus coelolepis";"ICES";NA;"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"Centroscymnus coelolepis";"Centroscymnus coelolepis";"No TAC"
"Mediterranean and Black Sea";"Portuguese dogfish";"Centroscymnus coelolepis";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Centroscymnus coelolepis";"Centroscymnus coelolepis";"No TAC"
"Other regions";"Red/Golden crabs";"Chaceon spp";"SEAFO";NA;"No TAC";"South-East Atlantic";"47";"";"";"Chaceon spp";"Chaceon spp";"No TAC"
"Other regions";"Mackerel icefish";"Champsocephalus gunnari";"CCAMLR";NA;"No TAC";"CCAMLR Convention Area";"48, 58, 88";"";"";"Champsocephalus gunnari";"Champsocephalus gunnari";"No TAC"
"North Atlantic";"Rabbit fish";"Chimaera monstrosa";"ICES";NA;"No TAC";"all areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"Chimaera monstrosa";"Chimaera monstrosa";"No TAC"
"North Atlantic";"Opal chimaera";"Chimaera opalescens";"ICES";NA;"No TAC";"all areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"Chimaera opalescens";"Chimaera opalescens";"No TAC"
"North Sea and Eastern Arctic";"Herring";"Clupea harengus";"ICES";NA;"HER03A.,HER03A-BC";"22-24,IIIa";"27_3_A,27_3_C_22,27_3_D_24";"";"";"Clupea harengus";"Clupea harengus";"HER03A.,HER03A-BC"
"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER03D.RG";"Gulf of Riga";"27_3_D_28_1";"";"";"Clupea harengus";"Clupea harengus";"HER03D.RG"
"North Sea and Eastern Arctic";"Herring";"Clupea harengus";"ICES";NA;"HER4CXB7D,HER4AB.,HER04-N.,HER2A47DX.";"IV, VIId";"27_4,27_7_D";"";"";"Clupea harengus";"Clupea harengus";"HER2A47DX"
"North Atlantic";"Herring";"Clupea harengus";"ICES";NA;"HER7G-K.";"VIIj";"27_7_J";"";"";"Clupea harengus";"Clupea harengus";"HER7G-K."
"North Atlantic";"Herring";"Clupea harengus";"ICES";NA;"HER5B6ANB,HER06ACL.";"VIa";"27_6_A";"";"";"Clupea harengus";"Clupea harengus";"HER06ACL."
"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER3D-R30";"25-29,32";"27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28_2,27_3_D_29,27_3_D_32";"";"";"Clupea harengus";"Clupea harengus";"HER3D-R30"
"North Atlantic";"Herring";"Clupea harengus";"ICES";NA;"HER6AS7BC";"VIaS,VIIbc";"27_6_A,27_7_B,27_7_C";"";"";"Clupea harengus";"Clupea harengus";"HER6AS7BC"
"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER30/31.";"31";"27_3_D_31";"";"";"Clupea harengus";"Clupea harengus";"HER3D31."
"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER30/31.";"30";"27_3_D_30";"";"";"Clupea harengus";"Clupea harengus";"HER3D30."
"North Atlantic";"Herring";"Clupea harengus";"ICES";NA;"HER07A/MM";"VIIa";"27_7_A";"";"";"Clupea harengus";"Clupea harengus";"HER07A/MM"
"North Sea and Eastern Arctic";"Atlanto-Scandian herring";"Clupea harengus";"ICES";NA;"HER1/2-";"I-II";"27_1,27_2";"";"";"Clupea harengus";"Clupea harengus";"HER1/2-"
"Baltic Sea";"Herring";"Clupea harengus";"ICES";NA;"HER3BC+24";"22-24";"27_3_C_22,27_3_B_23,27_3_D_24";"";"";"Clupea harengus";"Clupea harengus";"HER3BC+24"
"North Atlantic";"Conger";"Conger conger";"ICES";NA;"COEXDS";"all areas excluding X";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_12,27_14";"NEAFC Stock - Deep Sea Fisheries";"";"Conger conger";"Conger conger";"COEXDS"
"North Atlantic";"Conger";"Conger conger";"ICES";NA;"COEXDS";"X";"27_10";"NEAFC Stock - Deep Sea Fisheries";"";"Conger conger";"Conger conger";"COEXDS"
"Baltic Sea";"Vendace";"Coregonus albula";"ICES";NA;"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"Coregonus albula";"Coregonus albula";"No TAC"
"Baltic Sea";"Common Whitefish/houting";"Coregonus lavaretus";"ICES";NA;"No TAC";"IIId";"27_3_D";"";"";"Coregonus lavaretus";"Coregonus lavaretus";"No TAC"
"Other regions";"Dolphinfish";"Coryphaena hippurus";"IOTC";NA;"No TAC";"Runion et Mayotte";"51";"";"";"Coryphaena hippurus";"Coryphaena hippurus";"No TAC"
"Other regions";"Dolphinfish";"Coryphaena hippurus";"ICCAT";NA;"No TAC";"Atlantic Ocean and adjacent seas";"21,31,27,34,37";"";"";"Coryphaena hippurus";"Coryphaena hippurus";"No TAC"
"Other regions";"Dolphinfish";"Coryphaena hippurus";"WCPFC";NA;"No TAC";"West Central Pacific Ocean";"71";"";"";"Coryphaena hippurus";"Coryphaena hippurus";"No TAC"
"Other regions";"Roundnose Grenadier";"Coryphaenoides rupestris";"NAFO SA0 + 1";NA;"";"21";"";"";"";"Coryphaenoides rupestris";"Coryphaenoides rupestris";""
"North Atlantic";"Roundnose grenadier";"Coryphaenoides rupestris";"ICES";NA;"RNG514GRN,RNG5B67-,RNG8X14-";"all areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"to be confirmed";"";"Coryphaenoides rupestris";"Coryphaenoides rupestris";"RNG514GRN,RNG5B67-,RNG8X14-"
"North Sea and Eastern Arctic";"Roundnose grenadier";"Coryphaenoides rupestris";"ICES";NA;"RNG03-";"IIIa";"27_3_A";"EU and international waters of III";"";"Coryphaenoides rupestris";"Coryphaenoides rupestris";"RNG03-"
"North Sea and Eastern Arctic";"Common Shrimp";"Crangon crangon";"ICES";NA;"No TAC";"IV, VIId";"27_4,27_7_D";"";"";"Crangon crangon";"Crangon crangon";"No TAC"
"Other regions";"Tongue sole";"Cynoglossus spp";"CECAF";NA;"No TAC";"34.1.1,34.1.3,34.3.1,34.3.3-6";"34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6";"";"";"Cynoglossus spp";"Cynoglossus spp";"No TAC"
"Other regions";"Acoupa weakfish";"Cynoscion acoupa";"WECAFC";NA;"No TAC";"French Guyana";"31";"";"";"Cynoscion acoupa";"Cynoscion acoupa";"No TAC"
"Other regions";"Smalltooth weakfish";"Cynoscion steindachneri";"WECAFC";NA;"No TAC";"French Guyana";"31";"";"";"Cynoscion steindachneri";"Cynoscion steindachneri";"No TAC"
"Other regions";"Green weakfish";"Cynoscion virescens";"WECAFC";NA;"No TAC";"French Guyana";"31";"";"";"Cynoscion virescens";"Cynoscion virescens";"No TAC"
"North Atlantic";"Kitefin shark";"Dalatias licha";"ICES";NA;"SCKXDS";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"NEAFC Stock - Deep Sea Fisheries";"";"Dalatias licha";"Dalatias licha";"SCKXDS"
"North Atlantic";"Kitefin shark";"Dalatias licha";"ICES";NA;"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"Dalatias licha";"Dalatias licha";"No TAC"
"Mediterranean and Black Sea";"Kitefin shark";"Dalatias licha";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Dalatias licha";"Dalatias licha";"No TAC"
"Mediterranean and Black Sea";"Stingrays, butterfly rays nei";"Dasyatidae";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Dasyatidae";"Dasyatidae";"No TAC"
"North Atlantic";"Roughtail stingray";"Dasyatis centroura";"ICES";NA;"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"Dasyatis centroura";"Dasyatis centroura";"No TAC"
"Mediterranean and Black Sea";"Roughtail stingray";"Dasyatis centroura";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Dasyatis centroura";"Dasyatis centroura";"No TAC"
"North Atlantic";"Common stingray";"Dasyatis pastinaca";"ICES";NA;"SRX67AKXD,SRX07D.,SRX89-C.";"VII, VIII";"27_7,27_8";"SRX = all rays";"";"Dasyatis pastinaca";"Dasyatis pastinaca";"SRX67AKXD,SRX07D.,SRX89-C."
"Mediterranean and Black Sea";"Common stingray";"Dasyatis pastinaca";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Dasyatis pastinaca";"Dasyatis pastinaca";"No TAC"
"North Atlantic";"Common stingray";"Dasyatis pastinaca";"ICES";NA;"No TAC";"VII, VIII";"27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8";"";"";"Dasyatis pastinaca";"Dasyatis pastinaca";"No TAC"
"North Atlantic";"Tortonese's stingray";"Dasyatis tortonesei";"ICES";NA;"No TAC";"VII, VIII";"27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8";"";"";"Dasyatis tortonesei";"Dasyatis tortonesei";"No TAC"
"North Sea and Eastern Arctic";"Tortonese's stingray";"Dasyatis tortonesei";"ICES";NA;"No TAC";"all areas";"27_4,27_7_D";"";"";"Dasyatis tortonesei";"Dasyatis tortonesei";"No TAC"
"North Atlantic";"Pelagic stingray";"Dasyatis violacea";"ICES";NA;"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"Pteroplatytrygon violacea";"Dasyatis violacea";"Dasyatis violacea";"No TAC"
"Mediterranean and Black Sea";"Pelagic stingray";"Dasyatis violacea";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"Pteroplatytrygon violacea";"Dasyatis violacea";"Dasyatis violacea";"No TAC"
"North Atlantic";"Birdbeak dogfish";"Deania calcea";"ICES";NA;"No TAC";"V, VI, VII, IX, X, XII";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_9,27_10,27_12";"";"";"Deania calcea";"Deania calcea";"No TAC"
"North Atlantic";"Birdbeak dogfish";"Deania calcea";"ICES";NA;"DCAXDS";"V, VI, VII, IX, X, XII";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12";"";"";"Deania calcea";"Deania calcea";"DCAXDS"
"Other regions";"Scad";"Decapterus spp";"CECAF";NA;"No TAC";"34.3.1,34.3.3-6";"34_3_1,34_3_3,34_3_4,34_3_5,34_3_6";"";"";"Decapterus spp";"Decapterus spp";"No TAC"
"Other regions";"Canary dentex";"Dentex canariensis";"CECAF";NA;"No TAC";"34.1.1,34.1.3,34.3.1,34.3.3-6";"34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6";"";"";"Dentex canariensis";"Dentex canariensis";"No TAC"
"Other regions";"Congo dentex";"Dentex congoensis";"CECAF";NA;"No TAC";"34.1.1,34.1.3,34.3.1,34.3.3-6";"34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6";"";"";"Dentex congoensis";"Dentex congoensis";"No TAC"
"Other regions";"Large-eye dentex";"Dentex macrophthalmus";"CECAF";NA;"No TAC";"34.1.1,34.1.3,34.3.1,34.3.3-6";"34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6";"";"";"Dentex macrophthalmus";"Dentex macrophthalmus";"No TAC"
"Other regions";"Morocco dentex";"Dentex maroccanus";"CECAF";NA;"No TAC";"34.1.1,34.1.3,34.3.1,34.3.3-6";"34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6";"";"";"Dentex maroccanus";"Dentex maroccanus";"No TAC"
"Other regions";"Dentex";"Dentex spp";"CECAF";NA;"No TAC";"34.1.1";" 34.1.3,34.3.1,34.3.3-6,34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3?";"";"";"Dentex spp";"Dentex spp";"No TAC"
