"region";"sppName";"latinName";"RFMO";"RFMO_Stock_ID";"X3A_CODE";"FIDES_AREA";"area";"areaBis";"TAC.area.description";"Comments";"areaRDB"
"Baltic Sea";"Perch";"Perca fluviatilis";"ICES";NA;"FPE";"No TAC";"3d";"27_3_D";"";"";"27_3_D,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_28_1,27_3_D_28_2,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32"
"Baltic Sea";"Flounder";"Platichthys flesus";"ICES";NA;"FLE";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_28_1,27_3_D_28_2,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32"
"Baltic Sea";"Plaice";"Pleuronectes platessa";"ICES";NA;"PLE";"3BCD-C";"21-23";"27_3_A_21,27_3_C_22,27_3_B_23";"";"";"27_3_A_21,27_3_C_22,27_3_B_23"
"Baltic Sea";"Plaice";"Pleuronectes platessa";"ICES";NA;"PLE";"3BCD-C";"24-32";"27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_28_1,27_3_D_28_2,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32"
"Baltic Sea";"Salmon";"Salmo salar";"ICES";NA;"SAL";"3BCD-F";"22-31";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31";"";"";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_28_1,27_3_D_28_2,27_3_D_29,27_3_D_30,27_3_D_31"
"Baltic Sea";"Salmon";"Salmo salar";"ICES";NA;"SAL";"3D32.";"32";"27_3_D_32";"";"";"27_3_D_32"
"Baltic Sea";"Sea trout";"Salmo trutta";"ICES";NA;"TRS";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_28_1,27_3_D_28_2,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32"
"Baltic Sea";"Pike-perch";"Sander lucioperca";"ICES";NA;"FPP";"No TAC";"3d";"27_3_D";"";"";"27_3_D,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_28_1,27_3_D_28_2,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32"
"Baltic Sea";"Turbot";"Scophtalmus maximus";"ICES";NA;"TUR";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_28_1,27_3_D_28_2,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32"
"Baltic Sea";"Brill";"Scophthalmus rhombus";"ICES";NA;"BLL";"No TAC";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_28_1,27_3_D_28_2,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32"
"Baltic Sea";"Sole";"Solea solea";"ICES";NA;"SOL";"No TAC";"20-24";"27_3_A_20,27_3_A_21,27_3_C_22,27_3_B_23,27_3_D_24";"";"";"27_3_A_20,27_3_A_21,27_3_C_22,27_3_B_23,27_3_D_24"
"Baltic Sea";"Sprat";"Sprattus sprattus";"ICES";NA;"SPR";"3BCD-C";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"To be checked";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_28_1,27_3_D_28_2,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32"
"North Sea and Eastern Arctic";"European Eel";"Anguilla anguilla";"ICES";NA;"ELE";"No TAC";"1, 2";"27_1,27_2";"";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2"
"North Sea and Eastern Arctic";"Greater silver smelt";"Argentina silus";"ICES";NA;"ARU";"1/2.";"1, 2, 5a, 14";"27_1,27_2,27_5_A,27_14";"";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2,27_5_A,27_14,27_14_A,27_14_B,27_14_B_1,27_14_B_2"
"North Sea and Eastern Arctic";"Tusk";"Brosme brosme";"ICES";NA;"USK";"1214EI";"1, 2";"27_1,27_2";"EC and International Waters of I-II and XIV";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2"
"North Sea and Eastern Arctic";"Herring";"Clupea harengus";"ICES";NA;"HER";"1/2-";"1, 2";"27_1,27_2";"";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2"
"North Sea and Eastern Arctic";"Cod";"Gadus morhua";"ICES";NA;"COD";"1/2B.";"1, 2";"27_1,27_2";"I-IIb)";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2"
"North Sea and Eastern Arctic";"Tope";"Galeorhinus galeus";"ICES";NA;"GAG";"No TAC";"1, 2";"27_1,27_2";"";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2"
"North Sea and Eastern Arctic";"American plaice";"Hippoglossoides platessoides";"ICES";NA;"PLA";"No TAC";"1, 2";"27_1,27_2";"";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2"
"North Sea and Eastern Arctic";"Capelin";"Mallotus villosus";"ICES";NA;"CAP";"02B.";"1, 2";"27_1,27_2";"ICES division IIb - Spitzbergen and Bear Island";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2"
"North Sea and Eastern Arctic";"Haddock";"Melanogrammus aeglefinus";"ICES";NA;"HAD";"1N2AB.";"1, 2";"27_1,27_2";"I-II (Norwegian waters)";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2"
"North Sea and Eastern Arctic";"Blue whiting";"Micromesistius poutassou";"ICES";NA;"WHB";"1X14";"1, 2";"27_1,27_2";"";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2"
"North Sea and Eastern Arctic";"Blue ling";"Molva dypterygia";"ICES";NA;"BLI";"24-";"2";"27_2";"";"";"27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2"
"North Sea and Eastern Arctic";"Ling";"Molva molva";"ICES";NA;"LIN";"1/2.";"1, 2";"27_1,27_2";"";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2"
"North Sea and Eastern Arctic";"Smooth-hound";"Mustelus spp.";"ICES";NA;"SKH";"";"1, 2, 14";"27_1,27_2,27_14";"";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2,27_14,27_14_A,27_14_B,27_14_B_1,27_14_B_2"
"North Sea and Eastern Arctic";"Northern shrimp";"Pandalus borealis";"ICES";NA;"PRA";"2AC4-C";"1, 2";"27_1,27_2";"EC waters of IIa) and IV";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2"
"North Sea and Eastern Arctic";"Saithe";"Pollachius virens";"ICES";NA;"POK";"1/2INT,1N2AB.";"1, 2";"27_1,27_2";"I-II (International waters)";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2"
"North Sea and Eastern Arctic";"Greenland halibut";"Reinhardtius hippoglossoides";"ICES";NA;"GHL";"1/2INT";"1, 2";"27_1,27_2";"I-II (International waters)";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2"
"North Sea and Eastern Arctic";"Salmon";"Salmo salar";"ICES";NA;"SAL";"No TAC";"1, 2";"27_1,27_2";"";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2"
"North Sea and Eastern Arctic";"Sea trout";"Salmo trutta";"ICES";NA;"TRS";"";"1, 2";"27_1,27_2";"";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2"
"North Sea and Eastern Arctic";"Mackerel";"Scomber scombrus";"ICES";NA;"MAC";"2A34.";"2";"27_2";"IIa";"";"27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2"
"North Sea and Eastern Arctic";"Beaked redfish";"Sebastes mentella";"ICES";NA;"REB";"1N2AB.";"1, 2";"27_1,27_2";"";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2"
"North Sea and Eastern Arctic";"Golden Redfish";"Sebastes norvegicus";"ICES";NA;"REG";"XXX";"1, 2";"27_1,27_2";"NEAFC Stock - catches not from the stock that is subject to NEAFC management mesures";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2"
"North Sea and Eastern Arctic";"Picked dogfish";"Squalus acanthias";"ICES";NA;"DGS";"15X14";"all areas";"27_4,27_7_D";"";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2"
"North Sea and Eastern Arctic";"Horse mackerel";"Trachurus trachurus";"ICES";NA;"JAX";"2A-14";"2a";"27_2_A";"NEAFC Stock - catches not from the stock that is subject to NEAFC management mesures";"";"27_2_A,27_2_A_1,27_2_A_2"
"North Sea and Eastern Arctic";"Sand eel";"Ammodytidae";"ICES";NA;"SAN";"2A3A4.";"3a, 4";"27_3_A,27_4";"IIIa,   EC waters of IIa and IV";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C"
"North Sea and Eastern Arctic";"Catfish";"Anarhichas spp";"ICES";NA;"CAT";"No TAC";"4";"27_4";"";"";"27_4,27_4_A,27_4_B,27_4_C"
"North Sea and Eastern Arctic";"European Eel";"Anguilla anguilla";"ICES";NA;"ELE";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Greater silver smelt";"Argentina silus";"ICES";NA;"ARU";"3A4-C";"3a, 4";"27_3_A,27_4";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C"
"North Sea and Eastern Arctic";"Argentine";"Argentina spp";"ICES";NA;"ARU";"3A4-C";"4";"27_4";"";"";"27_4,27_4_A,27_4_B,27_4_C"
"North Sea and Eastern Arctic";"Red gurnard";"Aspitrigla cuculus";"ICES";NA;"GUR";"No TAC";"3a";"27_3_A";"";"";"27_3_A,27_3_A_20,27_3_A_21"
"North Sea and Eastern Arctic";"Tusk";"Brosme brosme";"ICES";NA;"USK";"03A.,04-C.,04-N.";"3a, 4";"27_3_A,27_4";"EU waters of IV";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C"
"North Sea and Eastern Arctic";"Herring";"Clupea harengus";"ICES";NA;"HER";"03A.,03A-BC,2A47DX,4AB.";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Roundnose grenadier";"Coryphaenoides rupestris";"ICES";NA;"RNG";"03-";"3a";"27_3_A";"EU and international waters of III";"";"27_3_A,27_3_A_20,27_3_A_21"
"North Sea and Eastern Arctic";"Common Shrimp";"Crangon crangon";"ICES";NA;"CSH";"No TAC";"4, 7d";"27_4,27_7_D";"";"";"27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Sea bass";"Dicentrarchus labrax";"ICES";NA;"BSS";"No TAC";"4, 7d";"27_4,27_7_D";"";"";"27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Grey gurnard";"Eutrigla gurnardus";"ICES";NA;"GUG";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Cod";"Gadus morhua";"ICES";NA;"COD";"03AN.";"3aN";"27_3_A-4_AB_NK";"Skagerrak (Division IIIa)";"";"27_3_A_20"
"North Sea and Eastern Arctic";"Cod";"Gadus morhua";"ICES";NA;"COD";"03AS.";"3aS";"27_3_A";"Kattegat (Division IIIa)";"";"27_3_A_21"
"North Sea and Eastern Arctic";"Cod";"Gadus morhua";"ICES";NA;"COD";"2A3AX4,07D.";"4, 7d";"27_4,27_7_D";"IV,   EC waters of Iia,   that part of IIIa not covered by the Skagerrak and the Kattegat, ICES division VIId - Eastern Channel";"";"27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Tope";"Galeorhinus galeus";"ICES";NA;"GAG";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Witch flounder";"Glyptocephalus cynoglossus";"ICES";NA;"WIT";"No TAC";"3a, 4";"27_3_A,27_4";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C"
"North Sea and Eastern Arctic";"Blue-mouth rockfish";"Helicolenus dactylopterus";"ICES";NA;"BRF";"No TAC";"4";"27_4";"";"";"27_4,27_4_A,27_4_B,27_4_C"
"North Sea and Eastern Arctic";"Four-spot megrim";"Lepidorhombus boscii";"ICES";NA;"LEZ,LDB";"2AC4-C";"4, 7d";"27_4,27_7_D";"EC waters of IIa) and IV";"";"27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Megrim";"Lepidorhombus whiffiagonis";"ICES";NA;"LEZ,MEG";"2AC4-C";"4, 7d";"27_4,27_7_D";"EC waters of IIa) and IV";"";"27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Cuckoo ray";"Leucoraja naevus";"ICES";NA;"RJN";"03A-C.,2AC4-C";"3a, 4";"27_3_A,27_4";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C"
"North Sea and Eastern Arctic";"Dab";"Limanda limanda";"ICES";NA;"DAB";"2AC4-C";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Black-bellied angler";"Lophius budegassa";"ICES";NA;"ANF,MNZ";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Anglerfish";"Lophius piscatorius";"ICES";NA;"MON,MNZ";"2AC4-C,*2AC4-C,04-N.";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Roughhead grenadier";"Macrourus berglax";"ICES";NA;"RHG";"";"4";"27_4";"EU and international waters of I-II and IV";"";"27_4,27_4_A,27_4_B,27_4_C"
"North Sea and Eastern Arctic";"Haddock";"Melanogrammus aeglefinus";"ICES";NA;"HAD";"03A.,04-N.,*04N-";"3a, 4";"27_3_A,27_4";"IIIa) and EU waters of IIIbcd";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C"
"North Sea and Eastern Arctic";"Whiting";"Merlangius merlangus";"ICES";NA;"WHG";"03A.,2AC4.";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Hake";"Merluccius merluccius";"ICES";NA;"HKE";"2AC4-C,3A.";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"EC waters of IIa) and IV";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Blue whiting";"Micromesistius poutassou";"ICES";NA;"WHB";"1X14";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Lemon sole";"Microstomus kitt";"ICES";NA;"LEM";"2AC4-C";"4, 7d";"27_4,27_7_D";"EC waters of IIa) and IV";"";"27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Blue ling";"Molva dypterygia";"ICES";NA;"BLI";"03A-,*24X7C";"3a, 4";"27_3_A,27_4";"EU and international waters of II and IV";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C"
"North Sea and Eastern Arctic";"Ling";"Molva molva";"ICES";NA;"LIN";"03A-C.,04-C.,04-N.";"3a, 4";"27_3_A,27_4";"EU waters of IV";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C"
"North Sea and Eastern Arctic";"Red mullet";"Mullus barbatus";"ICES";NA;"MUT";"No TAC";"4, 7d";"27_4,27_7_D";"";"";"27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Striped red mullet";"Mullus surmuletus";"ICES";NA;"MUR";"No TAC";"4, 7d";"27_4,27_7_D";"";"";"27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Smooth-hound";"Mustelus spp.";"ICES";NA;"SKH";"";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Norway lobster";"Nephrops norvegicus";"ICES";NA;"NEP";"03A.,04-N.2AC4-C";"3a, 4 and 2a Union waters";"27_2_A,27_3_A,27_4";"IIIa) and EU waters of IIIbcd";"";"27_2_A,27_3_A,27_4"
"North Sea and Eastern Arctic";"Northern shrimp";"Pandalus borealis";"ICES";NA;"PRA";"03A.,04-N.";"3a, 4 and 2a Union waters";"27_3_A,27_4,27_2_A";"IIIa)";"";"27_3_A,27_4,27_2_A"
"North Sea and Eastern Arctic";"Northern shrimp";"Pandalus borealis";"ICES";NA;"PRA";"2AC4-C";"4 Norwegian waters south of 62N";"27_4";"EC waters of IIa) and IV";"";"27_4,27_4_A,27_4_B,27_4_C"
"North Sea and Eastern Arctic";"Common scallop";"Pecten maximus";"ICES";NA;"SCE";"No TAC";"4, 7d";"27_4,27_7_D";"";"";"27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Greater Forkbeard";"Phycis blennoides";"ICES";NA;"GFB";"-1234";"4";"27_4";"EU and international waters of I-II,  III and IV";"";"27_4,27_4_A,27_4_B,27_4_C"
"North Sea and Eastern Arctic";"Forkbeard";"Phycis phycis";"ICES";NA;"FOR";"No TAC";"4";"27_4";"";"";"27_4,27_4_A,27_4_B,27_4_C"
"North Sea and Eastern Arctic";"Flounder";"Platichthys flesus";"ICES";NA;"FLE";"2AC4-C";"4";"27_4";"EC waters of IIa) and IV";"";"27_4,27_4_A,27_4_B,27_4_C"
"North Sea and Eastern Arctic";"Plaice";"Pleuronectes platessa";"ICES";NA;"PLE";"03AN.";"3aN";"27_3_A_20";"Skagerrak (Division IIIa), Kattegat (Division IIIa)";"";"27_3_A_20"
"North Sea and Eastern Arctic";"Plaice";"Pleuronectes platessa";"ICES";NA;"PLE";"03AS.";"3aS";"27_3_A_21";"";"";"27_3_A_21"
"North Sea and Eastern Arctic";"Plaice";"Pleuronectes platessa";"ICES";NA;"PLE";"2A3AX4,7DE.";"4, 7d";"27_4,27_7_D";"IV,  EC waters of Iia,   that part of IIIa not covered by the Skagerrak and the Kattegat";"";"27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Saithe";"Pollachius virens";"ICES";NA;"POK";"2C3A4";"3a, 4";"27_3_A,27_4";"EU waters of IV and in IIIa";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C"
"North Sea and Eastern Arctic";"Turbot";"Scophthalmus maximus";"ICES";NA;"TUR";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"EC waters of IIa) and IV";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Blonde ray";"Raja brachyura";"ICES";NA;"RJH";"04-C.,07D.";"4a, 4c, 7d";"27_4_A,27_4_C,27_7_D";"";"";"27_4_A,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Thornback ray";"Raja clavata";"ICES";NA;"RJC";"07D.,2AC4-C";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Small-eyed ray";"Raja microocellata";"ICES";NA;"RJE";"07D.";"7d";"27_7_D";"";"";"27_7_D"
"North Sea and Eastern Arctic";"Spotted ray";"Raja montagui";"ICES";NA;"RJM";"07D.,03A-C.,2AC4-C";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D"
"North Sea and Eastern Arctic";"Undulate ray";"Raja undulata";"ICES";NA;"RJU";"07DE.";"7d";"27_7_D";"";"";"27_7_D"
"North Sea and Eastern Arctic";"All skates and rays";"Rajidae";"ICES";NA;"SKA";"No TAC";"3a";"27_3_A";"to be coded as all other rays in the script";"";"27_3_A,27_3_A_20,27_3_A_21"
"North Sea and Eastern Arctic";"Greenland halibut";"Reinhardtius hippoglossoides";"ICES";NA;"GHL";"2A-C46";"4";"27_4";"EU waters of IIa and IV,   EU and international waters of Vb and VI";"";"27_4,27_4_A,27_4_B,27_4_C"
