"region";"sppName";"latinName";"RFMO";"RFMO_Stock_ID";"X3A_CODE";"FIDES_AREA";"area";"areaBis";"TAC.area.description";"Comments";"areaRDB";"latinNameJoin"
"North Sea and Eastern Arctic";"Greater silver smelt";"Argentina silus";"ICES";NA;"ARU";"1/2.";"1, 2, 5a, 14";"27_1,27_2,27_5_A,27_14";"";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2,27_5_A,27_14,27_14_A,27_14_B,27_14_B_1,27_14_B_2";"Argentina silus"
"North Sea and Eastern Arctic";"Tusk";"Brosme brosme";"ICES";NA;"USK";"1214EI";"1, 2";"27_1,27_2";"EC and International Waters of I-II and XIV";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2";"Brosme brosme"
"North Sea and Eastern Arctic";"Herring";"Clupea harengus";"ICES";NA;"HER";"1/2-";"1, 2";"27_1,27_2";"";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2";"Clupea harengus"
"North Sea and Eastern Arctic";"Cod";"Gadus morhua";"ICES";NA;"COD";"1/2B.";"1, 2";"27_1,27_2";"I-IIb)";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2";"Gadus morhua"
"North Sea and Eastern Arctic";"Tope";"Galeorhinus galeus";"ICES";NA;"GAG";"No TAC";"1, 2";"27_1,27_2";"";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2";"Galeorhinus galeus"
"North Sea and Eastern Arctic";"American plaice";"Hippoglossoides platessoides";"ICES";NA;"PLA";"No TAC";"1, 2";"27_1,27_2";"";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2";"Hippoglossoides platessoides"
"North Sea and Eastern Arctic";"Capelin";"Mallotus villosus";"ICES";NA;"CAP";"02B.";"1, 2";"27_1,27_2";"ICES division IIb - Spitzbergen and Bear Island";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2";"Mallotus villosus"
"North Sea and Eastern Arctic";"Haddock";"Melanogrammus aeglefinus";"ICES";NA;"HAD";"1N2AB.";"1, 2";"27_1,27_2";"I-II (Norwegian waters)";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2";"Melanogrammus aeglefinus"
"North Sea and Eastern Arctic";"Blue whiting";"Micromesistius poutassou";"ICES";NA;"WHB";"1X14";"1, 2";"27_1,27_2";"";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2";"Micromesistius poutassou"
"North Sea and Eastern Arctic";"Blue ling";"Molva dypterygia";"ICES";NA;"BLI";"24-";"2";"27_2";"";"";"27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2";"Molva dypterygia"
"North Sea and Eastern Arctic";"Ling";"Molva molva";"ICES";NA;"LIN";"1/2.";"1, 2";"27_1,27_2";"";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2";"Molva molva"
"North Sea and Eastern Arctic";"Smooth-hound";"Mustelus spp.";"ICES";NA;"SKH";"";"1, 2, 14";"27_1,27_2,27_14";"";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2,27_14,27_14_A,27_14_B,27_14_B_1,27_14_B_2";"Mustelus,Mustelus mustelus,Mustelus asterias,Mustelus punctulatus"
"North Sea and Eastern Arctic";"Northern shrimp";"Pandalus borealis";"ICES";NA;"PRA";"2AC4-C";"1, 2";"27_1,27_2";"EC waters of IIa) and IV";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2";"Pandalus borealis"
"North Sea and Eastern Arctic";"Saithe";"Pollachius virens";"ICES";NA;"POK";"1/2INT,1N2AB.";"1, 2";"27_1,27_2";"I-II (International waters)";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2";"Pollachius virens"
"North Sea and Eastern Arctic";"Greenland halibut";"Reinhardtius hippoglossoides";"ICES";NA;"GHL";"1/2INT";"1, 2";"27_1,27_2";"I-II (International waters)";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2";"Reinhardtius hippoglossoides"
"North Sea and Eastern Arctic";"Salmon";"Salmo salar";"ICES";NA;"SAL";"No TAC";"1, 2";"27_1,27_2";"";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2";"Salmo salar"
"North Sea and Eastern Arctic";"Sea trout";"Salmo trutta";"ICES";NA;"TRS";"";"1, 2";"27_1,27_2";"";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2";"Salmo trutta"
"North Sea and Eastern Arctic";"Mackerel";"Scomber scombrus";"ICES";NA;"MAC";"2A34.";"2";"27_2";"IIa";"";"27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2";"Scomber scombrus"
"North Sea and Eastern Arctic";"Beaked redfish";"Sebastes mentella";"ICES";NA;"REB";"1N2AB.";"1, 2";"27_1,27_2";"";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2";"Sebastes mentella"
"North Sea and Eastern Arctic";"Golden Redfish";"Sebastes norvegicus";"ICES";NA;"REG";"XXX";"1, 2";"27_1,27_2";"NEAFC Stock - catches not from the stock that is subject to NEAFC management mesures";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2";"Sebastes norvegicus"
"North Sea and Eastern Arctic";"Picked dogfish";"Squalus acanthias";"ICES";NA;"DGS";"15X14";"all areas";"27_4,27_7_D";"";"";"27_1,27_1_A,27_1_B,27_2,27_2_A,27_2_A_1,27_2_A_2,27_2_B,27_2_B_1,27_2_B_2";"Squalus acanthias"
"North Sea and Eastern Arctic";"Horse mackerel";"Trachurus trachurus";"ICES";NA;"JAX";"2A-14";"2a";"27_2_A";"NEAFC Stock - catches not from the stock that is subject to NEAFC management mesures";"";"27_2_A,27_2_A_1,27_2_A_2";"Trachurus trachurus"
"North Sea and Eastern Arctic";"Sand eel";"Ammodytidae";"ICES";NA;"SAN";"2A3A4.";"3a, 4";"27_3_A,27_4";"IIIa,   EC waters of IIa and IV";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C";"Ammodytidae,Ammodytes,Ammodytes tobianus,Ammodytes marinus,Ammodytes spp"
"North Sea and Eastern Arctic";"Catfish";"Anarhichas spp";"ICES";NA;"CAT";"No TAC";"4";"27_4";"";"";"27_4,27_4_A,27_4_B,27_4_C";"Anarhichas,Anarhichas spp,Anarhichas minor,Anarhichas denticulatus,Anarhichas lupus"
"North Sea and Eastern Arctic";"European Eel";"Anguilla anguilla";"ICES";NA;"ELE";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D";"Anguilla anguilla"
"North Sea and Eastern Arctic";"Greater silver smelt";"Argentina silus";"ICES";NA;"ARU";"3A4-C";"3a, 4";"27_3_A,27_4";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C";"Argentina silus"
"North Sea and Eastern Arctic";"Argentine";"Argentina spp";"ICES";NA;"ARU";"3A4-C";"4";"27_4";"";"";"27_4,27_4_A,27_4_B,27_4_C";"Argentina spp,Argentina spp.,Argentina,Argentina sphyraena,Argentina kagoshimae,Argentina elongata"
"North Sea and Eastern Arctic";"Red gurnard";"Aspitrigla cuculus";"ICES";NA;"GUR";"No TAC";"3a";"27_3_A";"";"";"27_3_A,27_3_A_20,27_3_A_21";"Chelidonichthys cuculus,Aspitrigla cuculus"
"North Sea and Eastern Arctic";"Tusk";"Brosme brosme";"ICES";NA;"USK";"03A.,04-C.,04-N.";"3a, 4";"27_3_A,27_4";"EU waters of IV";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C";"Brosme brosme"
"North Sea and Eastern Arctic";"Herring";"Clupea harengus";"ICES";NA;"HER";"03A.,03A-BC,2A47DX,4AB.";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D";"Clupea harengus"
"North Sea and Eastern Arctic";"Roundnose grenadier";"Coryphaenoides rupestris";"ICES";NA;"RNG";"03-";"3a";"27_3_A";"EU and international waters of III";"";"27_3_A,27_3_A_20,27_3_A_21";"Coryphaenoides rupestris"
"North Sea and Eastern Arctic";"Common Shrimp";"Crangon crangon";"ICES";NA;"CSH";"No TAC";"4, 7d";"27_4,27_7_D";"";"";"27_4,27_4_A,27_4_B,27_4_C,27_7_D";"Crangon crangon"
"North Sea and Eastern Arctic";"Sea bass";"Dicentrarchus labrax";"ICES";NA;"BSS";"No TAC";"4, 7d";"27_4,27_7_D";"";"";"27_4,27_4_A,27_4_B,27_4_C,27_7_D";"Dicentrarchus labrax"
"North Sea and Eastern Arctic";"Grey gurnard";"Eutrigla gurnardus";"ICES";NA;"GUG";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D";"Eutrigla gurnardus"
"North Sea and Eastern Arctic";"Cod";"Gadus morhua";"ICES";NA;"COD";"03AN.";"3aN";"27_3_A-4_AB_NK";"Skagerrak (Division IIIa)";"";"27_3_A_20";"Gadus morhua"
"North Sea and Eastern Arctic";"Cod";"Gadus morhua";"ICES";NA;"COD";"03AS.";"3aS";"27_3_A";"Kattegat (Division IIIa)";"";"27_3_A_21";"Gadus morhua"
"North Sea and Eastern Arctic";"Cod";"Gadus morhua";"ICES";NA;"COD";"2A3AX4,07D.";"4, 7d";"27_4,27_7_D";"IV,   EC waters of Iia,   that part of IIIa not covered by the Skagerrak and the Kattegat, ICES division VIId - Eastern Channel";"";"27_4,27_4_A,27_4_B,27_4_C,27_7_D";"Gadus morhua"
"North Sea and Eastern Arctic";"Tope";"Galeorhinus galeus";"ICES";NA;"GAG";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D";"Galeorhinus galeus"
"North Sea and Eastern Arctic";"Witch flounder";"Glyptocephalus cynoglossus";"ICES";NA;"WIT";"No TAC";"3a, 4";"27_3_A,27_4";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C";"Glyptocephalus cynoglossus"
"North Sea and Eastern Arctic";"Blue-mouth rockfish";"Helicolenus dactylopterus";"ICES";NA;"BRF";"No TAC";"4";"27_4";"";"";"27_4,27_4_A,27_4_B,27_4_C";"Helicolenus dactylopterus"
"North Sea and Eastern Arctic";"Four-spot megrim";"Lepidorhombus boscii";"ICES";NA;"LEZ,LDB";"2AC4-C";"4, 7d";"27_4,27_7_D";"EC waters of IIa) and IV";"";"27_4,27_4_A,27_4_B,27_4_C,27_7_D";"Lepidorhombus boscii"
"North Sea and Eastern Arctic";"Megrim";"Lepidorhombus whiffiagonis";"ICES";NA;"LEZ,MEG";"2AC4-C";"4, 7d";"27_4,27_7_D";"EC waters of IIa) and IV";"";"27_4,27_4_A,27_4_B,27_4_C,27_7_D";"Lepidorhombus whiffiagonis"
"North Sea and Eastern Arctic";"Cuckoo ray";"Leucoraja naevus";"ICES";NA;"RJN";"03A-C.,2AC4-C";"3a, 4";"27_3_A,27_4";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C";"Leucoraja naevus"
"North Sea and Eastern Arctic";"Dab";"Limanda limanda";"ICES";NA;"DAB";"2AC4-C";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D";"Limanda limanda"
"North Sea and Eastern Arctic";"Black-bellied angler";"Lophius budegassa";"ICES";NA;"ANF,MNZ";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D";"Lophius budegassa"
"North Sea and Eastern Arctic";"Anglerfish";"Lophius piscatorius";"ICES";NA;"MON,MNZ";"2AC4-C,*2AC4-C,04-N.";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D";"Lophius piscatorius"
"North Sea and Eastern Arctic";"Roughhead grenadier";"Macrourus berglax";"ICES";NA;"RHG";"";"4";"27_4";"EU and international waters of I-II and IV";"";"27_4,27_4_A,27_4_B,27_4_C";"Macrourus berglax"
"North Sea and Eastern Arctic";"Haddock";"Melanogrammus aeglefinus";"ICES";NA;"HAD";"03A.,04-N.,*04N-";"3a, 4";"27_3_A,27_4";"IIIa) and EU waters of IIIbcd";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C";"Melanogrammus aeglefinus"
"North Sea and Eastern Arctic";"Whiting";"Merlangius merlangus";"ICES";NA;"WHG";"03A.,2AC4.";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D";"Merlangius merlangus"
"North Sea and Eastern Arctic";"Hake";"Merluccius merluccius";"ICES";NA;"HKE";"2AC4-C,3A.";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"EC waters of IIa) and IV";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D";"Merluccius merluccius"
"North Sea and Eastern Arctic";"Blue whiting";"Micromesistius poutassou";"ICES";NA;"WHB";"1X14";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D";"Micromesistius poutassou"
"North Sea and Eastern Arctic";"Lemon sole";"Microstomus kitt";"ICES";NA;"LEM";"2AC4-C";"4, 7d";"27_4,27_7_D";"EC waters of IIa) and IV";"";"27_4,27_4_A,27_4_B,27_4_C,27_7_D";"Microstomus kitt"
"North Sea and Eastern Arctic";"Blue ling";"Molva dypterygia";"ICES";NA;"BLI";"03A-,*24X7C";"3a, 4";"27_3_A,27_4";"EU and international waters of II and IV";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C";"Molva dypterygia"
"North Sea and Eastern Arctic";"Ling";"Molva molva";"ICES";NA;"LIN";"03A-C.,04-C.,04-N.";"3a, 4";"27_3_A,27_4";"EU waters of IV";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C";"Molva molva"
"North Sea and Eastern Arctic";"Red mullet";"Mullus barbatus";"ICES";NA;"MUT";"No TAC";"4, 7d";"27_4,27_7_D";"";"";"27_4,27_4_A,27_4_B,27_4_C,27_7_D";"Mullus barbatus"
"North Sea and Eastern Arctic";"Striped red mullet";"Mullus surmuletus";"ICES";NA;"MUR";"No TAC";"4, 7d";"27_4,27_7_D";"";"";"27_4,27_4_A,27_4_B,27_4_C,27_7_D";"Mullus surmuletus"
"North Sea and Eastern Arctic";"Smooth-hound";"Mustelus spp.";"ICES";NA;"SKH";"";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"27_3_A,27_3_A_20,27_3_A_21,27_4,27_4_A,27_4_B,27_4_C,27_7_D";"Mustelus,Mustelus mustelus,Mustelus asterias,Mustelus punctulatus"
"North Sea and Eastern Arctic";"Norway lobster";"Nephrops norvegicus";"ICES";NA;"NEP";"03A.,04-N.2AC4-C";"3a, 4 and 2a Union waters";"27_2_A,27_3_A,27_4";"IIIa) and EU waters of IIIbcd";"";"27_2_A,27_3_A,27_4";"Nephrops norvegicus"
"North Sea and Eastern Arctic";"Northern shrimp";"Pandalus borealis";"ICES";NA;"PRA";"03A.,04-N.";"3a, 4 and 2a Union waters";"27_3_A,27_4,27_2_A";"IIIa)";"";"27_3_A,27_4,27_2_A";"Pandalus borealis"
"North Sea and Eastern Arctic";"Northern shrimp";"Pandalus borealis";"ICES";NA;"PRA";"2AC4-C";"4 Norwegian waters south of 62N";"27_4";"EC waters of IIa) and IV";"";"27_4,27_4_A,27_4_B,27_4_C";"Pandalus borealis"
"North Sea and Eastern Arctic";"Common scallop";"Pecten maximus";"ICES";NA;"SCE";"No TAC";"4, 7d";"27_4,27_7_D";"";"";"27_4,27_4_A,27_4_B,27_4_C,27_7_D";"Pecten maximus"
"North Sea and Eastern Arctic";"Greater Forkbeard";"Phycis blennoides";"ICES";NA;"GFB";"-1234";"4";"27_4";"EU and international waters of I-II,  III and IV";"";"27_4,27_4_A,27_4_B,27_4_C";"Phycis blennoides"
"North Sea and Eastern Arctic";"Forkbeard";"Phycis phycis";"ICES";NA;"FOR";"No TAC";"4";"27_4";"";"";"27_4,27_4_A,27_4_B,27_4_C";"Phycis phycis"
"North Sea and Eastern Arctic";"Flounder";"Platichthys flesus";"ICES";NA;"FLE";"2AC4-C";"4";"27_4";"EC waters of IIa) and IV";"";"27_4,27_4_A,27_4_B,27_4_C";"Platichthys flesus"
"North Sea and Eastern Arctic";"Plaice";"Pleuronectes platessa";"ICES";NA;"PLE";"03AN.";"3aN";"27_3_A_20";"Skagerrak (Division IIIa), Kattegat (Division IIIa)";"";"27_3_A_20";"Pleuronectes platessa"
"North Sea and Eastern Arctic";"Plaice";"Pleuronectes platessa";"ICES";NA;"PLE";"03AS.";"3aS";"27_3_A_21";"";"";"27_3_A_21";"Pleuronectes platessa"
