"Data","Catch_group","Section","Section_name","Subsection","Subsection_name","Subsubsection","Subsubsection_name","Filter_var","Filter","Grouped","Graph_group","Graph_type","Graph_variant","type_of_threshold","value_of_threshold","Var","var1","var2","tapply_type","proportion","sorted","graph_par","legend_par","png_name","txt_name","png_dir","txt_dir"
"CL","NULL",2,"Landings (CL)","2.1","Overall landings","2.1.5","Landings by area","","",FALSE,11,2,"b","NULL","NULL","LandingWeight_1000ton","FlagCountry","Area","sum",TRUE,TRUE,"list(oma = c(3,1,1,5), mai = c(1,1,0.7,1), ylab_line=4, col=""colour4"", cex.x=0.9)","list(x=max(bar.coords)+diff(bar.coords)[1]/1.5","2.1.5_2b","2.1.5_2b","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","NULL",2,"Landings (CL)","2.1","Overall landings","2.1.6","Landings by fishing ground","","",FALSE,12,1,"","NULL","NULL","LandingWeight_1000ton","FishingGround","NULL","sum",FALSE,TRUE,"list(oma = c(3,1,1,1), mai = c(1,1,0.7,.5), ylab_line=4, col=""colour4"")","NULL","2.1.6_1","2.1.6_1","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","NULL",2,"Landings (CL)","2.1","Overall landings","2.1.6","Landings by fishing ground","","",FALSE,13,2,"","NULL","NULL","LandingWeight_1000ton","FishingGround","FlagCountry","sum",TRUE,TRUE,"list(oma = c(3,1,1,5), mai = c(1,1,0.7,1.5), ylab_line=4, col=""colour4"", cex.x=0.9)","list(x=max(bar.coords)+diff(bar.coords)[1]/1.5","2.1.6_2","2.1.6_2","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","NULL",2,"Landings (CL)","2.1","Overall landings","2.1.7","Landings by metier","","",FALSE,14,1,"a","cum_percent","95","LandingWeight_1000ton","FishingActivityLvl5","NULL","sum",FALSE,TRUE,"list(oma = c(6,1,1,1), mai = c(1,1,.5,.5), ylab_line=4, col=""colour4"")","NULL","2.1.7_1a","2.1.7_1a","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","NULL",2,"Landings (CL)","2.1","Overall landings","2.1.7","Landings by metier","","",FALSE,15,2,"a","cum_percent","95","LandingWeight_1000ton","FishingActivityLvl5","FlagCountry","sum",TRUE,TRUE,"list(oma = c(3,1,1,5), mai = c(1,1,0.7,1), ylab_line=4, col=""colour4"", cex.x=0.9)","list(x=max(bar.coords)+diff(bar.coords)[1]/1.5","2.1.7_2a","2.1.7_2a","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","NULL",2,"Landings (CL)","2.1","Overall landings","2.1.7","Landings by metier","","",FALSE,16,1,"b","cum_percent","95","LandingWeight_1000ton","FishingActivityLvl6","NULL","sum",FALSE,TRUE,"list(oma = c(6,1,1,1), mai = c(1,1,.5,.5), ylab_line=4, col=""colour4"")","NULL","2.1.7_1b","2.1.7_1b","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","NULL",2,"Landings (CL)","2.1","Overall landings","2.1.7","Landings by metier","","",FALSE,17,2,"b","cum_percent","95","LandingWeight_1000ton","FishingActivityLvl6","FlagCountry","sum",TRUE,TRUE,"list(oma = c(4,1,1,5), mai = c(1,1,0.7,1), ylab_line=4, col=""colour4"", cex.x=0.9)","list(x=max(bar.coords)+diff(bar.coords)[1]/1.5","2.1.7_2b","2.1.7_2b","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","NULL",2,"Landings (CL)","2.1","Overall landings","2.1.8","Landings by harbour","","",FALSE,18,1,"","main","20","LandingWeight_1000ton","Harbour","NULL","sum",FALSE,TRUE,"list(oma = c(6,1,1,1), mai = c(1,1,.5,.5), ylab_line=4, col=""colour4"")","NULL","2.1.8_1","2.1.8_1","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","NULL",2,"Landings (CL)","2.1","Overall landings","2.1.8","Landings by harbour","","",FALSE,19,2,"","main","20","LandingWeight_1000ton","Harbour","FlagCountry","sum",TRUE,TRUE,"list(oma = c(3,1,1,5), mai = c(1,1,0.7,1), ylab_line=4, col=""colour4"", cex.x=0.9)","list(x=max(bar.coords)+diff(bar.coords)[1]/1.5","2.1.8_2","2.1.8_2","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","NULL",2,"Landings (CL)","2.1","Overall landings","2.1.9","Landings abroad","","",FALSE,20,2,"","NULL","NULL","LandingWeight_1000ton","FlagCountry","LandingCountry","sum",TRUE,TRUE,"list(oma = c(3,1,1,5), mai = c(1,1,0.7,1), ylab_line=4, col=""colour4"", cex.x=0.9)","list(x=max(bar.coords)+diff(bar.coords)[1]/1.5","2.1.9_2","2.1.9_2","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","small pelagic",2,"Landings (CL)","2.2","Small-pelagic landings","2.2.1","Landings by country","Catch_group","small pelagic",FALSE,21,1,"","NULL","NULL","LandingWeight_1000ton","FlagCountry","NULL","sum",FALSE,TRUE,"list(oma = c(6,1,1,1), mai = c(1,1,.5,.5), ylab_line=4, col=""colour4"")","NULL","2.2.1_1","2.2.1_1","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","small pelagic",2,"Landings (CL)","2.2","Small-pelagic landings","2.2.2","Landings by species","Catch_group","small pelagic",FALSE,22,1,"","cum_percent","100","LandingWeight_1000ton","Species","NULL","sum",FALSE,TRUE,"list(oma = c(6,1,1,1), mai = c(1,1,.5,.5), ylab_line=4, col=""colour4"")","NULL","2.2.2_1","2.2.2_1","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","small pelagic",2,"Landings (CL)","2.2","Small-pelagic landings","2.2.2","Landings by species","Catch_group","small pelagic",FALSE,23,2,"","cum_percent","100","LandingWeight_1000ton","Species","FlagCountry","sum",TRUE,TRUE,"list(oma = c(4,1,1,5), mai = c(1,1,0.7,1), ylab_line=4, col=""colour4"", cex.x=0.8)","list(x=max(bar.coords)+diff(bar.coords)[1]/1.5","2.2.2_2","2.2.2_2","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","small pelagic",2,"Landings (CL)","2.2","Small-pelagic landings","2.2.3","Landings by fleet","Catch_group","small pelagic",FALSE,24,1,"","cum_percent","95","LandingWeight_1000ton","FlagCountry_Loa","NULL","sum",FALSE,TRUE,"list(oma = c(6,1,1,1), mai = c(1,1,.5,.5), ylab_line=4, col=""colour4"")","NULL","2.2.3_1","2.2.3_1","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","small pelagic",2,"Landings (CL)","2.2","Small-pelagic landings","2.2.3","Landings by fleet","Catch_group","small pelagic",FALSE,25,2,"a","NULL","NULL","LandingWeight_1000ton","FlagCountry","VesselLengthCategory","sum",TRUE,TRUE,"list(oma = c(3,1,1,5), mai = c(1,1,0.7,1), ylab_line=4, col=""colour4"", cex.x=0.9)","list(x=max(bar.coords)+diff(bar.coords)[1]/1.5","2.2.3_2a","2.2.3_2a","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","small pelagic",2,"Landings (CL)","2.2","Small-pelagic landings","2.2.3","Landings by fleet","Catch_group","small pelagic",FALSE,26,2,"b","NULL","NULL","LandingWeight_1000ton","VesselLengthCategory","FlagCountry","sum",TRUE,TRUE,"list(oma = c(3,1,1,5), mai = c(1,1,0.7,1), ylab_line=4, col=""colour4"", cex.x=0.9)","list(x=max(bar.coords)+diff(bar.coords)[1]/1.5","2.2.3_2b","2.2.3_2b","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","small pelagic",2,"Landings (CL)","2.2","Small-pelagic landings","2.2.4","Landings by area","Catch_group","small pelagic",FALSE,27,1,"","NULL","NULL","LandingWeight_1000ton","Area","NULL","sum",FALSE,TRUE,"list(oma = c(6,1,1,1), mai = c(1,1,.5,.5), ylab_line=4, col=""colour4"")","NULL","2.2.4_1","2.2.4_1","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","small pelagic",2,"Landings (CL)","2.2","Small-pelagic landings","2.2.4","Landings by area","Catch_group","small pelagic",FALSE,28,2,"a","NULL","NULL","LandingWeight_1000ton","Area","FlagCountry","sum",TRUE,TRUE,"list(oma = c(3,1,1,5), mai = c(1,1,0.7,1), ylab_line=4, col=""colour4"", cex.x=0.9)","list(x=max(bar.coords)+diff(bar.coords)[1]/1.5","2.2.4_2a","2.2.4_2a","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","small pelagic",2,"Landings (CL)","2.2","Small-pelagic landings","2.2.4","Landings by area","Catch_group","small pelagic",FALSE,29,2,"b","NULL","NULL","LandingWeight_1000ton","FlagCountry","Area","sum",TRUE,TRUE,"list(oma = c(3,1,1,5), mai = c(1,1,0.7,1), ylab_line=4, col=""colour4"", cex.x=0.9)","list(x=max(bar.coords)+diff(bar.coords)[1]/1.5","2.2.4_2b","2.2.4_2b","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","small pelagic",2,"Landings (CL)","2.2","Small-pelagic landings","2.2.5","Landings by fishing ground","Catch_group","small pelagic",FALSE,30,1,"","NULL","NULL","LandingWeight_1000ton","FishingGround","NULL","sum",FALSE,TRUE,"list(oma = c(3,1,1,1), mai = c(1,1,.7,.5), ylab_line=4, col=""colour4"")","NULL","2.2.5_1","2.2.5_1","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","small pelagic",2,"Landings (CL)","2.2","Small-pelagic landings","2.2.5","Landings by fishing ground","Catch_group","small pelagic",FALSE,31,2,"","NULL","NULL","LandingWeight_1000ton","FishingGround","FlagCountry","sum",TRUE,TRUE,"list(oma = c(3,1,1,5), mai = c(1,1,0.7,1.5), ylab_line=4, col=""colour4"", cex.x=0.9)","list(x=max(bar.coords)+diff(bar.coords)[1]/1.5","2.2.5_2","2.2.5_2","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","small pelagic",2,"Landings (CL)","2.2","Small-pelagic landings","2.2.6","Landings by metier","Catch_group","small pelagic",FALSE,32,1,"a","cum_percent","99","LandingWeight_1000ton","FishingActivityLvl5","NULL","sum",FALSE,TRUE,"list(oma = c(6,1,1,1), mai = c(1,1,.5,.5), ylab_line=4, col=""colour4"")","NULL","2.2.6_1a","2.2.6_1a","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","small pelagic",2,"Landings (CL)","2.2","Small-pelagic landings","2.2.6","Landings by metier","Catch_group","small pelagic",FALSE,33,2,"a","cum_percent","99","LandingWeight_1000ton","FishingActivityLvl5","FlagCountry","sum",TRUE,TRUE,"list(oma = c(3,1,1,5), mai = c(1,1,0.7,1), ylab_line=4, col=""colour4"", cex.x=0.9)","list(x=max(bar.coords)+diff(bar.coords)[1]/1.5","2.2.6_2a","2.2.6_2a","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","small pelagic",2,"Landings (CL)","2.2","Small-pelagic landings","2.2.6","Landings by metier","Catch_group","small pelagic",FALSE,34,1,"b","cum_percent","99","LandingWeight_1000ton","FishingActivityLvl6","NULL","sum",FALSE,TRUE,"list(oma = c(6,1,1,1), mai = c(1,1,.5,.5), ylab_line=4, col=""colour4"")","NULL","2.2.6_1b","2.2.6_1b","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","small pelagic",2,"Landings (CL)","2.2","Small-pelagic landings","2.2.6","Landings by metier","Catch_group","small pelagic",FALSE,35,2,"b","cum_percent","99","LandingWeight_1000ton","FishingActivityLvl6","FlagCountry","sum",TRUE,TRUE,"list(oma = c(4,1,1,5), mai = c(1,1,0.7,1), ylab_line=4, col=""colour4"", cex.x=0.9)","list(x=max(bar.coords)+diff(bar.coords)[1]/1.5","2.2.6_2b","2.2.6_2b","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","small pelagic",2,"Landings (CL)","2.2","Small-pelagic landings","2.2.7","Landings by harbour","Catch_group","small pelagic",FALSE,36,1,"","main","20","LandingWeight_1000ton","Harbour","NULL","sum",FALSE,TRUE,"list(oma = c(6,1,1,1), mai = c(1,1,.5,.5), ylab_line=4, col=""colour4"")","NULL","2.2.7_1","2.2.7_1","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","small pelagic",2,"Landings (CL)","2.2","Small-pelagic landings","2.2.7","Landings by harbour","Catch_group","small pelagic",FALSE,37,2,"","main","20","LandingWeight_1000ton","Harbour","FlagCountry","sum",TRUE,TRUE,"list(oma = c(3,1,1,5), mai = c(1,1,0.7,1), ylab_line=4, col=""colour4"", cex.x=0.9)","list(x=max(bar.coords)+diff(bar.coords)[1]/1.5","2.2.7_2","2.2.7_2","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","small pelagic",2,"Landings (CL)","2.2","Small-pelagic landings","2.2.8","Landings abroad","Catch_group","small pelagic",FALSE,38,2,"","NULL","NULL","LandingWeight_1000ton","FlagCountry","LandingCountry","sum",TRUE,TRUE,"list(oma = c(3,1,1,5), mai = c(1,1,0.7,1), ylab_line=4, col=""colour4"", cex.x=0.9)","list(x=max(bar.coords)+diff(bar.coords)[1]/1.5","2.2.8_2","2.2.8_2","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","demersal",2,"Landings (CL)","2.3","Demersal landings","2.3.1","Landings by country","Catch_group","demersal",FALSE,39,1,"","NULL","NULL","LandingWeight_1000ton","FlagCountry","NULL","sum",FALSE,TRUE,"list(oma = c(6,1,1,1), mai = c(1,1,.5,.5), ylab_line=4, col=""colour4"")","NULL","2.3.1_1","2.3.1_1","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","demersal",2,"Landings (CL)","2.3","Demersal landings","2.3.2","Landings by species","Catch_group","demersal",FALSE,40,1,"","cum_percent","99","LandingWeight_1000ton","Species","NULL","sum",FALSE,TRUE,"list(oma = c(6,1,1,1), mai = c(1,1,.5,.5), ylab_line=4, col=""colour4"")","NULL","2.3.2_1","2.3.2_1","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","demersal",2,"Landings (CL)","2.3","Demersal landings","2.3.2","Landings by species","Catch_group","demersal",FALSE,41,2,"","cum_percent","99","LandingWeight_1000ton","Species","FlagCountry","sum",TRUE,TRUE,"list(oma = c(4,1,1,5), mai = c(1,1,0.7,1), ylab_line=4, col=""colour4"", cex.x=0.8)","list(x=max(bar.coords)+diff(bar.coords)[1]/1.5","2.3.2_2","2.3.2_2","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","demersal",2,"Landings (CL)","2.3","Demersal landings","2.3.3","Landings by fleet","Catch_group","demersal",FALSE,42,1,"","cum_percent","95","LandingWeight_1000ton","FlagCountry_Loa","NULL","sum",FALSE,TRUE,"list(oma = c(6,1,1,1), mai = c(1,1,.5,.5), ylab_line=4, col=""colour4"")","NULL","2.3.3_1","2.3.3_1","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","demersal",2,"Landings (CL)","2.3","Demersal landings","2.3.3","Landings by fleet","Catch_group","demersal",FALSE,43,2,"a","NULL","NULL","LandingWeight_1000ton","FlagCountry","VesselLengthCategory","sum",TRUE,TRUE,"list(oma = c(3,1,1,5), mai = c(1,1,0.7,1), ylab_line=4, col=""colour4"", cex.x=0.9)","list(x=max(bar.coords)+diff(bar.coords)[1]/1.5","2.3.3_2a","2.3.3_2a","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","demersal",2,"Landings (CL)","2.3","Demersal landings","2.3.3","Landings by fleet","Catch_group","demersal",FALSE,44,2,"b","NULL","NULL","LandingWeight_1000ton","VesselLengthCategory","FlagCountry","sum",TRUE,TRUE,"list(oma = c(3,1,1,5), mai = c(1,1,0.7,1), ylab_line=4, col=""colour4"", cex.x=0.9)","list(x=max(bar.coords)+diff(bar.coords)[1]/1.5","2.3.3_2b","2.3.3_2b","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","demersal",2,"Landings (CL)","2.3","Demersal landings","2.3.4","Landings by area","Catch_group","demersal",FALSE,45,1,"","NULL","NULL","LandingWeight_1000ton","Area","NULL","sum",FALSE,TRUE,"list(oma = c(6,1,1,1), mai = c(1,1,.5,.5), ylab_line=4, col=""colour4"")","NULL","2.3.4_1","2.3.4_1","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","demersal",2,"Landings (CL)","2.3","Demersal landings","2.3.4","Landings by area","Catch_group","demersal",FALSE,46,2,"a","NULL","NULL","LandingWeight_1000ton","Area","FlagCountry","sum",TRUE,TRUE,"list(oma = c(3,1,1,5), mai = c(1,1,0.7,1), ylab_line=4, col=""colour4"", cex.x=0.9)","list(x=max(bar.coords)+diff(bar.coords)[1]/1.5","2.3.4_2a","2.3.4_2a","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","demersal",2,"Landings (CL)","2.3","Demersal landings","2.3.4","Landings by area","Catch_group","demersal",FALSE,47,2,"b","NULL","NULL","LandingWeight_1000ton","FlagCountry","Area","sum",TRUE,TRUE,"list(oma = c(3,1,1,5), mai = c(1,1,0.7,1), ylab_line=4, col=""colour4"", cex.x=0.9)","list(x=max(bar.coords)+diff(bar.coords)[1]/1.5","2.3.4_2b","2.3.4_2b","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","demersal",2,"Landings (CL)","2.3","Demersal landings","2.3.5","Landings by fishing ground","Catch_group","demersal",FALSE,48,1,"","NULL","NULL","LandingWeight_1000ton","FishingGround","NULL","sum",FALSE,TRUE,"list(oma = c(6,1,1,1), mai = c(1,1,.5,.5), ylab_line=4, col=""colour4"")","NULL","2.3.5_1","2.3.5_1","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","demersal",2,"Landings (CL)","2.3","Demersal landings","2.3.5","Landings by fishing ground","Catch_group","demersal",FALSE,49,2,"","NULL","NULL","LandingWeight_1000ton","FishingGround","FlagCountry","sum",TRUE,TRUE,"list(oma = c(3,1,1,5), mai = c(1,1,0.7,1.5), ylab_line=4, col=""colour4"", cex.x=0.9)","list(x=max(bar.coords)+diff(bar.coords)[1]/1.5","2.3.5_2","2.3.5_2","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","demersal",2,"Landings (CL)","2.3","Demersal landings","2.3.6","Landings by metier","Catch_group","demersal",FALSE,50,1,"a","cum_percent","95","LandingWeight_1000ton","FishingActivityLvl5","NULL","sum",FALSE,TRUE,"list(oma = c(6,1,1,1), mai = c(1,1,.5,.5), ylab_line=4, col=""colour4"")","NULL","2.3.6_1a","2.3.6_1a","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","demersal",2,"Landings (CL)","2.3","Demersal landings","2.3.6","Landings by metier","Catch_group","demersal",FALSE,51,2,"a","cum_percent","95","LandingWeight_1000ton","FishingActivityLvl5","FlagCountry","sum",TRUE,TRUE,"list(oma = c(3,1,1,5), mai = c(1,1,0.7,1), ylab_line=4, col=""colour4"", cex.x=0.9)","list(x=max(bar.coords)+diff(bar.coords)[1]/1.5","2.3.6_2a","2.3.6_2a","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","demersal",2,"Landings (CL)","2.3","Demersal landings","2.3.6","Landings by metier","Catch_group","demersal",FALSE,52,1,"b","cum_percent","95","LandingWeight_1000ton","FishingActivityLvl6","NULL","sum",FALSE,TRUE,"list(oma = c(6,1,1,1), mai = c(1,1,.5,.5), ylab_line=4, col=""colour4"")","NULL","2.3.6_1b","2.3.6_1b","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","demersal",2,"Landings (CL)","2.3","Demersal landings","2.3.6","Landings by metier","Catch_group","demersal",FALSE,53,2,"b","cum_percent","95","LandingWeight_1000ton","FishingActivityLvl6","FlagCountry","sum",TRUE,TRUE,"list(oma = c(4,1,1,5), mai = c(1,1,0.7,1), ylab_line=4, col=""colour4"", cex.x=0.9)","list(x=max(bar.coords)+diff(bar.coords)[1]/1.5","2.3.6_2b","2.3.6_2b","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","demersal",2,"Landings (CL)","2.3","Demersal landings","2.3.7","Landings by harbour","Catch_group","demersal",FALSE,54,1,"","main","20","LandingWeight_1000ton","Harbour","NULL","sum",FALSE,TRUE,"list(oma = c(6,1,1,1), mai = c(1,1,.5,.5), ylab_line=4, col=""colour4"")","NULL","2.3.7_1","2.3.7_1","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","demersal",2,"Landings (CL)","2.3","Demersal landings","2.3.7","Landings by harbour","Catch_group","demersal",FALSE,55,2,"","main","20","LandingWeight_1000ton","Harbour","FlagCountry","sum",TRUE,TRUE,"list(oma = c(3,1,1,5), mai = c(1,1,0.7,1), ylab_line=4, col=""colour4"", cex.x=0.9)","list(x=max(bar.coords)+diff(bar.coords)[1]/1.5","2.3.7_2","2.3.7_2","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
"CL","demersal",2,"Landings (CL)","2.3","Demersal landings","2.3.8","Landings abroad","Catch_group","demersal",FALSE,56,2,"","NULL","NULL","LandingWeight_1000ton","FlagCountry","LandingCountry","sum",TRUE,TRUE,"list(oma = c(3,1,1,5), mai = c(1,1,0.7,1), ylab_line=4, col=""colour4"", cex.x=0.9)","list(x=max(bar.coords)+diff(bar.coords)[1]/1.5","2.3.8_2","2.3.8_2","outputs\RCG_NA\Annual_Overview\figures","outputs\RCG_NA\Annual_Overview\tables"
