"TAXOCODE";"X3A_CODE";"Scientific_name";"AphiaID";"Match.type";"ScientificName";"AphiaID_accepted";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Subgenus";"Species";"Subspecies";"WoRMSname";"English_name";"ISSCAAP"
"61934XXXXX";"BWV";"Paragorgiidae";"125281";"exact";"Paragorgiidae";"125281";"Animalia";"Cnidaria";"Anthozoa";"Alcyonacea";"Paragorgiidae";"";"";"";NA;"Paragorgiidae";"";82
"61936XXXXX";"QFY";"Chrysogorgiidae";"125273";"exact";"Chrysogorgiidae";"125273";"Animalia";"Cnidaria";"Anthozoa";"Alcyonacea";"Chrysogorgiidae";"";"";"";NA;"Chrysogorgiidae";"";82
"61919001XX";"QFX";"Lepidisis spp";"125307";"exact";"Lepidisis";"125307";"Animalia";"Cnidaria";"Anthozoa";"Alcyonacea";"Isididae";"Lepidisis";"";"";NA;"Lepidisis";"";82
"69202002XX";"QCX";"Gorgonocephalus spp";"123586";"exact";"Gorgonocephalus";"123586";"Animalia";"Echinodermata";"Ophiuroidea";"Euryalida";"Gorgonocephalidae";"Gorgonocephalus";"";"";NA;"Gorgonocephalus";"Gorgons head basket-stars nei";76
"69113001XX";"ZOR";"Zoroaster spp";"123237";"exact";"Zoroaster";"123237";"Animalia";"Echinodermata";"Asteroidea";"Forcipulatida";"Zoroasteridae";"Zoroaster";"";"";NA;"Zoroaster";"Rat-tail stars nei";76
"69109XXXXX";"BHZ";"Brisingidae";"123119";"exact";"Brisingidae";"123119";"Animalia";"Echinodermata";"Asteroidea";"Brisingida";"Brisingidae";"";"";"";NA;"Brisingidae";"Armless stars";76
"14122090XX";"UPY";"Pseudoplatystoma spp";"270611";"exact";"Pseudoplatystoma";"270611";"Animalia";"Chordata";"Actinopterygii";"Siluriformes";"Pimelodidae";"Pseudoplatystoma";"";"";NA;"Pseudoplatystoma";"Sorubims nei";13
"65501001XX";"QDX";"Colossendeis spp";"134586";"exact";"Colossendeis";"134586";"Animalia";"Arthropoda";"Pycnogonida";"Pantopoda";"Colossendeidae";"Colossendeis";"";"";NA;"Colossendeis";"Giant sea spiders nei";75
"61946XXXXX";"KKV";"Actinostolidae";"100655";"exact";"Actinostolidae";"100655";"Animalia";"Cnidaria";"Anthozoa";"Actiniaria";"Actinostolidae";"";"";"";NA;"Actinostolidae";"";82
"61909XXXXX";"KKW";"Hormathiidae";"100672";"exact";"Hormathiidae";"100672";"Animalia";"Cnidaria";"Anthozoa";"Actiniaria";"Hormathiidae";"";"";"";NA;"Hormathiidae";"";82
"61402001XX";"GVX";"Acanthascus spp";"171966";"exact";"Acanthascus";"171966";"Animalia";"Porifera";"Hexactinellida";"Lyssacinosida";"Rossellidae";"Acanthascus";"";"";NA;"Acanthascus";"";83
"23019004XX";"UWX";"Uroptychus spp";"106833";"exact";"Uroptychus";"106833";"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Chirostylidae";"Uroptychus";"";"";NA;"Uroptychus";"";44
