SpecWormsCode;SpecWormsScientificName;WormsCodeType;SpecFAOCode;SpecFAOScientificName;FAOCodeType
126459;Molva dypterygia;SpecWoRMS;BLI;Molva dypterygia;SpecASFIS
126461;Molva molva;SpecWoRMS;LIN;Molva molva;SpecASFIS
126484;Merluccius merluccius;SpecWoRMS;HKE;Merluccius merluccius;SpecASFIS
126501;Phycis blennoides;SpecWoRMS;GFB;Phycis blennoides;SpecASFIS
126554;Lophius budegassa;SpecWoRMS;ANK;Lophius budegassa;SpecASFIS
126555;Lophius piscatorius;SpecWoRMS;MON;Lophius piscatorius;SpecASFIS
126715;Argentina silus;SpecWoRMS;ARU;Argentina silus;SpecASFIS
126735;Mallotus villosus;SpecWoRMS;CAP;Mallotus villosus;SpecASFIS
126821;Trachurus picturatus;SpecWoRMS;JAA;Trachurus picturatus;SpecASFIS
126822;Trachurus trachurus;SpecWoRMS;HOM;Trachurus trachurus;SpecASFIS
126975;Dicentrarchus labrax;SpecWoRMS;BSS;Dicentrarchus labrax;SpecASFIS
126986;Mullus surmuletus;SpecWoRMS;MUR;Mullus surmuletus;SpecASFIS
127023;Scomber scombrus;SpecWoRMS;MAC;Scomber scombrus;SpecASFIS
127059;Pagellus bogaraveo;SpecWoRMS;SBR;Pagellus bogaraveo;SpecASFIS
127085;Aphanopus carbo;SpecWoRMS;BSF;Aphanopus carbo;SpecASFIS
127136;Glyptocephalus cynoglossus;SpecWoRMS;WIT;Glyptocephalus cynoglossus;SpecASFIS
127139;Limanda limanda;SpecWoRMS;DAB;Limanda limanda;SpecASFIS
127140;Microstomus kitt;SpecWoRMS;LEM;Microstomus kitt ;SpecASFIS
127141;Platichthys flesus;SpecWoRMS;FLE;Platichthys flesus;SpecASFIS
127143;Pleuronectes platessa;SpecWoRMS;PLE;Pleuronectes platessa;SpecASFIS
127144;Reinhardtius hippoglossoides;SpecWoRMS;GHL;Reinhardtius hippoglossoides;SpecASFIS
127145;Lepidorhombus boscii;SpecWoRMS;LDB;Lepidorhombus boscii;SpecASFIS
127146;Lepidorhombus whiffiagonis;SpecWoRMS;MEG;Lepidorhombus whiffiagonis;SpecASFIS
127150;Scophthalmus rhombus;SpecWoRMS;BLL;Scophthalmus rhombus;SpecASFIS
127149;Scophthalmus maximus;SpecWoRMS;TUR;Scophthalmus maximus;SpecASFIS
127160;Solea solea;SpecWoRMS;SOL;Solea solea;SpecASFIS
127186;Salmo salar;SpecWoRMS;SAL;Salmo salar;SpecASFIS
127187;Salmo trutta;SpecWoRMS;TRS;Salmo trutta;SpecASFIS
127254;Sebastes mentella;SpecWoRMS;REB;Sebastes mentella;SpecASFIS
127259;Chelidonichthys cuculus;SpecWoRMS;GUR;Aspitrigla cuculus;SpecASFIS
127419;Capros aper;SpecWoRMS;BOC;Capros aper;SpecASFIS
150637;Eutrigla gurnardus;SpecWoRMS;GUG;Eutrigla gurnardus;SpecASFIS
158960;Coryphaenoides rupestris;SpecWoRMS;RNG;Coryphaenoides rupestris;SpecASFIS
274878;Chelidonichthys spinosus;SpecWoRMS;CZS;Chelidonichthys spinosus;SpecASFIS
367297;Raja brachyura;SpecWoRMS;RJH;Raja brachyura;SpecASFIS
127190;Agonus cataphractus;SpecWoRMS;AFT;Agonus cataphractus;SpecASFIS
126751;Ammodytes marinus;SpecWoRMS;QLH;Ammodytes marinus;SpecASFIS
126752;Ammodytes tobianus;SpecWoRMS;ABZ;Ammodytes tobianus;SpecASFIS
126758;Anarhichas lupus;SpecWoRMS;CAA;Anarhichas lupus;SpecASFIS
126868;Aphia minuta;SpecWoRMS;FIM;Aphia minuta;SpecASFIS
126716;Argentina sphyraena;SpecWoRMS;ARY;Argentina sphyraena;SpecASFIS
274967;Argyropelecus olfersii;SpecWoRMS;QGF;Argyropelecus olfersii;SpecASFIS
127126;Arnoglossus laterna;SpecWoRMS;MSF;Arnoglossus laterna;SpecASFIS
126375;Belone belone;SpecWoRMS;GAR;Belone belone;SpecASFIS
127153;Buglossidium luteum;SpecWoRMS;GSM;Buglossidium luteum;SpecASFIS
126792;Callionymus lyra;SpecWoRMS;LYY;Callionymus lyra;SpecASFIS
126793;Callionymus maculatus;SpecWoRMS;YHC;Callionymus maculatus;SpecASFIS
126961;Centrolabrus exoletus;SpecWoRMS;ENX;Centrolabrus exoletus;SpecASFIS
126977;Chelon labrosus;SpecWoRMS;MLR;Chelon labrosus;SpecASFIS
126448;Ciliata mustela;SpecWoRMS;LCM;Ciliata mustela;SpecASFIS
125464;Clupeidae;SpecWoRMS;CLP;Clupeidae;SpecASFIS
127178;Coregonus albula;SpecWoRMS;FVE;Coregonus albula;SpecASFIS
127180;Coregonus lavaretus;SpecWoRMS;PLN;Coregonus lavaretus;SpecASFIS
127196;Cottus gobio;SpecWoRMS;GWO;Cottus gobio;SpecASFIS
126964;Ctenolabrus rupestris;SpecWoRMS;TBR;Ctenolabrus rupestris;SpecASFIS
127214;Cyclopterus lumpus;SpecWoRMS;LUM;Cyclopterus lumpus;SpecASFIS
126450;Enchelyopus cimbrius;SpecWoRMS;ENC;Enchelyopus cimbrius;SpecASFIS
127379;Entelurus aequoreus;SpecWoRMS;ENQ;Entelurus aequoreus;SpecASFIS
154210;Esox lucius;SpecWoRMS;FPI;Esox lucius;SpecASFIS
126505;Gasterosteus aculeatus;SpecWoRMS;GTA;Gasterosteus aculeatus;SpecASFIS
125537;Gobiidae;SpecWoRMS;FGX;Gobiidae;SpecASFIS
126892;Gobius niger;SpecWoRMS;GBN;Gobius niger;SpecASFIS
127137;Hippoglossoides platessoides;SpecWoRMS;PLA;Hippoglossoides platessoides;SpecASFIS
127138;Hippoglossus hippoglossus;SpecWoRMS;HAL;Hippoglossus hippoglossus;SpecASFIS
126756;Hyperoplus lanceolatus;SpecWoRMS;YEZ;Hyperoplus lanceolatus;SpecASFIS
126965;Labrus bergylta;SpecWoRMS;USB;Labrus bergylta;SpecASFIS
101172;Lampetra fluviatilis;SpecWoRMS;LAR;Lampetra fluviatilis;SpecASFIS
127072;Leptoclinus maculatus;SpecWoRMS;QKM;Leptoclinus maculatus;SpecASFIS
127219;Liparis liparis;SpecWoRMS;LIL;Liparis liparis;SpecASFIS
154388;Lota lota;SpecWoRMS;FBU;Lota lota;SpecASFIS
154675;Lumpenus lampretaeformis;SpecWoRMS;FML;Lumpenus lampretaeformis;SpecASFIS
127118;Lycodes vahlii;SpecWoRMS;JXO;Lycodes vahlii;SpecASFIS
127312;Maurolicus muelleri;SpecWoRMS;MAV;Maurolicus muelleri;SpecASFIS
126985;Mullus barbatus;SpecWoRMS;MUT;Mullus barbatus;SpecASFIS
105821;Mustelus asterias;SpecWoRMS;SDS;Mustelus asterias;SpecASFIS
254529;Myoxocephalus quadricornis;SpecWoRMS;TGQ;Myoxocephalus quadricornis;SpecASFIS
127203;Myoxocephalus scorpius;SpecWoRMS;MXV;Myoxocephalus scorpius;SpecASFIS
101170;Myxine glutinosa;SpecWoRMS;MYG;Myxine glutinosa;SpecASFIS
127385;Nerophis ophidion;SpecWoRMS;NRO;Nerophis ophidion;SpecASFIS
126736;Osmerus eperlanus;SpecWoRMS;SME;Osmerus eperlanus;SpecASFIS
151353;Perca fluviatilis;SpecWoRMS;FPE;Perca fluviatilis;SpecASFIS
101174;Petromyzon marinus;SpecWoRMS;LAU;Petromyzon marinus;SpecASFIS
126996;Pholis gunnellus;SpecWoRMS;FGN;Pholis gunnellus;SpecASFIS
125999;Pomatoschistus;SpecWoRMS;QXS;Pomatoschistus;SpecASFIS
126927;Pomatoschistus microps;SpecWoRMS;OBD;Pomatoschistus microps;SpecASFIS
126928;Pomatoschistus minutus;SpecWoRMS;OBZ;Pomatoschistus minutus;SpecASFIS
126930;Pomatoschistus pictus;SpecWoRMS;QMP;Pomatoschistus pictus;SpecASFIS
126507;Pungitius pungitius;SpecWoRMS;GPT;Pungitius pungitius;SpecASFIS
126508;Spinachia spinachia;SpecWoRMS;GSS;Spinachia spinachia;SpecASFIS
151308;Sander lucioperca;SpecWoRMS;FPP;Sander lucioperca;SpecASFIS
125581;Soleidae;SpecWoRMS;SOX;Soleidae;SpecASFIS
273571;Symphodus melops;SpecWoRMS;YFM;Symphodus melops;SpecASFIS
127387;Syngnathus acus;SpecWoRMS;SGQ;Syngnathus acus;SpecASFIS
127389;Syngnathus rostellatus;SpecWoRMS;SFR;Syngnathus rostellatus;SpecASFIS
127393;Syngnathus typhle;SpecWoRMS;STQ;Syngnathus typhle;SpecASFIS
127082;Trachinus draco;SpecWoRMS;WEG;Trachinus draco;SpecASFIS
127262;Chelidonichthys lucerna;SpecWoRMS;GUU;Chelidonichthys lucerna;SpecASFIS
126445;Trisopterus luscus;SpecWoRMS;BIB;Trisopterus luscus;SpecASFIS
126446;Trisopterus minutus;SpecWoRMS;POD;Trisopterus minutus;SpecASFIS
126503;Urophycis chuss;SpecWoRMS;HKR;Urophycis chuss;SpecASFIS
127427;Zeus faber;SpecWoRMS;JOD;Zeus faber;SpecASFIS
159267;Zoarces americanus;SpecWoRMS;OPT;Zoarces americanus;SpecASFIS
127123;Zoarces viviparus;SpecWoRMS;ELP;Zoarces viviparus;SpecASFIS
126916;Neogobius melanostomus;SpecWoRMS;NBU;Neogobius melanostomus;SpecASFIS
126458;Gaidropsarus vulgaris;SpecWoRMS;GGU;Gaidropsarus vulgaris;SpecASFIS
126755;Hyperoplus immaculatus;SpecWoRMS;YEI;Hyperoplus immaculatus;SpecASFIS
126525;Regalecus glesne;SpecWoRMS;REL;Regalecus glesne;SpecASFIS
125589;Cottidae;SpecWoRMS;SWU;Cottidae;SpecASFIS
272030;Atherina presbyter;SpecWoRMS;ATP;Atherina presbyter;SpecASFIS
107276;Cancer pagurus;SpecWoRMS;CRE;Cancer pagurus;SpecASFIS
151302;Gymnocephalus cernuus;SpecWoRMS;ACC;Gymnocephalus cernuus;SpecASFIS
126957;Acantholabrus palloni;SpecWoRMS;AKL;Acantholabrus palloni;SpecASFIS
127204;Taurulus bubalis;SpecWoRMS;XTA;Taurulus bubalis;SpecASFIS
126285;Conger conger;SpecWoRMS;COE;Conger conger;SpecASFIS
105871;Dipturus nidarosiensis;SpecWoRMS;JAD;Dipturus nidarosiensis ;SpecASFIS
105833;Hexanchus griseus;SpecWoRMS;SBL;Hexanchus griseus;SpecASFIS
126527;Trachipterus arcticus;SpecWoRMS;TPA;Trachipterus arcticus;SpecASFIS
127124;Arnoglossus imperialis;SpecWoRMS;RLI;Arnoglossus imperialis;SpecASFIS
126761;Blennius ocellaris;SpecWoRMS;NUO;Blennius ocellaris;SpecASFIS
398381;Coelorinchus caelorhincus;SpecWoRMS;CQL;Coelorinchus caelorhincus;SpecASFIS
126835;Cepola macrophthalma;SpecWoRMS;CBC;Cepola macrophthalma;SpecASFIS
105824;Chimaera monstrosa;SpecWoRMS;CMO;Chimaera monstrosa;SpecASFIS
126663;Echiodon drummondii;SpecWoRMS;UJQ;Echiodon drummondii;SpecASFIS
126435;Gadiculus argenteus;SpecWoRMS;GDG;Gadiculus argenteus;SpecASFIS
105812;Galeus melastomus;SpecWoRMS;SHO;Galeus melastomus;SpecASFIS
127251;Helicolenus dactylopterus;SpecWoRMS;BRF;Helicolenus dactylopterus;SpecASFIS
126493;Lepidion eques;SpecWoRMS;LPS;Lepidion eques;SpecASFIS
272392;Malacocephalus laevis;SpecWoRMS;MLL;Malacocephalus laevis;SpecASFIS
274304;Microchirus variegatus;SpecWoRMS;MKG;Microchirus variegatus;SpecASFIS
105822;Mustelus mustelus;SpecWoRMS;SMD;Mustelus mustelus;SpecASFIS
125498;Myctophidae;SpecWoRMS;LXX;Myctophidae;SpecASFIS
127156;Pegusa lascaris;SpecWoRMS;SOS;Solea lascaris;SpecASFIS
126442;Raniceps raninus;SpecWoRMS;RCR;Raniceps raninus;SpecASFIS
105815;Scyliorhinus stellaris;SpecWoRMS;SYT;Scyliorhinus stellaris;SpecASFIS
150630;Echiichthys vipera ;SpecWoRMS;TOZ;Echiichthys vipera;SpecASFIS
127147;Phrynorhombus norvegicus;SpecWoRMS;FRN;Phrynorhombus norvegicus;SpecASFIS
125516;Ammodytidae;SpecWoRMS;XOX;Ammodytidae;SpecASFIS
125522;Callionymidae;SpecWoRMS;YVX;Callionymidae;SpecASFIS
127220;Liparis montagui;SpecWoRMS;LIM;Liparis montagui;SpecASFIS
127255;Sebastes viviparus;SpecWoRMS;SFV;Sebastes viviparus;SpecASFIS
126858;Epigonus telescopus;SpecWoRMS;EPI;Epigonus telescopus;SpecASFIS
138139;Loligo;SpecWoRMS;SQC;Loligo spp;SpecASFIS
127201;Micrenophrys lilljeborgii;SpecWoRMS;MIJ;Micrenophrys lilljeborgii;SpecASFIS
127205;Triglops murrayi;SpecWoRMS;TGM;Triglops murrayi;SpecASFIS
105740;Alopias;SpecWoRMS;THR;Alopias spp;SpecASFIS
126394;Beryx decadactylus;SpecWoRMS;BXD;Beryx decadactylus;SpecASFIS
126395;Beryx splendens;SpecWoRMS;BYS;Beryx splendens;SpecASFIS
125802;Lophius;SpecWoRMS;MNZ;Lophius spp;SpecASFIS
126472;Macrourus berglax;SpecWoRMS;RHG;Macrourus berglax;SpecASFIS
107044;Pandalus;SpecWoRMS;PAN;Pandalus spp;SpecASFIS
105729;Scyliorhinus;SpecWoRMS;SCL;Scyliorhinus spp;SpecASFIS
126175;Sebastes;SpecWoRMS;RED;Sebastes spp;SpecASFIS
151324;Sebastes norvegicus;SpecWoRMS;REG;Sebastes marinus;SpecASFIS
125613;Caproidae;SpecWoRMS;BOR;Caproidae;SpecASFIS
105896;Rostroraja alba;SpecWoRMS;RJA;Raja alba;SpecASFIS
213;Pectinidae;SpecWoRMS;SCX;Pectinidae;SpecASFIS
140687;Aequipecten opercularis;SpecWoRMS;QSC;Aequipecten opercularis;SpecASFIS
105732;Mustelus;SpecWoRMS;SDV;Mustelus spp;SpecASFIS
126482;Trachyrincus scabrus;SpecWoRMS;TSU;Trachyrincus scabrus;SpecASFIS
125493;Lophiidae;SpecWoRMS;ANF;Lophiidae;SpecASFIS
137130;Cepphus grylle;SpecWoRMS;HBO;Cepphus grylle;SpecASFIS
137128;Alca torda;SpecWoRMS;HBW;Alca torda;SpecASFIS
137178;Phalacrocorax aristotelis;SpecWoRMS;ISW;Phalacrocorax aristotelis;SpecASFIS
137162;Sterna hirundo;SpecWoRMS;TVA;Sterna hirundo;SpecASFIS
137133;Uria aalge;SpecWoRMS;UQT;Uria aalge;SpecASFIS
137160;Sterna dougallii;SpecWoRMS;DYR;Sterna dougallii;SpecASFIS
137142;Larus fuscus;SpecWoRMS;LOW;Larus fuscus;SpecASFIS
137165;Sterna paradisaea;SpecWoRMS;TVF;Sterna paradisaea;SpecASFIS
137195;Fulmarus glacialis;SpecWoRMS;FNO;Fulmarus glacialis;SpecASFIS
137179;Phalacrocorax carbo;SpecWoRMS;ISY;Phalacrocorax carbo;SpecASFIS
137156;Rissa tridactyla;SpecWoRMS;QDV;Rissa tridactyla;SpecASFIS
137131;Fratercula arctica;SpecWoRMS;FPA;Fratercula arctica;SpecASFIS
137147;Larus melanocephalus;SpecWoRMS;DTY;Larus melanocephalus;SpecASFIS
137138;Larus argentatus;SpecWoRMS;LHZ;Larus argentatus;SpecASFIS
137174;Stercorarius skua;SpecWoRMS;TFH;Stercorarius skua;SpecASFIS
137166;Sterna sandvicensis;SpecWoRMS;DYQ;Sterna sandvicensis;SpecASFIS
567480;Sternula albifrons;SpecWoRMS;FBP;Sternula albifrons;SpecASFIS
137146;Larus marinus;SpecWoRMS;LVU;Larus marinus;SpecASFIS
148776;Morus bassanus;SpecWoRMS;MVB;Morus bassanus;SpecASFIS
137141;Larus canus;SpecWoRMS;LCW;Larus canus;SpecASFIS
137172;Stercorarius parasiticus;SpecWoRMS;TBW;Stercorarius parasiticus;SpecASFIS
232052;Larus michahellis;SpecWoRMS;DKH;Larus michahellis;SpecASFIS
137188;Gavia stellata;SpecWoRMS;BWF;Gavia stellata;SpecASFIS
137186;Gavia arctica;SpecWoRMS;BWC;Gavia arctica;SpecASFIS
137187;Gavia immer;SpecWoRMS;BWE;Gavia immer;SpecASFIS
137182;Podiceps cristatus;SpecWoRMS;HHZ;Podiceps cristatus;SpecASFIS
137183;Podiceps grisegena;SpecWoRMS;HVE;Podiceps grisegena;SpecASFIS
137181;Podiceps auritus;SpecWoRMS;HFZ;Podiceps auritus;SpecASFIS
137202;Puffinus griseus;SpecWoRMS;PFG;Puffinus griseus;SpecASFIS
137203;Puffinus puffinus;SpecWoRMS;UIP;Puffinus puffinus;SpecASFIS
445503;Puffinus mauretanicus ;SpecWoRMS;UIM;Puffinus mauretanicus;SpecASFIS
137194;Calonectris diomedea;SpecWoRMS;CDI;Calonectris diomedea;SpecASFIS
137189;Hydrobates pelagicus;SpecWoRMS;DAZ;Hydrobates pelagicus;SpecASFIS
137192;Oceanodroma leucorhoa;SpecWoRMS;DBK;Oceanodroma leucorhoa;SpecASFIS
159090;Cygnus olor;SpecWoRMS;WOT;Cygnus olor;SpecASFIS
159089;Cygnus cygnus;SpecWoRMS;WOS;Cygnus cygnus;SpecASFIS
159176;Branta canadensis;SpecWoRMS;BQV;Branta canadensis;SpecASFIS
159177;Branta leucopsis;SpecWoRMS;BQZ;Branta leucopsis;SpecASFIS
159175;Branta bernicla;SpecWoRMS;BPZ;Branta bernicla;SpecASFIS
232042;Tadorna tadorna;SpecWoRMS;SJD;Tadorna tadorna;SpecASFIS
159168;Anas penelope;SpecWoRMS;TZE;Anas penelope;SpecASFIS
158943;Anas crecca;SpecWoRMS;TZC;Anas crecca;SpecASFIS
148791;Anas platyrhynchos;SpecWoRMS;TZF;Anas platyrhynchos;SpecASFIS
159164;Aythya fuligula;SpecWoRMS;DKI;Aythya fuligula;SpecASFIS
159172;Aythya marila;SpecWoRMS;DKJ;Aythya marila;SpecASFIS
137074;Somateria mollissima;SpecWoRMS;EGF;Somateria mollissima;SpecASFIS
137071;Clangula hyemalis;SpecWoRMS;GCZ;Clangula hyemalis;SpecASFIS
137073;Melanitta nigra;SpecWoRMS;WOY;Melanitta nigra;SpecASFIS
137072;Melanitta fusca;SpecWoRMS;WOW;Melanitta fusca;SpecASFIS
159197;Bucephala clangula;SpecWoRMS;GCG;Bucephala clangula;SpecASFIS
159097;Mergus merganser;SpecWoRMS;GWA;Mergus merganser;SpecASFIS
159098;Mergus serrator;SpecWoRMS;GWC;Mergus serrator;SpecASFIS
232039;Mergellus albellus;SpecWoRMS;FAO;Mergellus albellus;SpecASFIS
137171;Stercorarius longicaudus;SpecWoRMS;FBF;Stercorarius longicaudus;SpecASFIS
137173;Stercorarius pomarinus;SpecWoRMS;FSL;Stercorarius pomarinus;SpecASFIS
137137;Chlidonias niger;SpecWoRMS;FBS;Chlidonias niger;SpecASFIS
137129;Alle alle;SpecWoRMS;HBH;Alle alle;SpecASFIS
137075;Somateria spectabilis;SpecWoRMS;EGJ;Somateria spectabilis;SpecASFIS
232041;Polysticta stelleri;SpecWoRMS;WYC;Polysticta stelleri;SpecASFIS
137145;Larus hyperboreus;SpecWoRMS;LVY;Larus hyperboreus;SpecASFIS
137154;Pagophila eburnea;SpecWoRMS;QDT;Pagophila eburnea;SpecASFIS
567449;Hydrocoloeus minutus;SpecWoRMS;DTZ;Hydrocoloeus minutus;SpecASFIS
137134;Uria lomvia;SpecWoRMS;UQU;Uria lomvia;SpecASFIS
126347;Ahliesaurus berryi;SpecWoRMS;AIY;Ahliesaurus berryi;SpecASFIS
138138;Alloteuthis;SpecWoRMS;OUW;Alloteuthis spp;SpecASFIS
153134;Alloteuthis media;SpecWoRMS;OUM;Alloteuthis media;SpecASFIS
105836;Alopias vulpinus;SpecWoRMS;ALV;Alopias vulpinus;SpecASFIS
126413;Alosa alosa;SpecWoRMS;ASD;Alosa alosa;SpecASFIS
1135;Amphipoda;SpecWoRMS;AQM;Amphipoda;SpecASFIS
123776;Asterias rubens;SpecWoRMS;STH;Asterias rubens;SpecASFIS
154721;Balistes capriscus;SpecWoRMS;TRG;Balistes carolinensis;SpecASFIS
127047;Boops boops;SpecWoRMS;BOG;Boops boops;SpecASFIS
107275;Cancer bellianus;SpecWoRMS;KCB;Cancer bellianus;SpecASFIS
127263;Chelidonichthys obscurus;SpecWoRMS;GUM;Chelidonichthys obscurus;SpecASFIS
1267;Cnidaria;SpecWoRMS;CNI;Cnidaria;SpecASFIS
106782;Crangonidae;SpecWoRMS;CRN;Crangonidae;SpecASFIS
126878;Crystallogobius linearis;SpecWoRMS;YTN;Crystallogobius linearis;SpecASFIS
105851;Dasyatis pastinaca;SpecWoRMS;JDP;Dasyatis pastinaca;SpecASFIS
127154;Dicologlossa cuneata;SpecWoRMS;CET;Dicologlossa cuneata;SpecASFIS
127051;Diplodus cervinus;SpecWoRMS;SBZ;Diplodus cervinus;SpecASFIS
127053;Diplodus sargus;SpecWoRMS;SWA;Diplodus sargus;SpecASFIS
140600;Eledone cirrhosa;SpecWoRMS;EOI;Eledone cirrhosa;SpecASFIS
1128;Euphausiacea;SpecWoRMS;DVE;Euphausiacea;SpecASFIS
126893;Gobius paganellus;SpecWoRMS;GON;Gobius paganellus;SpecASFIS
126754;Gymnammodytes semisquamatus;SpecWoRMS;ZGS;Gymnammodytes semisquamatus;SpecASFIS
140621;Illex coindetii;SpecWoRMS;SQM;Illex coindetii;SpecASFIS
127018;Katsuwonus pelamis;SpecWoRMS;SKJ;Katsuwonus pelamis;SpecASFIS
126355;Lestidiops sphyrenoides;SpecWoRMS;MZD;Lestidiops sphyrenoides;SpecASFIS
1044127;Chelon auratus;SpecWoRMS;MGA;Liza aurata;SpecASFIS
140270;Loligo forbesii;SpecWoRMS;SQF;Loligo forbesii;SpecASFIS
140271;Loligo vulgaris;SpecWoRMS;SQR;Loligo vulgaris;SpecASFIS
107350;Maja squinado;SpecWoRMS;SCR;Maja squinado;SpecASFIS
127405;Mola mola;SpecWoRMS;MOX;Mola mola;SpecASFIS
126983;Mugil cephalus;SpecWoRMS;MUF;Mugil cephalus;SpecASFIS
125546;Mugilidae;SpecWoRMS;MUL;Mugilidae;SpecASFIS
105860;Myliobatis aquila;SpecWoRMS;MYL;Myliobatis aquila;SpecASFIS
106669;Dendrobranchiata;SpecWoRMS;CRU;Crustacea;SpecASFIS
272728;Notoscopelus kroyeri;SpecWoRMS;OWK;Notoscopelus kroyeri;SpecASFIS
127056;Oblada melanura;SpecWoRMS;SBS;Oblada melanura;SpecASFIS
140605;Octopus vulgaris;SpecWoRMS;OCC;Octopus vulgaris;SpecASFIS
11760;Ommastrephidae;SpecWoRMS;OMZ;Ommastrephidae;SpecASFIS
127057;Pagellus acarne;SpecWoRMS;SBA;Pagellus acarne;SpecASFIS
127060;Pagellus erythrinus;SpecWoRMS;PAC;Pagellus erythrinus;SpecASFIS
127063;Pagrus pagrus;SpecWoRMS;RPG;Pagrus pagrus;SpecASFIS
107703;Palinurus elephas;SpecWoRMS;SLO;Palinurus elephas;SpecASFIS
106789;Pandalidae;SpecWoRMS;PDZ;Pandalidae;SpecASFIS
127369;Photonectes dinema;SpecWoRMS;QBM;Photonectes dinema;SpecASFIS
125773;Phycis;SpecWoRMS;FOX;Phycis;SpecASFIS
126502;Phycis phycis;SpecWoRMS;FOR;Phycis phycis;SpecASFIS
125587;Salmonidae;SpecWoRMS;SLZ;Salmonidae;SpecASFIS
137217;Salpidae;SpecWoRMS;SPX;Salpidae;SpecASFIS
127021;Sarda sarda;SpecWoRMS;BON;Sarda sarda;SpecASFIS
127064;Sarpa salpa;SpecWoRMS;SLM;Sarpa salpa;SpecASFIS
126392;Scomberesox saurus;SpecWoRMS;SAU;Scomberesox saurus;SpecASFIS
127022;Scomber japonicus;SpecWoRMS;MAS;Scomber japonicus;SpecASFIS
135220;Scyphozoa;SpecWoRMS;SZY;Scyphozoa;SpecASFIS
141443;Sepia elegans;SpecWoRMS;EJE;Sepia elegans;SpecASFIS
141444;Sepia officinalis;SpecWoRMS;CTC;Sepia officinalis;SpecASFIS
141445;Sepia orbignyana;SpecWoRMS;IAR;Sepia orbignyana;SpecASFIS
