"Stock","Species","Areas","AreaType","StockDescription","AphiaID","WoRMSname","ID"
"agn.27.nea","AGN","27.8.c.w","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.8.c.w"
"agn.27.nea","AGN","27.8.c.e","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.8.c.e"
"agn.27.nea","AGN","27.3.a.20","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.3.a.20"
"agn.27.nea","AGN","27.4.b.e","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.4.b.e"
"agn.27.nea","AGN","27.4.b.w","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.4.b.w"
"agn.27.nea","AGN","27.3.d.28.1","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.3.d.28.1"
"agn.27.nea","AGN","27.3.d.28.2","IC_Sub-divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.3.d.28.2"
"agn.27.nea","AGN","27.9.a.s.a","IC_AreaUnit","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.9.a.s.a"
"agn.27.nea","AGN","27.9.a.s.c","IC_AreaUnit","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.9.a.s.c"
"agn.27.nea","AGN","27.12.b","IC_Divisions","Angel shark (Squatina squatina) in Subareas 1-10  12 and 14 (the Northeast Atlantic and adjacent waters)",105928,"Squatina squatina","105928 27.12.b"
