TAXOCODE,3A_CODE,Scientific_name,Author,,AphiaID,Match type,ScientificName,Authority,AphiaID_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,in_ERMS
30732XXXXX,VGX,Mitridae,,,23073,exact,Mitridae,Swainson 1829,23073,Animalia,Mollusca,Gastropoda,Neogastropoda,Mitridae,,,,,1
14703XXXXX,JKX,Hemiramphidae,,,125453,exact,Hemiramphidae,,125453,Animalia,Chordata,Actinopterygii,Beloniformes,Hemiramphidae,,,,,1
30743XXXXX,JJX,Harpidae,,,196294,exact,Harpidae,Bronn 1849,196294,Animalia,Mollusca,Gastropoda,Neogastropoda,Harpidae,,,,,0
30738XXXXX,ZAX,Cypraeidae,,,23022,exact,Cypraeidae,Rafinesque 1815,23022,Animalia,Mollusca,Gastropoda,Littorinimorpha,Cypraeidae,,,,,1
30745XXXXX,XUX,Conidae,,,14107,exact,Conidae,Fleming 1822,14107,Animalia,Mollusca,Gastropoda,Neogastropoda,Conidae,,,,,1
30711XXXXX,XIX,Cassidae,,,22999,exact,Cassidae,Latreille 1825,22999,Animalia,Mollusca,Gastropoda,Littorinimorpha,Cassidae,,,,,1
30710XXXXX,VAX,Bursidae,,,22995,exact,Bursidae,Thiele 1925,22995,Animalia,Mollusca,Gastropoda,Littorinimorpha,Bursidae,,,,,1
17012001XX,QLX,Apogon spp,,,125913,exact,Apogon,Lacep?de 1801,125913,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,Apogon,,,,1
17002115XX,IIX,Cephalopholis spp,,,206732,exact,Cephalopholis,Bloch & Schneider 1801,206732,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Cephalopholis,,,,0
16201001XX,ZMX,Zeus spp,,,126251,exact,Zeus,Linnaeus 1758,126251,Animalia,Chordata,Actinopterygii,Zeiformes,Zeidae,Zeus,,,,1
31626050XX,QQX,Tridacna spp,,,205753,exact,Tridacna,Brugui?re 1797,205753,Animalia,Mollusca,Bivalvia,Veneroida,Cardiidae,Tridacna,,,,0
23111006XX,QOX,Thalamita spp,,,106931,exact,Thalamita,Latreille 1829,106931,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Thalamita,,,,1
23111140XX,YUX,Scylla spp,,,205756,exact,Scylla,De Haan 1833,205756,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Scylla,,,,0
17039224XX,UZX,Rhabdosargus spp,,,204190,exact,Rhabdosargus,Fowler 1933,204190,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Rhabdosargus,,,,1
23103001XX,QIX,Ocypode spp,,,106970,exact,Ocypode,Weber 1795,106970,Animalia,Arthropoda,Malacostraca,Decapoda,Ocypodidae,Ocypode,,,,1
14102042XX,FMX,Galeichthys spp,,,204607,exact,Galeichthys,Valenciennes 1840,204607,Animalia,Chordata,Actinopterygii,Siluriformes,Ariidae,Galeichthys,,,,0
31611011XX,FZX,Gafrarium spp,,,138637,exact,Gafrarium,Röding 1798,138637,Animalia,Mollusca,Bivalvia,Veneroida,Veneridae,Gafrarium,,,,1
17052116XX,IHX,Chaetodon spp,,,125954,exact,Chaetodon,Linnaeus 1758,125954,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,,,,1
19002011XX,TXV,Takifugu spp,,,205726,exact,Takifugu,Abe 1949,205726,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Takifugu,,,,0
17801080XX,XTY,Trachyscorpia spp,,,126176,exact,Trachyscorpia,Ginsburg 1953,126176,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Trachyscorpia,,,,1
17071309XX,WLX,Latridopsis spp,,,269613,exact,Latridopsis,Gill 1862,269613,Animalia,Chordata,Actinopterygii,Perciformes,Latridae,Latridopsis,,,,0
13813XXXXX,VJX,Alestidae,,,267003,exact,Alestidae,,267003,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,,,,,0
14307XXXXX,VHX,Heterenchelyidae,,,125429,exact,Heterenchelyidae,,125429,Animalia,Chordata,Actinopterygii,Anguilliformes,Heterenchelyidae,,,,,1
14320XXXXX,VFX,Nemichthyidae,,,125432,exact,Nemichthyidae,,125432,Animalia,Chordata,Actinopterygii,Anguilliformes,Nemichthyidae,,,,,1
13115XXXXX,VDX,Ipnopidae,,,125444,exact,Ipnopidae,,125444,Animalia,Chordata,Actinopterygii,Aulopiformes,Ipnopidae,,,,,1
12315XXXXX,VBX,Platytroctidae,,,125514,exact,Platytroctidae,,125514,Animalia,Chordata,Actinopterygii,Osmeriformes,Platytroctidae,,,,,1
12509XXXXX,VCX,Phosichthyidae,,,125602,exact,Phosichthyidae,,125602,Animalia,Chordata,Actinopterygii,Stomiiformes,Phosichthyidae,,,,,1
12503XXXXX,RQX,Stomiidae,,,125604,exact,Stomiidae,,125604,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,,,,1
11007024XX,NZX,Rhinoptera spp,,,105759,exact,Rhinoptera,Cuvier 1829,105759,Animalia,Chordata,Elasmobranchii,Rajiformes,Myliobatidae,Rhinoptera,,,,1
17077001XX,QHX,Polydactylus spp,,,159849,exact,Polydactylus,Lacep?de 1803,159849,Animalia,Chordata,Actinopterygii,Perciformes,Polynemidae,Polydactylus,,,,0
13801XXXXX005,TXZ,C. macropomum x P. brachypomus,,,,,,,,,,,,,,,,,0
17059051XX001,OXW,Oreochromis aureus x O. niloticus,,,279196,exact,Oreochromis aureus,(Steindachner 1864),279196,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,,aureus,,0
13805006XX,HZZ,Hemiodus spp,,,269358,exact,Hemiodus,Müller 1842,269358,Animalia,Chordata,Actinopterygii,Characiformes,Hemiodontidae,Hemiodus,,,,0
