"Code"	"sppFAO"	"area"	"desc"	"areaType"	"status"	"AphiaID"	"WoRMSname"	"ID"
"11"	"raj.27.1012"	"RAJ"	"27.12.a.4"	"Rays and skates (Rajidae) (mainly thornback ray (Raja clavata)) in Subareas 10 and 12 (Azores grounds and north of Azores)"	"IC_Sub-divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.12.a.4"
"12"	"raj.27.1012"	"RAJ"	"27.12.b"	"Rays and skates (Rajidae) (mainly thornback ray (Raja clavata)) in Subareas 10 and 12 (Azores grounds and north of Azores)"	"IC_Divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.12.b"
"13"	"raj.27.1012"	"RAJ"	"27.12.c"	"Rays and skates (Rajidae) (mainly thornback ray (Raja clavata)) in Subareas 10 and 12 (Azores grounds and north of Azores)"	"IC_Divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.12.c"
"14"	"raj.27.3a47d"	"RAJ"	"27.3.a"	"Rays and skates (Rajidae) in Subarea 4 and Divisions 3.a and 7.d (North Sea, Skagerrak, Kattegat, and eastern English Channel)"	"IC_Divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.3.a"
"15"	"raj.27.3a47d"	"RAJ"	"27.3.a.20"	"Rays and skates (Rajidae) in Subarea 4 and Divisions 3.a and 7.d (North Sea, Skagerrak, Kattegat, and eastern English Channel)"	"IC_Sub-divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.3.a.20"
"16"	"raj.27.3a47d"	"RAJ"	"27.3.a.21"	"Rays and skates (Rajidae) in Subarea 4 and Divisions 3.a and 7.d (North Sea, Skagerrak, Kattegat, and eastern English Channel)"	"IC_Sub-divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.3.a.21"
"17"	"raj.27.3a47d"	"RAJ"	"27.4"	"Rays and skates (Rajidae) in Subarea 4 and Divisions 3.a and 7.d (North Sea, Skagerrak, Kattegat, and eastern English Channel)"	"IC_Sub-areas"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.4"
"18"	"raj.27.3a47d"	"RAJ"	"27.4.a"	"Rays and skates (Rajidae) in Subarea 4 and Divisions 3.a and 7.d (North Sea, Skagerrak, Kattegat, and eastern English Channel)"	"IC_Divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.4.a"
"19"	"raj.27.3a47d"	"RAJ"	"27.4.a.e"	"Rays and skates (Rajidae) in Subarea 4 and Divisions 3.a and 7.d (North Sea, Skagerrak, Kattegat, and eastern English Channel)"	"IC_Sub-divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.4.a.e"
"20"	"raj.27.3a47d"	"RAJ"	"27.4.a.w"	"Rays and skates (Rajidae) in Subarea 4 and Divisions 3.a and 7.d (North Sea, Skagerrak, Kattegat, and eastern English Channel)"	"IC_Sub-divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.4.a.w"
"21"	"raj.27.3a47d"	"RAJ"	"27.4.b"	"Rays and skates (Rajidae) in Subarea 4 and Divisions 3.a and 7.d (North Sea, Skagerrak, Kattegat, and eastern English Channel)"	"IC_Divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.4.b"
"22"	"raj.27.3a47d"	"RAJ"	"27.4.b.e"	"Rays and skates (Rajidae) in Subarea 4 and Divisions 3.a and 7.d (North Sea, Skagerrak, Kattegat, and eastern English Channel)"	"IC_Sub-divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.4.b.e"
"23"	"raj.27.3a47d"	"RAJ"	"27.4.b.w"	"Rays and skates (Rajidae) in Subarea 4 and Divisions 3.a and 7.d (North Sea, Skagerrak, Kattegat, and eastern English Channel)"	"IC_Sub-divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.4.b.w"
"24"	"raj.27.3a47d"	"RAJ"	"27.4.c"	"Rays and skates (Rajidae) in Subarea 4 and Divisions 3.a and 7.d (North Sea, Skagerrak, Kattegat, and eastern English Channel)"	"IC_Divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.4.c"
"25"	"raj.27.3a47d"	"RAJ"	"27.4.outFU"	"Rays and skates (Rajidae) in Subarea 4 and Divisions 3.a and 7.d (North Sea, Skagerrak, Kattegat, and eastern English Channel)"	"IC_Divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.4.outFU"
"26"	"raj.27.67a-ce-h"	"RAJ"	"27.6"	"Rays and skates (Rajidae) in Subarea 6 and Divisions 7.a-c and 7.e-h (Rockall and West of Scotland, southern Celtic Seas, western English Channel)"	"IC_Sub-areas"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.6"
"27"	"raj.27.67a-ce-h"	"RAJ"	"27.6.a"	"Rays and skates (Rajidae) in Subarea 6 and Divisions 7.a-c and 7.e-h (Rockall and West of Scotland, southern Celtic Seas, western English Channel)"	"IC_Divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.6.a"
"28"	"raj.27.67a-ce-h"	"RAJ"	"27.6.a.n"	"Rays and skates (Rajidae) in Subarea 6 and Divisions 7.a-c and 7.e-h (Rockall and West of Scotland, southern Celtic Seas, western English Channel)"	"IC_Sub-divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.6.a.n"
"29"	"raj.27.67a-ce-h"	"RAJ"	"27.6.a.s"	"Rays and skates (Rajidae) in Subarea 6 and Divisions 7.a-c and 7.e-h (Rockall and West of Scotland, southern Celtic Seas, western English Channel)"	"IC_Sub-divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.6.a.s"
"30"	"raj.27.67a-ce-h"	"RAJ"	"27.6.b"	"Rays and skates (Rajidae) in Subarea 6 and Divisions 7.a-c and 7.e-h (Rockall and West of Scotland, southern Celtic Seas, western English Channel)"	"IC_Divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.6.b"
"31"	"raj.27.67a-ce-h"	"RAJ"	"27.6.b.1"	"Rays and skates (Rajidae) in Subarea 6 and Divisions 7.a-c and 7.e-h (Rockall and West of Scotland, southern Celtic Seas, western English Channel)"	"IC_Sub-divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.6.b.1"
"32"	"raj.27.67a-ce-h"	"RAJ"	"27.6.b.2"	"Rays and skates (Rajidae) in Subarea 6 and Divisions 7.a-c and 7.e-h (Rockall and West of Scotland, southern Celtic Seas, western English Channel)"	"IC_Sub-divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.6.b.2"
"33"	"raj.27.67a-ce-h"	"RAJ"	"27.7.a"	"Rays and skates (Rajidae) in Subarea 6 and Divisions 7.a-c and 7.e-h (Rockall and West of Scotland, southern Celtic Seas, western English Channel)"	"IC_Divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.7.a"
"34"	"raj.27.67a-ce-h"	"RAJ"	"27.7.a.n"	"Rays and skates (Rajidae) in Subarea 6 and Divisions 7.a-c and 7.e-h (Rockall and West of Scotland, southern Celtic Seas, western English Channel)"	"IC_Sub-divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.7.a.n"
"35"	"raj.27.67a-ce-h"	"RAJ"	"27.7.a.s"	"Rays and skates (Rajidae) in Subarea 6 and Divisions 7.a-c and 7.e-h (Rockall and West of Scotland, southern Celtic Seas, western English Channel)"	"IC_Sub-divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.7.a.s"
"36"	"raj.27.67a-ce-h"	"RAJ"	"27.7.b"	"Rays and skates (Rajidae) in Subarea 6 and Divisions 7.a-c and 7.e-h (Rockall and West of Scotland, southern Celtic Seas, western English Channel)"	"IC_Divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.7.b"
"37"	"raj.27.67a-ce-h"	"RAJ"	"27.7.c"	"Rays and skates (Rajidae) in Subarea 6 and Divisions 7.a-c and 7.e-h (Rockall and West of Scotland, southern Celtic Seas, western English Channel)"	"IC_Divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.7.c"
"38"	"raj.27.67a-ce-h"	"RAJ"	"27.7.c.1"	"Rays and skates (Rajidae) in Subarea 6 and Divisions 7.a-c and 7.e-h (Rockall and West of Scotland, southern Celtic Seas, western English Channel)"	"IC_Sub-divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.7.c.1"
"39"	"raj.27.67a-ce-h"	"RAJ"	"27.7.c.2"	"Rays and skates (Rajidae) in Subarea 6 and Divisions 7.a-c and 7.e-h (Rockall and West of Scotland, southern Celtic Seas, western English Channel)"	"IC_Sub-divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.7.c.2"
"40"	"raj.27.3a47d"	"RAJ"	"27.7.d"	"Rays and skates (Rajidae) in Subarea 4 and Divisions 3.a and 7.d (North Sea, Skagerrak, Kattegat, and eastern English Channel)"	"IC_Divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.7.d"
"41"	"raj.27.67a-ce-h"	"RAJ"	"27.7.e"	"Rays and skates (Rajidae) in Subarea 6 and Divisions 7.a-c and 7.e-h (Rockall and West of Scotland, southern Celtic Seas, western English Channel)"	"IC_Divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.7.e"
"42"	"raj.27.67a-ce-h"	"RAJ"	"27.7.f"	"Rays and skates (Rajidae) in Subarea 6 and Divisions 7.a-c and 7.e-h (Rockall and West of Scotland, southern Celtic Seas, western English Channel)"	"IC_Divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.7.f"
"43"	"raj.27.67a-ce-h"	"RAJ"	"27.7.g"	"Rays and skates (Rajidae) in Subarea 6 and Divisions 7.a-c and 7.e-h (Rockall and West of Scotland, southern Celtic Seas, western English Channel)"	"IC_Divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.7.g"
"44"	"raj.27.67a-ce-h"	"RAJ"	"27.7.h"	"Rays and skates (Rajidae) in Subarea 6 and Divisions 7.a-c and 7.e-h (Rockall and West of Scotland, southern Celtic Seas, western English Channel)"	"IC_Divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.7.h"
"45"	"raj.27.67a-ce-h"	"RAJ"	"27.7.j"	"Rays and skates (Rajidae) in Subarea 6 and Divisions 7.a-c and 7.e-h (Rockall and West of Scotland, southern Celtic Seas, western English Channel)"	"IC_Divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.7.j"
"46"	"raj.27.67a-ce-h"	"RAJ"	"27.7.k"	"Rays and skates (Rajidae) in Subarea 6 and Divisions 7.a-c and 7.e-h (Rockall and West of Scotland, southern Celtic Seas, western English Channel)"	"IC_Divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.7.k"
"47"	"raj.27.89a"	"RAJ"	"27.8"	"Rays and skates (Rajidae) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters)"	"IC_Sub-areas"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.8"
"48"	"raj.27.89a"	"RAJ"	"27.8.a"	"Rays and skates (Rajidae) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters)"	"IC_Divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.8.a"
"49"	"raj.27.89a"	"RAJ"	"27.8.b"	"Rays and skates (Rajidae) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters)"	"IC_Divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.8.b"
"50"	"raj.27.89a"	"RAJ"	"27.8.c"	"Rays and skates (Rajidae) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters)"	"IC_Divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.8.c"
"51"	"raj.27.89a"	"RAJ"	"27.8.d"	"Rays and skates (Rajidae) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters)"	"IC_Divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.8.d"
"52"	"raj.27.89a"	"RAJ"	"27.8.d.1"	"Rays and skates (Rajidae) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters)"	"IC_Sub-divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.8.d.1"
"53"	"raj.27.89a"	"RAJ"	"27.8.d.2"	"Rays and skates (Rajidae) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters)"	"IC_Sub-divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.8.d.2"
"54"	"raj.27.89a"	"RAJ"	"27.8.e"	"Rays and skates (Rajidae) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters)"	"IC_Divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.8.e"
"55"	"raj.27.89a"	"RAJ"	"27.8.e.1"	"Rays and skates (Rajidae) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters)"	"IC_Sub-divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.8.e.1"
"56"	"raj.27.89a"	"RAJ"	"27.8.e.2"	"Rays and skates (Rajidae) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters)"	"IC_Sub-divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.8.e.2"
"57"	"raj.27.89a"	"RAJ"	"27.9.a"	"Rays and skates (Rajidae) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters)"	"IC_Divisions"	"fishPiCodes1.0.19"	105711	"Rajidae"	"105711 27.9.a"
"58"	"agn.27.nea"	"ASK"	"27"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_AreaTopLevel"	"updated"	105717	"Squatinidae"	"105717 27"
"59"	"agn.27.nea"	"ASK"	"27.1"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Sub-areas"	"updated"	105717	"Squatinidae"	"105717 27.1"
"60"	"agn.27.nea"	"ASK"	"27.1.b"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Divisions"	"updated"	105717	"Squatinidae"	"105717 27.1.b"
"61"	"agn.27.nea"	"ASK"	"27.10"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Sub-areas"	"updated"	105717	"Squatinidae"	"105717 27.10"
"62"	"agn.27.nea"	"ASK"	"27.10.a"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Divisions"	"updated"	105717	"Squatinidae"	"105717 27.10.a"
"63"	"agn.27.nea"	"ASK"	"27.10.a.1"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Sub-divisions"	"updated"	105717	"Squatinidae"	"105717 27.10.a.1"
"64"	"agn.27.nea"	"ASK"	"27.10.a.2"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Sub-divisions"	"updated"	105717	"Squatinidae"	"105717 27.10.a.2"
"65"	"agn.27.nea"	"ASK"	"27.10.b"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Divisions"	"updated"	105717	"Squatinidae"	"105717 27.10.b"
"66"	"agn.27.nea"	"ASK"	"27.12"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Sub-areas"	"updated"	105717	"Squatinidae"	"105717 27.12"
"67"	"agn.27.nea"	"ASK"	"27.12.a"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Divisions"	"updated"	105717	"Squatinidae"	"105717 27.12.a"
"68"	"agn.27.nea"	"ASK"	"27.12.a.1"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Sub-divisions"	"updated"	105717	"Squatinidae"	"105717 27.12.a.1"
"69"	"agn.27.nea"	"ASK"	"27.12.a.2"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Sub-divisions"	"updated"	105717	"Squatinidae"	"105717 27.12.a.2"
"70"	"agn.27.nea"	"ASK"	"27.12.a.3"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Sub-divisions"	"updated"	105717	"Squatinidae"	"105717 27.12.a.3"
"71"	"agn.27.nea"	"ASK"	"27.12.a.4"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Sub-divisions"	"updated"	105717	"Squatinidae"	"105717 27.12.a.4"
"72"	"agn.27.nea"	"ASK"	"27.12.b"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Divisions"	"updated"	105717	"Squatinidae"	"105717 27.12.b"
"73"	"agn.27.nea"	"ASK"	"27.12.c"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Divisions"	"updated"	105717	"Squatinidae"	"105717 27.12.c"
"74"	"agn.27.nea"	"ASK"	"27.14"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Sub-areas"	"updated"	105717	"Squatinidae"	"105717 27.14"
"75"	"agn.27.nea"	"ASK"	"27.14.a"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Divisions"	"updated"	105717	"Squatinidae"	"105717 27.14.a"
"76"	"agn.27.nea"	"ASK"	"27.14.b"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Divisions"	"updated"	105717	"Squatinidae"	"105717 27.14.b"
"77"	"agn.27.nea"	"ASK"	"27.14.b.1"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Sub-divisions"	"updated"	105717	"Squatinidae"	"105717 27.14.b.1"
"78"	"agn.27.nea"	"ASK"	"27.14.b.2"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Sub-divisions"	"updated"	105717	"Squatinidae"	"105717 27.14.b.2"
"79"	"agn.27.nea"	"ASK"	"27.2"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Sub-areas"	"updated"	105717	"Squatinidae"	"105717 27.2"
"80"	"agn.27.nea"	"ASK"	"27.2.a"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Divisions"	"updated"	105717	"Squatinidae"	"105717 27.2.a"
"81"	"agn.27.nea"	"ASK"	"27.2.a.1"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Sub-divisions"	"updated"	105717	"Squatinidae"	"105717 27.2.a.1"
"82"	"agn.27.nea"	"ASK"	"27.2.a.2"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Sub-divisions"	"updated"	105717	"Squatinidae"	"105717 27.2.a.2"
"83"	"agn.27.nea"	"ASK"	"27.2.b"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Divisions"	"updated"	105717	"Squatinidae"	"105717 27.2.b"
"84"	"agn.27.nea"	"ASK"	"27.3"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Sub-areas"	"updated"	105717	"Squatinidae"	"105717 27.3"
"85"	"agn.27.nea"	"ASK"	"27.3.a"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Divisions"	"updated"	105717	"Squatinidae"	"105717 27.3.a"
"86"	"agn.27.nea"	"ASK"	"27.3.a.20"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Sub-divisions"	"updated"	105717	"Squatinidae"	"105717 27.3.a.20"
"87"	"agn.27.nea"	"ASK"	"27.3.a.21"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Sub-divisions"	"updated"	105717	"Squatinidae"	"105717 27.3.a.21"
"88"	"agn.27.nea"	"ASK"	"27.3.b"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Divisions"	"updated"	105717	"Squatinidae"	"105717 27.3.b"
"89"	"agn.27.nea"	"ASK"	"27.3.b.23"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Sub-divisions"	"updated"	105717	"Squatinidae"	"105717 27.3.b.23"
"90"	"agn.27.nea"	"ASK"	"27.3.c"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Divisions"	"updated"	105717	"Squatinidae"	"105717 27.3.c"
"91"	"agn.27.nea"	"ASK"	"27.3.c.22"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Sub-divisions"	"updated"	105717	"Squatinidae"	"105717 27.3.c.22"
"92"	"agn.27.nea"	"ASK"	"27.3.d"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Divisions"	"updated"	105717	"Squatinidae"	"105717 27.3.d"
"93"	"agn.27.nea"	"ASK"	"27.3.d.24"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Sub-divisions"	"updated"	105717	"Squatinidae"	"105717 27.3.d.24"
"94"	"agn.27.nea"	"ASK"	"27.3.d.25"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Sub-divisions"	"updated"	105717	"Squatinidae"	"105717 27.3.d.25"
"95"	"agn.27.nea"	"ASK"	"27.3.d.26"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Sub-divisions"	"updated"	105717	"Squatinidae"	"105717 27.3.d.26"
"96"	"agn.27.nea"	"ASK"	"27.3.d.27"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Sub-divisions"	"updated"	105717	"Squatinidae"	"105717 27.3.d.27"
"97"	"agn.27.nea"	"ASK"	"27.3.d.28"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Sub-divisions"	"updated"	105717	"Squatinidae"	"105717 27.3.d.28"
"98"	"agn.27.nea"	"ASK"	"27.3.d.28.1"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_AreaUnit"	"updated"	105717	"Squatinidae"	"105717 27.3.d.28.1"
"99"	"agn.27.nea"	"ASK"	"27.3.d.28.2"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_AreaUnit"	"updated"	105717	"Squatinidae"	"105717 27.3.d.28.2"
"100"	"agn.27.nea"	"ASK"	"27.3.d.29"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Sub-divisions"	"updated"	105717	"Squatinidae"	"105717 27.3.d.29"
"101"	"agn.27.nea"	"ASK"	"27.3.d.30"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Sub-divisions"	"updated"	105717	"Squatinidae"	"105717 27.3.d.30"
"102"	"agn.27.nea"	"ASK"	"27.3.d.31"	"Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)"	"IC_Sub-divisions"	"updated"	105717	"Squatinidae"	"105717 27.3.d.31"
